dataset,context_condition,run,message,n_concepts
"(3,16)",mixed,4,"(34, 13, 34, 0)",1
"(3,16)",mixed,4,"(34, 16, 3, 0)",2
"(3,16)",mixed,4,"(34, 16, 4, 0)",12
"(3,16)",mixed,4,"(34, 16, 8, 0)",2
"(3,16)",mixed,4,"(34, 16, 9, 0)",1
"(3,16)",mixed,4,"(34, 16, 14, 0)",7
"(3,16)",mixed,4,"(34, 16, 19, 0)",3
"(3,16)",mixed,4,"(34, 16, 20, 0)",2
"(3,16)",mixed,4,"(34, 16, 21, 0)",1
"(3,16)",mixed,4,"(34, 16, 23, 0)",4
"(3,16)",mixed,4,"(34, 16, 24, 0)",2
"(3,16)",mixed,4,"(34, 16, 28, 0)",1
"(3,16)",mixed,4,"(34, 16, 29, 0)",2
"(3,16)",mixed,4,"(34, 16, 30, 0)",1
"(3,16)",mixed,4,"(34, 16, 35, 0)",2
"(3,16)",mixed,4,"(34, 16, 37, 0)",9
"(3,16)",mixed,4,"(34, 16, 41, 0)",2
"(3,16)",mixed,4,"(34, 16, 45, 0)",3
"(3,16)",mixed,4,"(34, 16, 46, 0)",1
"(3,16)",mixed,4,"(34, 19, 28, 0)",1
"(3,16)",mixed,4,"(34, 23, 4, 0)",1
"(3,16)",mixed,4,"(34, 23, 29, 0)",9
"(3,16)",mixed,4,"(34, 23, 30, 0)",1
"(3,16)",mixed,4,"(34, 23, 31, 0)",8
"(3,16)",mixed,4,"(34, 23, 37, 0)",8
"(3,16)",mixed,4,"(34, 23, 43, 0)",1
"(3,16)",mixed,4,"(34, 23, 45, 0)",1
"(3,16)",mixed,4,"(34, 24, 2, 0)",5
"(3,16)",mixed,4,"(34, 24, 20, 0)",1
"(3,16)",mixed,4,"(34, 24, 22, 0)",1
"(3,16)",mixed,4,"(34, 24, 23, 0)",2
"(3,16)",mixed,4,"(34, 24, 37, 0)",10
"(3,16)",mixed,4,"(34, 24, 38, 0)",2
"(3,16)",mixed,4,"(34, 24, 43, 0)",1
"(3,16)",mixed,4,"(34, 26, 3, 0)",1
"(3,16)",mixed,4,"(34, 26, 16, 0)",1
"(3,16)",mixed,4,"(34, 26, 20, 0)",1
"(3,16)",mixed,4,"(34, 26, 44, 0)",1
"(3,16)",mixed,4,"(34, 34, 5, 0)",1
"(3,16)",mixed,4,"(34, 34, 8, 0)",2
"(3,16)",mixed,4,"(34, 34, 20, 0)",1
"(3,16)",mixed,4,"(34, 34, 21, 0)",1
"(3,16)",mixed,4,"(34, 34, 27, 0)",1
"(3,16)",mixed,4,"(34, 37, 1, 0)",1
"(3,16)",mixed,4,"(34, 37, 5, 0)",3
"(3,16)",mixed,4,"(34, 37, 12, 0)",1
"(3,16)",mixed,4,"(34, 37, 20, 0)",5
"(3,16)",mixed,4,"(34, 37, 21, 0)",1
"(3,16)",mixed,4,"(34, 37, 23, 0)",10
"(3,16)",mixed,4,"(34, 37, 37, 0)",8
"(3,16)",mixed,4,"(34, 38, 2, 0)",6
"(3,16)",mixed,4,"(34, 38, 3, 0)",1
"(3,16)",mixed,4,"(34, 38, 5, 0)",8
"(3,16)",mixed,4,"(34, 38, 12, 0)",12
"(3,16)",mixed,4,"(34, 38, 22, 0)",3
"(3,16)",mixed,4,"(34, 38, 23, 0)",7
"(3,16)",mixed,4,"(34, 38, 37, 0)",1
"(3,16)",mixed,4,"(34, 38, 46, 0)",4
"(3,16)",mixed,4,"(34, 40, 2, 0)",5
"(3,16)",mixed,4,"(34, 40, 20, 0)",1
"(3,16)",mixed,4,"(34, 40, 28, 0)",11
"(3,16)",mixed,4,"(34, 40, 36, 0)",2
"(3,16)",mixed,4,"(34, 40, 40, 0)",10
"(3,16)",mixed,4,"(34, 40, 45, 0)",12
"(3,16)",mixed,4,"(34, 40, 46, 0)",1
"(3,16)",mixed,4,"(34, 43, 2, 0)",1
"(3,16)",mixed,4,"(34, 43, 9, 0)",1
"(3,16)",mixed,4,"(34, 43, 35, 0)",1
"(3,16)",mixed,4,"(34, 43, 45, 0)",4
"(3,16)",mixed,4,"(34, 43, 46, 0)",2
"(3,16)",mixed,4,"(34, 44, 3, 0)",3
"(3,16)",mixed,4,"(34, 44, 4, 0)",1
"(3,16)",mixed,4,"(34, 44, 14, 0)",1
"(3,16)",mixed,4,"(34, 44, 16, 0)",1
"(3,16)",mixed,4,"(34, 44, 20, 0)",2
"(3,16)",mixed,4,"(34, 44, 23, 0)",4
"(3,16)",mixed,4,"(34, 44, 26, 0)",2
"(3,16)",mixed,4,"(34, 44, 30, 0)",4
"(3,16)",mixed,4,"(34, 44, 36, 0)",1
"(3,16)",mixed,4,"(34, 44, 37, 0)",5
"(3,16)",mixed,4,"(34, 44, 43, 0)",3
"(3,16)",mixed,4,"(34, 44, 45, 0)",4
"(3,16)",mixed,4,"(36, 2, 11, 0)",15
"(3,16)",mixed,4,"(36, 2, 19, 0)",15
"(3,16)",mixed,4,"(36, 2, 28, 0)",8
"(3,16)",mixed,4,"(36, 2, 30, 0)",7
"(3,16)",mixed,4,"(36, 2, 34, 0)",2
"(3,16)",mixed,4,"(36, 2, 35, 0)",6
"(3,16)",mixed,4,"(36, 2, 44, 0)",2
"(3,16)",mixed,4,"(36, 2, 51, 0)",7
"(3,16)",mixed,4,"(36, 3, 19, 0)",4
"(3,16)",mixed,4,"(36, 3, 30, 0)",2
"(3,16)",mixed,4,"(36, 3, 35, 0)",1
"(3,16)",mixed,4,"(36, 9, 19, 0)",1
"(3,16)",mixed,4,"(36, 11, 51, 0)",1
"(3,16)",mixed,4,"(36, 15, 19, 0)",1
"(3,16)",mixed,4,"(36, 15, 28, 0)",3
"(3,16)",mixed,4,"(36, 15, 45, 0)",5
"(3,16)",mixed,4,"(36, 19, 19, 0)",17
"(3,16)",mixed,4,"(36, 19, 35, 0)",2
"(3,16)",mixed,4,"(36, 28, 11, 0)",3
"(3,16)",mixed,4,"(36, 28, 28, 0)",11
"(3,16)",mixed,4,"(36, 30, 11, 0)",6
"(3,16)",mixed,4,"(36, 30, 30, 0)",3
"(3,16)",mixed,4,"(36, 30, 34, 0)",1
"(3,16)",mixed,4,"(36, 30, 44, 0)",6
"(3,16)",mixed,4,"(36, 30, 51, 0)",1
"(3,16)",mixed,4,"(36, 34, 28, 0)",17
"(3,16)",mixed,4,"(36, 34, 36, 0)",4
"(3,16)",mixed,4,"(36, 34, 43, 0)",1
"(3,16)",mixed,4,"(36, 34, 45, 0)",15
"(3,16)",mixed,4,"(36, 36, 11, 0)",9
"(3,16)",mixed,4,"(36, 36, 19, 0)",13
"(3,16)",mixed,4,"(36, 36, 28, 0)",14
"(3,16)",mixed,4,"(36, 36, 30, 0)",10
"(3,16)",mixed,4,"(36, 36, 34, 0)",23
"(3,16)",mixed,4,"(36, 36, 35, 0)",8
"(3,16)",mixed,4,"(36, 36, 39, 0)",2
"(3,16)",mixed,4,"(36, 36, 51, 0)",12
"(3,16)",mixed,4,"(36, 38, 28, 0)",1
"(3,16)",mixed,4,"(36, 38, 30, 0)",2
"(3,16)",mixed,4,"(36, 39, 3, 0)",1
"(3,16)",mixed,4,"(36, 39, 28, 0)",1
"(3,16)",mixed,4,"(36, 39, 30, 0)",1
"(3,16)",mixed,4,"(36, 39, 36, 0)",1
"(3,16)",mixed,4,"(36, 39, 45, 0)",15
"(3,16)",mixed,4,"(36, 40, 51, 0)",1
"(3,16)",mixed,4,"(36, 41, 35, 0)",5
"(3,16)",mixed,4,"(36, 45, 11, 0)",18
"(3,16)",mixed,4,"(36, 45, 28, 0)",3
"(3,16)",mixed,4,"(36, 45, 30, 0)",3
"(3,16)",mixed,4,"(36, 45, 34, 0)",4
"(3,16)",mixed,4,"(36, 45, 51, 0)",6
"(3,16)",mixed,4,"(36, 49, 11, 0)",9
"(3,16)",mixed,4,"(36, 49, 30, 0)",1
"(3,16)",mixed,4,"(36, 49, 51, 0)",6
"(3,16)",mixed,4,"(36, 51, 11, 0)",1
"(3,16)",mixed,4,"(36, 51, 51, 0)",2
"(3,16)",mixed,4,"(37, 5, 28, 0)",2
"(3,16)",mixed,4,"(37, 5, 51, 0)",1
"(3,16)",mixed,4,"(37, 6, 12, 0)",1
"(3,16)",mixed,4,"(37, 6, 20, 0)",1
"(3,16)",mixed,4,"(37, 6, 21, 0)",1
"(3,16)",mixed,4,"(37, 6, 23, 0)",3
"(3,16)",mixed,4,"(37, 6, 37, 0)",2
"(3,16)",mixed,4,"(37, 9, 9, 0)",2
"(3,16)",mixed,4,"(37, 9, 41, 0)",1
"(3,16)",mixed,4,"(37, 10, 5, 0)",6
"(3,16)",mixed,4,"(37, 10, 20, 0)",8
"(3,16)",mixed,4,"(37, 10, 22, 0)",4
"(3,16)",mixed,4,"(37, 10, 28, 0)",4
"(3,16)",mixed,4,"(37, 10, 47, 0)",7
"(3,16)",mixed,4,"(37, 12, 1, 0)",1
"(3,16)",mixed,4,"(37, 12, 3, 0)",2
"(3,16)",mixed,4,"(37, 12, 11, 0)",2
"(3,16)",mixed,4,"(37, 12, 30, 0)",1
"(3,16)",mixed,4,"(37, 12, 49, 0)",1
"(3,16)",mixed,4,"(37, 12, 50, 0)",2
"(3,16)",mixed,4,"(37, 12, 51, 0)",6
"(3,16)",mixed,4,"(37, 13, 47, 0)",2
"(3,16)",mixed,4,"(37, 15, 12, 0)",3
"(3,16)",mixed,4,"(37, 20, 11, 0)",2
"(3,16)",mixed,4,"(37, 20, 13, 0)",1
"(3,16)",mixed,4,"(37, 20, 20, 0)",3
"(3,16)",mixed,4,"(37, 20, 21, 0)",1
"(3,16)",mixed,4,"(37, 20, 27, 0)",3
"(3,16)",mixed,4,"(37, 20, 34, 0)",1
"(3,16)",mixed,4,"(37, 20, 37, 0)",1
"(3,16)",mixed,4,"(37, 20, 39, 0)",1
"(3,16)",mixed,4,"(37, 20, 47, 0)",3
"(3,16)",mixed,4,"(37, 20, 51, 0)",1
"(3,16)",mixed,4,"(37, 21, 6, 0)",3
"(3,16)",mixed,4,"(37, 21, 9, 0)",6
"(3,16)",mixed,4,"(37, 21, 21, 0)",9
"(3,16)",mixed,4,"(37, 21, 27, 0)",2
"(3,16)",mixed,4,"(37, 21, 31, 0)",3
"(3,16)",mixed,4,"(37, 21, 35, 0)",3
"(3,16)",mixed,4,"(37, 23, 6, 0)",2
"(3,16)",mixed,4,"(37, 23, 10, 0)",1
"(3,16)",mixed,4,"(37, 23, 11, 0)",5
"(3,16)",mixed,4,"(37, 23, 13, 0)",1
"(3,16)",mixed,4,"(37, 23, 20, 0)",1
"(3,16)",mixed,4,"(37, 23, 21, 0)",4
"(3,16)",mixed,4,"(37, 23, 34, 0)",1
"(3,16)",mixed,4,"(37, 23, 37, 0)",3
"(3,16)",mixed,4,"(37, 23, 39, 0)",1
"(3,16)",mixed,4,"(37, 23, 47, 0)",9
"(3,16)",mixed,4,"(37, 23, 50, 0)",5
"(3,16)",mixed,4,"(37, 27, 6, 0)",1
"(3,16)",mixed,4,"(37, 27, 9, 0)",3
"(3,16)",mixed,4,"(37, 27, 19, 0)",5
"(3,16)",mixed,4,"(37, 27, 27, 0)",3
"(3,16)",mixed,4,"(37, 27, 31, 0)",2
"(3,16)",mixed,4,"(37, 34, 20, 0)",1
"(3,16)",mixed,4,"(37, 34, 23, 0)",2
"(3,16)",mixed,4,"(37, 34, 37, 0)",3
"(3,16)",mixed,4,"(37, 37, 21, 0)",5
"(3,16)",mixed,4,"(37, 37, 37, 0)",4
"(3,16)",mixed,4,"(37, 37, 47, 0)",1
"(3,16)",mixed,4,"(37, 39, 37, 0)",1
"(3,16)",mixed,4,"(37, 47, 47, 0)",2
"(3,16)",mixed,4,"(37, 49, 12, 0)",2
"(3,16)",mixed,4,"(37, 49, 30, 0)",1
"(3,16)",mixed,4,"(37, 49, 49, 0)",1
"(3,16)",mixed,4,"(37, 49, 50, 0)",2
"(3,16)",mixed,4,"(37, 50, 5, 0)",4
"(3,16)",mixed,4,"(37, 50, 12, 0)",1
"(3,16)",mixed,4,"(37, 50, 51, 0)",1
"(3,16)",mixed,4,"(38, 2, 1, 0)",3
"(3,16)",mixed,4,"(38, 2, 3, 0)",2
"(3,16)",mixed,4,"(38, 2, 6, 0)",3
"(3,16)",mixed,4,"(38, 2, 9, 0)",27
"(3,16)",mixed,4,"(38, 2, 11, 0)",13
"(3,16)",mixed,4,"(38, 2, 14, 0)",12
"(3,16)",mixed,4,"(38, 2, 19, 0)",27
"(3,16)",mixed,4,"(38, 2, 21, 0)",7
"(3,16)",mixed,4,"(38, 2, 22, 0)",8
"(3,16)",mixed,4,"(38, 2, 27, 0)",3
"(3,16)",mixed,4,"(38, 2, 28, 0)",20
"(3,16)",mixed,4,"(38, 2, 30, 0)",9
"(3,16)",mixed,4,"(38, 2, 35, 0)",8
"(3,16)",mixed,4,"(38, 2, 37, 0)",1
"(3,16)",mixed,4,"(38, 2, 41, 0)",5
"(3,16)",mixed,4,"(38, 2, 47, 0)",1
"(3,16)",mixed,4,"(38, 2, 48, 0)",7
"(3,16)",mixed,4,"(38, 2, 49, 0)",2
"(3,16)",mixed,4,"(38, 2, 51, 0)",4
"(3,16)",mixed,4,"(38, 3, 3, 0)",2
"(3,16)",mixed,4,"(38, 3, 19, 0)",2
"(3,16)",mixed,4,"(38, 3, 28, 0)",1
"(3,16)",mixed,4,"(38, 3, 30, 0)",4
"(3,16)",mixed,4,"(38, 3, 48, 0)",2
"(3,16)",mixed,4,"(38, 3, 49, 0)",2
"(3,16)",mixed,4,"(38, 3, 51, 0)",2
"(3,16)",mixed,4,"(38, 5, 5, 0)",1
"(3,16)",mixed,4,"(38, 6, 3, 0)",3
"(3,16)",mixed,4,"(38, 6, 6, 0)",1
"(3,16)",mixed,4,"(38, 6, 7, 0)",1
"(3,16)",mixed,4,"(38, 6, 9, 0)",1
"(3,16)",mixed,4,"(38, 6, 12, 0)",8
"(3,16)",mixed,4,"(38, 6, 13, 0)",1
"(3,16)",mixed,4,"(38, 6, 14, 0)",8
"(3,16)",mixed,4,"(38, 6, 15, 0)",1
"(3,16)",mixed,4,"(38, 6, 20, 0)",11
"(3,16)",mixed,4,"(38, 6, 21, 0)",4
"(3,16)",mixed,4,"(38, 6, 23, 0)",7
"(3,16)",mixed,4,"(38, 6, 27, 0)",3
"(3,16)",mixed,4,"(38, 6, 30, 0)",1
"(3,16)",mixed,4,"(38, 6, 31, 0)",4
"(3,16)",mixed,4,"(38, 6, 36, 0)",1
"(3,16)",mixed,4,"(38, 6, 37, 0)",3
"(3,16)",mixed,4,"(38, 6, 42, 0)",1
"(3,16)",mixed,4,"(38, 6, 43, 0)",1
"(3,16)",mixed,4,"(38, 9, 14, 0)",1
"(3,16)",mixed,4,"(38, 9, 41, 0)",1
"(3,16)",mixed,4,"(38, 10, 5, 0)",12
"(3,16)",mixed,4,"(38, 10, 10, 0)",7
"(3,16)",mixed,4,"(38, 10, 11, 0)",1
"(3,16)",mixed,4,"(38, 10, 13, 0)",3
"(3,16)",mixed,4,"(38, 10, 20, 0)",17
"(3,16)",mixed,4,"(38, 10, 21, 0)",1
"(3,16)",mixed,4,"(38, 10, 22, 0)",15
"(3,16)",mixed,4,"(38, 10, 27, 0)",2
"(3,16)",mixed,4,"(38, 10, 28, 0)",9
"(3,16)",mixed,4,"(38, 10, 37, 0)",3
"(3,16)",mixed,4,"(38, 10, 39, 0)",1
"(3,16)",mixed,4,"(38, 10, 42, 0)",1
"(3,16)",mixed,4,"(38, 10, 47, 0)",20
"(3,16)",mixed,4,"(38, 10, 48, 0)",2
"(3,16)",mixed,4,"(38, 10, 50, 0)",2
"(3,16)",mixed,4,"(38, 10, 51, 0)",3
"(3,16)",mixed,4,"(38, 11, 11, 0)",3
"(3,16)",mixed,4,"(38, 12, 1, 0)",6
"(3,16)",mixed,4,"(38, 12, 2, 0)",1
"(3,16)",mixed,4,"(38, 12, 3, 0)",8
"(3,16)",mixed,4,"(38, 12, 11, 0)",7
"(3,16)",mixed,4,"(38, 12, 12, 0)",5
"(3,16)",mixed,4,"(38, 12, 30, 0)",3
"(3,16)",mixed,4,"(38, 12, 39, 0)",1
"(3,16)",mixed,4,"(38, 12, 50, 0)",5
"(3,16)",mixed,4,"(38, 12, 51, 0)",26
"(3,16)",mixed,4,"(38, 13, 47, 0)",8
"(3,16)",mixed,4,"(38, 14, 14, 0)",9
"(3,16)",mixed,4,"(38, 14, 31, 0)",3
"(3,16)",mixed,4,"(38, 15, 2, 0)",2
"(3,16)",mixed,4,"(38, 15, 3, 0)",2
"(3,16)",mixed,4,"(38, 15, 12, 0)",7
"(3,16)",mixed,4,"(38, 15, 14, 0)",1
"(3,16)",mixed,4,"(38, 15, 19, 0)",2
"(3,16)",mixed,4,"(38, 15, 23, 0)",1
"(3,16)",mixed,4,"(38, 15, 28, 0)",5
"(3,16)",mixed,4,"(38, 15, 30, 0)",1
"(3,16)",mixed,4,"(38, 15, 37, 0)",1
"(3,16)",mixed,4,"(38, 15, 43, 0)",1
"(3,16)",mixed,4,"(38, 15, 45, 0)",7
"(3,16)",mixed,4,"(38, 15, 46, 0)",1
"(3,16)",mixed,4,"(38, 19, 19, 0)",15
"(3,16)",mixed,4,"(38, 19, 35, 0)",1
"(3,16)",mixed,4,"(38, 20, 1, 0)",1
"(3,16)",mixed,4,"(38, 20, 5, 0)",1
"(3,16)",mixed,4,"(38, 20, 6, 0)",3
"(3,16)",mixed,4,"(38, 20, 10, 0)",4
"(3,16)",mixed,4,"(38, 20, 11, 0)",17
"(3,16)",mixed,4,"(38, 20, 13, 0)",7
"(3,16)",mixed,4,"(38, 20, 20, 0)",12
"(3,16)",mixed,4,"(38, 20, 21, 0)",8
"(3,16)",mixed,4,"(38, 20, 22, 0)",1
"(3,16)",mixed,4,"(38, 20, 23, 0)",1
"(3,16)",mixed,4,"(38, 20, 27, 0)",11
"(3,16)",mixed,4,"(38, 20, 28, 0)",8
"(3,16)",mixed,4,"(38, 20, 34, 0)",9
"(3,16)",mixed,4,"(38, 20, 37, 0)",8
"(3,16)",mixed,4,"(38, 20, 39, 0)",1
"(3,16)",mixed,4,"(38, 20, 47, 0)",25
"(3,16)",mixed,4,"(38, 20, 49, 0)",1
"(3,16)",mixed,4,"(38, 20, 50, 0)",4
"(3,16)",mixed,4,"(38, 20, 51, 0)",1
"(3,16)",mixed,4,"(38, 21, 6, 0)",5
"(3,16)",mixed,4,"(38, 21, 9, 0)",25
"(3,16)",mixed,4,"(38, 21, 14, 0)",3
"(3,16)",mixed,4,"(38, 21, 15, 0)",2
"(3,16)",mixed,4,"(38, 21, 19, 0)",2
"(3,16)",mixed,4,"(38, 21, 21, 0)",15
"(3,16)",mixed,4,"(38, 21, 27, 0)",4
"(3,16)",mixed,4,"(38, 21, 31, 0)",9
"(3,16)",mixed,4,"(38, 21, 35, 0)",1
"(3,16)",mixed,4,"(38, 21, 41, 0)",4
"(3,16)",mixed,4,"(38, 22, 5, 0)",2
"(3,16)",mixed,4,"(38, 22, 10, 0)",1
"(3,16)",mixed,4,"(38, 22, 13, 0)",1
"(3,16)",mixed,4,"(38, 22, 20, 0)",1
"(3,16)",mixed,4,"(38, 22, 22, 0)",11
"(3,16)",mixed,4,"(38, 22, 28, 0)",1
"(3,16)",mixed,4,"(38, 22, 47, 0)",5
"(3,16)",mixed,4,"(38, 22, 49, 0)",3
"(3,16)",mixed,4,"(38, 23, 1, 0)",2
"(3,16)",mixed,4,"(38, 23, 3, 0)",1
"(3,16)",mixed,4,"(38, 23, 6, 0)",4
"(3,16)",mixed,4,"(38, 23, 10, 0)",3
"(3,16)",mixed,4,"(38, 23, 11, 0)",14
"(3,16)",mixed,4,"(38, 23, 15, 0)",1
"(3,16)",mixed,4,"(38, 23, 20, 0)",3
"(3,16)",mixed,4,"(38, 23, 21, 0)",13
"(3,16)",mixed,4,"(38, 23, 27, 0)",3
"(3,16)",mixed,4,"(38, 23, 30, 0)",3
"(3,16)",mixed,4,"(38, 23, 31, 0)",2
"(3,16)",mixed,4,"(38, 23, 37, 0)",6
"(3,16)",mixed,4,"(38, 23, 39, 0)",1
"(3,16)",mixed,4,"(38, 23, 41, 0)",1
"(3,16)",mixed,4,"(38, 23, 47, 0)",28
"(3,16)",mixed,4,"(38, 23, 49, 0)",1
"(3,16)",mixed,4,"(38, 23, 50, 0)",24
"(3,16)",mixed,4,"(38, 23, 51, 0)",1
"(3,16)",mixed,4,"(38, 27, 1, 0)",2
"(3,16)",mixed,4,"(38, 27, 4, 0)",2
"(3,16)",mixed,4,"(38, 27, 6, 0)",4
"(3,16)",mixed,4,"(38, 27, 9, 0)",1
"(3,16)",mixed,4,"(38, 27, 14, 0)",22
"(3,16)",mixed,4,"(38, 27, 19, 0)",20
"(3,16)",mixed,4,"(38, 27, 27, 0)",14
"(3,16)",mixed,4,"(38, 27, 31, 0)",5
"(3,16)",mixed,4,"(38, 27, 41, 0)",3
"(3,16)",mixed,4,"(38, 28, 11, 0)",22
"(3,16)",mixed,4,"(38, 28, 28, 0)",19
"(3,16)",mixed,4,"(38, 29, 1, 0)",4
"(3,16)",mixed,4,"(38, 29, 3, 0)",1
"(3,16)",mixed,4,"(38, 29, 9, 0)",9
"(3,16)",mixed,4,"(38, 29, 14, 0)",8
"(3,16)",mixed,4,"(38, 29, 22, 0)",2
"(3,16)",mixed,4,"(38, 29, 29, 0)",4
"(3,16)",mixed,4,"(38, 29, 31, 0)",5
"(3,16)",mixed,4,"(38, 29, 41, 0)",1
"(3,16)",mixed,4,"(38, 29, 42, 0)",5
"(3,16)",mixed,4,"(38, 29, 48, 0)",4
"(3,16)",mixed,4,"(38, 29, 50, 0)",17
"(3,16)",mixed,4,"(38, 30, 11, 0)",26
"(3,16)",mixed,4,"(38, 30, 44, 0)",5
"(3,16)",mixed,4,"(38, 30, 51, 0)",23
"(3,16)",mixed,4,"(38, 34, 2, 0)",9
"(3,16)",mixed,4,"(38, 34, 3, 0)",3
"(3,16)",mixed,4,"(38, 34, 5, 0)",37
"(3,16)",mixed,4,"(38, 34, 6, 0)",1
"(3,16)",mixed,4,"(38, 34, 9, 0)",1
"(3,16)",mixed,4,"(38, 34, 12, 0)",39
"(3,16)",mixed,4,"(38, 34, 13, 0)",1
"(3,16)",mixed,4,"(38, 34, 19, 0)",1
"(3,16)",mixed,4,"(38, 34, 20, 0)",41
"(3,16)",mixed,4,"(38, 34, 22, 0)",2
"(3,16)",mixed,4,"(38, 34, 23, 0)",40
"(3,16)",mixed,4,"(38, 34, 28, 0)",34
"(3,16)",mixed,4,"(38, 34, 29, 0)",12
"(3,16)",mixed,4,"(38, 34, 30, 0)",2
"(3,16)",mixed,4,"(38, 34, 34, 0)",1
"(3,16)",mixed,4,"(38, 34, 37, 0)",6
"(3,16)",mixed,4,"(38, 34, 38, 0)",1
"(3,16)",mixed,4,"(38, 34, 39, 0)",4
"(3,16)",mixed,4,"(38, 34, 42, 0)",11
"(3,16)",mixed,4,"(38, 34, 43, 0)",3
"(3,16)",mixed,4,"(38, 34, 45, 0)",24
"(3,16)",mixed,4,"(38, 34, 46, 0)",10
"(3,16)",mixed,4,"(38, 36, 19, 0)",1
"(3,16)",mixed,4,"(38, 37, 6, 0)",1
"(3,16)",mixed,4,"(38, 37, 21, 0)",4
"(3,16)",mixed,4,"(38, 37, 27, 0)",3
"(3,16)",mixed,4,"(38, 37, 37, 0)",4
"(3,16)",mixed,4,"(38, 37, 47, 0)",8
"(3,16)",mixed,4,"(38, 38, 9, 0)",2
"(3,16)",mixed,4,"(38, 38, 14, 0)",1
"(3,16)",mixed,4,"(38, 38, 19, 0)",14
"(3,16)",mixed,4,"(38, 38, 21, 0)",1
"(3,16)",mixed,4,"(38, 38, 28, 0)",1
"(3,16)",mixed,4,"(38, 38, 30, 0)",3
"(3,16)",mixed,4,"(38, 39, 2, 0)",4
"(3,16)",mixed,4,"(38, 39, 3, 0)",10
"(3,16)",mixed,4,"(38, 39, 22, 0)",2
"(3,16)",mixed,4,"(38, 39, 23, 0)",2
"(3,16)",mixed,4,"(38, 39, 28, 0)",3
"(3,16)",mixed,4,"(38, 39, 29, 0)",1
"(3,16)",mixed,4,"(38, 39, 30, 0)",5
"(3,16)",mixed,4,"(38, 39, 36, 0)",1
"(3,16)",mixed,4,"(38, 39, 37, 0)",3
"(3,16)",mixed,4,"(38, 39, 38, 0)",1
"(3,16)",mixed,4,"(38, 39, 39, 0)",5
"(3,16)",mixed,4,"(38, 39, 43, 0)",6
"(3,16)",mixed,4,"(38, 39, 45, 0)",27
"(3,16)",mixed,4,"(38, 39, 46, 0)",2
"(3,16)",mixed,4,"(38, 41, 35, 0)",8
"(3,16)",mixed,4,"(38, 42, 14, 0)",1
"(3,16)",mixed,4,"(38, 42, 42, 0)",4
"(3,16)",mixed,4,"(38, 42, 50, 0)",1
"(3,16)",mixed,4,"(38, 43, 9, 0)",1
"(3,16)",mixed,4,"(38, 45, 11, 0)",11
"(3,16)",mixed,4,"(38, 45, 28, 0)",12
"(3,16)",mixed,4,"(38, 45, 51, 0)",6
"(3,16)",mixed,4,"(38, 46, 41, 0)",3
"(3,16)",mixed,4,"(38, 47, 47, 0)",10
"(3,16)",mixed,4,"(38, 47, 48, 0)",1
"(3,16)",mixed,4,"(38, 47, 51, 0)",7
"(3,16)",mixed,4,"(38, 48, 48, 0)",6
"(3,16)",mixed,4,"(38, 48, 49, 0)",1
"(3,16)",mixed,4,"(38, 49, 2, 0)",1
"(3,16)",mixed,4,"(38, 49, 11, 0)",14
"(3,16)",mixed,4,"(38, 49, 20, 0)",2
"(3,16)",mixed,4,"(38, 49, 29, 0)",2
"(3,16)",mixed,4,"(38, 49, 48, 0)",3
"(3,16)",mixed,4,"(38, 49, 49, 0)",7
"(3,16)",mixed,4,"(38, 49, 50, 0)",2
"(3,16)",mixed,4,"(38, 49, 51, 0)",1
"(3,16)",mixed,4,"(38, 50, 5, 0)",19
"(3,16)",mixed,4,"(38, 50, 11, 0)",2
"(3,16)",mixed,4,"(38, 50, 20, 0)",10
"(3,16)",mixed,4,"(38, 50, 29, 0)",7
"(3,16)",mixed,4,"(38, 50, 42, 0)",9
"(3,16)",mixed,4,"(38, 50, 48, 0)",1
"(3,16)",mixed,4,"(38, 50, 50, 0)",7
"(3,16)",mixed,4,"(39, 3, 3, 0)",1
"(3,16)",mixed,4,"(39, 3, 30, 0)",11
"(3,16)",mixed,4,"(39, 3, 36, 0)",4
"(3,16)",mixed,4,"(39, 3, 39, 0)",1
"(3,16)",mixed,4,"(39, 3, 45, 0)",1
"(3,16)",mixed,4,"(39, 30, 30, 0)",7
"(3,16)",mixed,4,"(39, 30, 36, 0)",5
"(3,16)",mixed,4,"(39, 34, 12, 0)",1
"(3,16)",mixed,4,"(39, 37, 20, 0)",1
"(3,16)",mixed,4,"(39, 37, 23, 0)",1
"(3,16)",mixed,4,"(39, 37, 37, 0)",2
"(3,16)",mixed,4,"(39, 38, 2, 0)",3
"(3,16)",mixed,4,"(39, 38, 3, 0)",2
"(3,16)",mixed,4,"(39, 38, 12, 0)",1
"(3,16)",mixed,4,"(39, 38, 29, 0)",1
"(3,16)",mixed,4,"(39, 38, 30, 0)",18
"(3,16)",mixed,4,"(39, 38, 36, 0)",6
"(3,16)",mixed,4,"(39, 38, 45, 0)",9
"(3,16)",mixed,4,"(39, 39, 2, 0)",1
"(3,16)",mixed,4,"(39, 39, 30, 0)",2
"(3,16)",mixed,4,"(39, 39, 36, 0)",1
"(3,16)",mixed,4,"(39, 39, 46, 0)",1
"(3,16)",mixed,4,"(39, 45, 30, 0)",3
"(3,16)",mixed,4,"(40, 2, 9, 0)",1
"(3,16)",mixed,4,"(40, 2, 11, 0)",9
"(3,16)",mixed,4,"(40, 2, 14, 0)",1
"(3,16)",mixed,4,"(40, 2, 19, 0)",20
