dataset,context_condition,run,message,n_concepts
"(3,4)",coarse,2,"(7, 10, 10, 0)",2
"(3,4)",coarse,2,"(7, 13, 5, 0)",2
"(3,4)",coarse,2,"(7, 13, 13, 0)",1
"(3,4)",coarse,2,"(7, 15, 15, 0)",4
"(3,4)",coarse,2,"(8, 8, 8, 0)",1
"(3,4)",coarse,2,"(8, 8, 15, 0)",1
"(3,4)",coarse,2,"(8, 15, 15, 0)",2
"(3,4)",coarse,2,"(9, 9, 9, 0)",13
"(3,4)",coarse,2,"(9, 9, 13, 0)",1
"(3,4)",coarse,2,"(9, 9, 15, 0)",2
"(3,4)",coarse,2,"(9, 10, 9, 0)",2
"(3,4)",coarse,2,"(9, 10, 10, 0)",1
"(3,4)",coarse,2,"(9, 13, 13, 0)",3
"(3,4)",coarse,2,"(9, 15, 15, 0)",2
"(3,4)",coarse,2,"(10, 6, 10, 0)",1
"(3,4)",coarse,2,"(10, 10, 6, 0)",2
"(3,4)",coarse,2,"(10, 10, 10, 0)",13
"(3,4)",coarse,2,"(10, 14, 14, 0)",1
"(3,4)",coarse,2,"(12, 12, 12, 0)",1
"(3,4)",coarse,2,"(13, 5, 5, 0)",1
"(3,4)",coarse,2,"(13, 5, 13, 0)",5
"(3,4)",coarse,2,"(13, 7, 13, 0)",1
"(3,4)",coarse,2,"(13, 13, 5, 0)",8
"(3,4)",coarse,2,"(13, 13, 13, 0)",20
"(3,4)",coarse,2,"(14, 13, 13, 0)",1
"(3,4)",coarse,2,"(14, 14, 10, 0)",2
"(3,4)",coarse,2,"(14, 14, 14, 0)",13
"(3,4)",coarse,2,"(14, 15, 15, 0)",1
"(3,4)",coarse,2,"(15, 7, 7, 0)",1
"(3,4)",coarse,2,"(15, 7, 15, 0)",1
"(3,4)",coarse,2,"(15, 9, 9, 0)",1
"(3,4)",coarse,2,"(15, 14, 15, 0)",2
"(3,4)",coarse,2,"(15, 15, 14, 0)",1
"(3,4)",coarse,2,"(15, 15, 15, 0)",12
"(3,4)",coarse,3,"(1, 1, 1, 0)",4
"(3,4)",coarse,3,"(1, 8, 1, 0)",1
"(3,4)",coarse,3,"(1, 8, 8, 0)",2
"(3,4)",coarse,3,"(3, 3, 3, 0)",13
"(3,4)",coarse,3,"(3, 3, 6, 0)",1
"(3,4)",coarse,3,"(3, 5, 3, 0)",1
"(3,4)",coarse,3,"(3, 6, 3, 0)",1
"(3,4)",coarse,3,"(4, 1, 1, 0)",2
"(3,4)",coarse,3,"(4, 1, 8, 0)",1
"(3,4)",coarse,3,"(4, 1, 13, 0)",1
"(3,4)",coarse,3,"(4, 3, 1, 0)",1
"(3,4)",coarse,3,"(4, 4, 4, 0)",17
"(3,4)",coarse,3,"(4, 4, 6, 0)",1
"(3,4)",coarse,3,"(4, 8, 8, 0)",3
"(3,4)",coarse,3,"(4, 13, 1, 0)",2
"(3,4)",coarse,3,"(4, 13, 13, 0)",1
"(3,4)",coarse,3,"(5, 5, 1, 0)",1
"(3,4)",coarse,3,"(5, 5, 3, 0)",2
"(3,4)",coarse,3,"(5, 5, 5, 0)",18
"(3,4)",coarse,3,"(6, 3, 3, 0)",1
"(3,4)",coarse,3,"(6, 4, 4, 0)",1
"(3,4)",coarse,3,"(6, 6, 6, 0)",5
"(3,4)",coarse,3,"(6, 13, 6, 0)",1
"(3,4)",coarse,3,"(8, 1, 8, 0)",2
"(3,4)",coarse,3,"(8, 6, 6, 0)",2
"(3,4)",coarse,3,"(8, 8, 6, 0)",1
"(3,4)",coarse,3,"(8, 8, 8, 0)",17
"(3,4)",coarse,3,"(10, 4, 4, 0)",2
"(3,4)",coarse,3,"(10, 6, 4, 0)",2
"(3,4)",coarse,3,"(10, 6, 6, 0)",10
"(3,4)",coarse,3,"(10, 8, 8, 0)",1
"(3,4)",coarse,3,"(10, 10, 8, 0)",1
"(3,4)",coarse,3,"(10, 10, 10, 0)",1
"(3,4)",coarse,3,"(10, 13, 6, 0)",2
"(3,4)",coarse,3,"(10, 13, 13, 0)",3
"(3,4)",coarse,3,"(13, 1, 1, 0)",1
"(3,4)",coarse,3,"(13, 1, 13, 0)",1
"(3,4)",coarse,3,"(13, 3, 3, 0)",1
"(3,4)",coarse,3,"(13, 13, 1, 0)",1
"(3,4)",coarse,3,"(13, 13, 13, 0)",11
"(3,4)",coarse,4,"(1, 1, 1, 0)",6
"(3,4)",coarse,4,"(1, 1, 4, 0)",2
"(3,4)",coarse,4,"(1, 1, 14, 0)",1
"(3,4)",coarse,4,"(1, 4, 1, 0)",1
"(3,4)",coarse,4,"(1, 9, 9, 0)",1
"(3,4)",coarse,4,"(1, 14, 1, 0)",1
"(3,4)",coarse,4,"(1, 15, 15, 0)",1
"(3,4)",coarse,4,"(3, 9, 9, 0)",1
"(3,4)",coarse,4,"(4, 1, 1, 0)",1
"(3,4)",coarse,4,"(4, 1, 15, 0)",4
"(3,4)",coarse,4,"(4, 4, 1, 0)",1
"(3,4)",coarse,4,"(4, 4, 4, 0)",10
"(3,4)",coarse,4,"(4, 4, 8, 0)",1
"(3,4)",coarse,4,"(4, 4, 14, 0)",1
"(3,4)",coarse,4,"(4, 4, 15, 0)",1
"(3,4)",coarse,4,"(4, 5, 5, 0)",1
"(3,4)",coarse,4,"(4, 8, 8, 0)",4
"(3,4)",coarse,4,"(4, 9, 9, 0)",1
"(3,4)",coarse,4,"(4, 10, 10, 0)",1
"(3,4)",coarse,4,"(4, 14, 14, 0)",1
"(3,4)",coarse,4,"(4, 14, 15, 0)",1
"(3,4)",coarse,4,"(4, 15, 15, 0)",9
"(3,4)",coarse,4,"(5, 5, 5, 0)",14
"(3,4)",coarse,4,"(5, 5, 9, 0)",2
"(3,4)",coarse,4,"(5, 5, 15, 0)",1
"(3,4)",coarse,4,"(5, 9, 9, 0)",3
"(3,4)",coarse,4,"(5, 10, 5, 0)",1
"(3,4)",coarse,4,"(8, 8, 8, 0)",13
"(3,4)",coarse,4,"(8, 10, 8, 0)",1
"(3,4)",coarse,4,"(9, 9, 5, 0)",1
"(3,4)",coarse,4,"(9, 9, 9, 0)",18
"(3,4)",coarse,4,"(10, 1, 1, 0)",1
"(3,4)",coarse,4,"(10, 1, 15, 0)",2
"(3,4)",coarse,4,"(10, 4, 4, 0)",2
"(3,4)",coarse,4,"(10, 5, 5, 0)",2
"(3,4)",coarse,4,"(10, 5, 15, 0)",1
"(3,4)",coarse,4,"(10, 8, 8, 0)",1
"(3,4)",coarse,4,"(10, 10, 4, 0)",1
"(3,4)",coarse,4,"(10, 10, 5, 0)",1
"(3,4)",coarse,4,"(10, 10, 10, 0)",4
"(3,4)",coarse,4,"(10, 10, 15, 0)",5
"(3,4)",coarse,4,"(10, 15, 15, 0)",10
"(3,4)",coarse,4,"(14, 4, 4, 0)",2
"(3,4)",coarse,4,"(14, 4, 14, 0)",1
"(3,4)",coarse,4,"(14, 14, 1, 0)",4
"(3,4)",coarse,4,"(14, 14, 4, 0)",3
"(3,4)",coarse,4,"(14, 14, 10, 0)",1
"(3,4)",coarse,4,"(14, 14, 14, 0)",12
"(3,4)",coarse,4,"(14, 14, 15, 0)",2
"(3,4)",coarse,4,"(14, 15, 14, 0)",2
"(3,4)",coarse,4,"(14, 15, 15, 0)",3
"(3,4)",coarse,4,"(15, 15, 15, 0)",8
"(3,4)",mixed,0,"(2, 7, 9, 0)",1
"(3,4)",mixed,0,"(3, 2, 2, 0)",3
"(3,4)",mixed,0,"(3, 2, 7, 0)",3
"(3,4)",mixed,0,"(3, 2, 9, 0)",2
"(3,4)",mixed,0,"(3, 2, 15, 0)",1
"(3,4)",mixed,0,"(3, 3, 2, 0)",1
"(3,4)",mixed,0,"(3, 3, 3, 0)",1
"(3,4)",mixed,0,"(3, 3, 4, 0)",3
"(3,4)",mixed,0,"(3, 3, 8, 0)",3
"(3,4)",mixed,0,"(3, 3, 11, 0)",2
"(3,4)",mixed,0,"(3, 4, 4, 0)",1
"(3,4)",mixed,0,"(3, 4, 7, 0)",2
"(3,4)",mixed,0,"(3, 4, 8, 0)",2
"(3,4)",mixed,0,"(3, 4, 15, 0)",1
"(3,4)",mixed,0,"(3, 7, 4, 0)",2
"(3,4)",mixed,0,"(3, 8, 8, 0)",2
"(3,4)",mixed,0,"(3, 8, 9, 0)",1
"(3,4)",mixed,0,"(3, 9, 8, 0)",1
"(3,4)",mixed,0,"(3, 9, 9, 0)",1
"(3,4)",mixed,0,"(3, 9, 15, 0)",3
"(3,4)",mixed,0,"(3, 10, 10, 0)",1
"(3,4)",mixed,0,"(3, 11, 3, 0)",1
"(3,4)",mixed,0,"(3, 11, 11, 0)",2
"(3,4)",mixed,0,"(3, 15, 2, 0)",3
"(3,4)",mixed,0,"(3, 15, 3, 0)",2
"(3,4)",mixed,0,"(3, 15, 4, 0)",3
"(3,4)",mixed,0,"(3, 15, 9, 0)",1
"(3,4)",mixed,0,"(3, 15, 11, 0)",1
"(3,4)",mixed,0,"(3, 15, 15, 0)",4
"(3,4)",mixed,0,"(4, 4, 4, 0)",1
"(3,4)",mixed,0,"(4, 8, 3, 0)",1
"(3,4)",mixed,0,"(4, 8, 4, 0)",2
"(3,4)",mixed,0,"(4, 8, 8, 0)",1
"(3,4)",mixed,0,"(4, 8, 11, 0)",1
"(3,4)",mixed,0,"(4, 8, 12, 0)",1
"(3,4)",mixed,0,"(4, 15, 4, 0)",1
"(3,4)",mixed,0,"(5, 3, 3, 0)",2
"(3,4)",mixed,0,"(5, 3, 5, 0)",2
"(3,4)",mixed,0,"(5, 4, 4, 0)",1
"(3,4)",mixed,0,"(5, 4, 5, 0)",1
"(3,4)",mixed,0,"(5, 4, 8, 0)",1
"(3,4)",mixed,0,"(5, 5, 5, 0)",4
"(3,4)",mixed,0,"(5, 5, 8, 0)",1
"(3,4)",mixed,0,"(5, 8, 5, 0)",1
"(3,4)",mixed,0,"(5, 9, 3, 0)",2
"(3,4)",mixed,0,"(5, 9, 5, 0)",1
"(3,4)",mixed,0,"(5, 9, 8, 0)",1
"(3,4)",mixed,0,"(5, 9, 9, 0)",2
"(3,4)",mixed,0,"(5, 10, 10, 0)",1
"(3,4)",mixed,0,"(5, 11, 3, 0)",1
"(3,4)",mixed,0,"(5, 11, 5, 0)",1
"(3,4)",mixed,0,"(5, 11, 8, 0)",1
"(3,4)",mixed,0,"(5, 11, 10, 0)",1
"(3,4)",mixed,0,"(5, 11, 11, 0)",1
"(3,4)",mixed,0,"(5, 15, 4, 0)",1
"(3,4)",mixed,0,"(5, 15, 9, 0)",2
"(3,4)",mixed,0,"(5, 15, 11, 0)",1
"(3,4)",mixed,0,"(7, 3, 2, 0)",1
"(3,4)",mixed,0,"(7, 3, 4, 0)",2
"(3,4)",mixed,0,"(7, 3, 6, 0)",1
"(3,4)",mixed,0,"(7, 4, 3, 0)",1
"(3,4)",mixed,0,"(7, 4, 4, 0)",2
"(3,4)",mixed,0,"(7, 4, 7, 0)",1
"(3,4)",mixed,0,"(7, 4, 15, 0)",2
"(3,4)",mixed,0,"(7, 7, 3, 0)",1
"(3,4)",mixed,0,"(7, 7, 7, 0)",2
"(3,4)",mixed,0,"(7, 7, 9, 0)",2
"(3,4)",mixed,0,"(7, 7, 12, 0)",1
"(3,4)",mixed,0,"(7, 7, 15, 0)",3
"(3,4)",mixed,0,"(7, 9, 7, 0)",1
"(3,4)",mixed,0,"(7, 9, 9, 0)",2
"(3,4)",mixed,0,"(7, 15, 9, 0)",1
"(3,4)",mixed,0,"(7, 15, 15, 0)",1
"(3,4)",mixed,0,"(8, 3, 3, 0)",1
"(3,4)",mixed,0,"(8, 3, 8, 0)",2
"(3,4)",mixed,0,"(8, 4, 3, 0)",1
"(3,4)",mixed,0,"(8, 4, 8, 0)",3
"(3,4)",mixed,0,"(8, 8, 3, 0)",5
"(3,4)",mixed,0,"(8, 8, 4, 0)",1
"(3,4)",mixed,0,"(8, 8, 8, 0)",4
"(3,4)",mixed,0,"(8, 8, 9, 0)",1
"(3,4)",mixed,0,"(8, 8, 11, 0)",1
"(3,4)",mixed,0,"(8, 8, 12, 0)",1
"(3,4)",mixed,0,"(8, 9, 8, 0)",1
"(3,4)",mixed,0,"(8, 9, 9, 0)",1
"(3,4)",mixed,0,"(8, 11, 8, 0)",1
"(3,4)",mixed,0,"(8, 11, 12, 0)",1
"(3,4)",mixed,0,"(8, 12, 3, 0)",1
"(3,4)",mixed,0,"(8, 12, 9, 0)",3
"(3,4)",mixed,0,"(8, 12, 12, 0)",2
"(3,4)",mixed,0,"(9, 3, 3, 0)",2
"(3,4)",mixed,0,"(9, 3, 8, 0)",2
"(3,4)",mixed,0,"(9, 3, 9, 0)",1
"(3,4)",mixed,0,"(9, 7, 9, 0)",1
"(3,4)",mixed,0,"(9, 8, 3, 0)",2
"(3,4)",mixed,0,"(9, 8, 8, 0)",1
"(3,4)",mixed,0,"(9, 9, 3, 0)",2
"(3,4)",mixed,0,"(9, 9, 9, 0)",4
"(3,4)",mixed,0,"(9, 12, 9, 0)",1
"(3,4)",mixed,0,"(9, 15, 9, 0)",2
"(3,4)",mixed,0,"(10, 3, 10, 0)",1
"(3,4)",mixed,0,"(10, 4, 15, 0)",1
"(3,4)",mixed,0,"(10, 10, 10, 0)",1
"(3,4)",mixed,0,"(10, 10, 11, 0)",1
"(3,4)",mixed,0,"(10, 10, 15, 0)",1
"(3,4)",mixed,0,"(10, 11, 3, 0)",1
"(3,4)",mixed,0,"(10, 11, 11, 0)",1
"(3,4)",mixed,0,"(10, 15, 10, 0)",1
"(3,4)",mixed,0,"(10, 15, 11, 0)",2
"(3,4)",mixed,0,"(11, 3, 3, 0)",1
"(3,4)",mixed,0,"(11, 3, 8, 0)",1
"(3,4)",mixed,0,"(11, 3, 11, 0)",2
"(3,4)",mixed,0,"(11, 8, 3, 0)",1
"(3,4)",mixed,0,"(11, 8, 11, 0)",2
"(3,4)",mixed,0,"(11, 8, 12, 0)",1
"(3,4)",mixed,0,"(11, 11, 11, 0)",1
"(3,4)",mixed,0,"(12, 3, 2, 0)",1
"(3,4)",mixed,0,"(12, 4, 8, 0)",2
"(3,4)",mixed,0,"(12, 4, 12, 0)",1
"(3,4)",mixed,0,"(12, 4, 15, 0)",1
"(3,4)",mixed,0,"(12, 7, 2, 0)",1
"(3,4)",mixed,0,"(12, 7, 4, 0)",1
"(3,4)",mixed,0,"(12, 7, 7, 0)",2
"(3,4)",mixed,0,"(12, 7, 9, 0)",2
"(3,4)",mixed,0,"(12, 7, 12, 0)",4
