message,count,symbols,fixed_attribute_values
"(11, 11, 13, 0)",1,"{(11, 13)}","{(3, '?', '?')}"
"(11, 11, 15, 0)",2,"{(11, 15)}","{(3, '?', 3)}"
"(11, 11, 5, 0)",1,"{(11, 5)}","{(3, 2, 3)}"
"(11, 12, 0, 0)",1,"{(0, 11, 12)}","{(3, 1, 2)}"
"(11, 12, 11, 0)",1,"{(11, 12)}","{(3, 1, 2)}"
"(11, 12, 12, 0)",1,"{(11, 12)}","{(3, 1, 2)}"
"(11, 12, 13, 0)",1,"{(11, 12, 13)}","{(3, 3, 2)}"
"(11, 12, 3, 0)",1,"{(3, 11, 12)}","{(3, 0, 2)}"
"(11, 13, 13, 0)",1,"{(11, 13)}","{(3, 3, '?')}"
"(11, 13, 15, 0)",1,"{(11, 13, 15)}","{(3, 3, 1)}"
"(11, 13, 3, 0)",1,"{(3, 11, 13)}","{(3, 0, 1)}"
"(11, 13, 8, 0)",1,"{(8, 11, 13)}","{(3, '?', 0)}"
"(11, 13, 9, 0)",1,"{(9, 11, 13)}","{(3, 3, 0)}"
"(11, 15, 15, 0)",1,"{(11, 15)}","{(3, 3, 3)}"
"(11, 3, 3, 0)",1,"{(3, 11)}","{(3, 0, '?')}"
"(11, 3, 8, 0)",1,"{(3, 8, 11)}","{(3, 0, 3)}"
"(11, 3, 9, 0)",1,"{(3, 9, 11)}","{(3, 0, 0)}"
"(11, 5, 12, 0)",1,"{(11, 12, 5)}","{(3, 2, 2)}"
"(11, 5, 5, 0)",2,"{(11, 5)}","{(3, 2, '?')}"
"(11, 5, 8, 0)",1,"{(8, 11, 5)}","{(3, 2, 0)}"
"(11, 5, 9, 0)",1,"{(9, 11, 5)}","{(3, 2, 0)}"
"(11, 7, 15, 0)",1,"{(11, 15, 7)}","{(1, 3, 3)}"
"(11, 7, 7, 0)",1,"{(11, 7)}","{(1, '?', 3)}"
"(11, 7, 8, 0)",1,"{(8, 11, 7)}","{(1, 1, 3)}"
"(11, 8, 13, 0)",1,"{(8, 11, 13)}","{(3, 1, 1)}"
"(11, 8, 8, 0)",1,"{(8, 11)}","{('?', 1, 3)}"
"(11, 8, 9, 0)",1,"{(8, 9, 11)}","{(3, 1, 0)}"
"(11, 9, 8, 0)",1,"{(8, 9, 11)}","{(3, 1, 0)}"
"(12, 12, 12, 0)",1,"{(12,)}","{('?', '?', 2)}"
"(12, 12, 9, 0)",1,"{(9, 12)}","{(0, '?', 2)}"
"(12, 13, 13, 0)",1,"{(12, 13)}","{('?', 3, 2)}"
"(12, 3, 12, 0)",1,"{(3, 12)}","{('?', 0, 2)}"
"(12, 3, 2, 0)",1,"{(2, 3, 12)}","{(2, 0, 2)}"
"(12, 3, 3, 0)",2,"{(3, 12)}","{('?', 0, 2)}"
"(12, 3, 9, 0)",1,"{(9, 3, 12)}","{(0, 0, '?')}"
"(12, 9, 12, 0)",1,"{(9, 12)}","{(0, '?', 2)}"
"(13, 13, 13, 0)",1,"{(13,)}","{('?', 3, '?')}"
"(13, 15, 15, 0)",1,"{(13, 15)}","{('?', 3, 3)}"
"(13, 8, 8, 0)",1,"{(8, 13)}","{('?', '?', 0)}"
"(13, 9, 8, 0)",1,"{(8, 9, 13)}","{('?', 3, 0)}"
"(14, 14, 14, 0)",1,"{(14,)}","{(2, 3, 1)}"
"(2, 12, 5, 0)",1,"{(2, 12, 5)}","{(2, 2, 2)}"
"(2, 14, 14, 0)",1,"{(2, 14)}","{(2, '?', 1)}"
"(2, 14, 5, 0)",1,"{(2, 5, 14)}","{(2, 2, 1)}"
