message,count,symbols,fixed_attribute_values
"(10, 10, 10, 0)",1,"{(10,)}","{(0, 0, '?')}"
"(10, 10, 11, 0)",1,"{(10, 11)}","{(0, 0, '?')}"
"(10, 10, 15, 0)",1,"{(10, 15)}","{(0, 0, 0)}"
"(10, 11, 11, 0)",1,"{(10, 11)}","{(0, 0, '?')}"
"(10, 11, 3, 0)",1,"{(3, 10, 11)}","{(0, 0, 3)}"
"(10, 15, 10, 0)",1,"{(10, 15)}","{(0, 0, 0)}"
"(10, 15, 11, 0)",2,"{(10, 11, 15)}","{(0, 0, '?')}"
"(10, 3, 10, 0)",1,"{(10, 3)}","{(0, 0, 3)}"
"(10, 4, 15, 0)",1,"{(10, 4, 15)}","{(0, 1, 0)}"
"(11, 11, 11, 0)",1,"{(11,)}","{('?', 0, '?')}"
"(11, 3, 11, 0)",2,"{(3, 11)}","{('?', 0, 0)}"
"(11, 3, 3, 0)",1,"{(3, 11)}","{(1, 0, 0)}"
"(11, 3, 8, 0)",1,"{(3, 8, 11)}","{(2, 0, 0)}"
"(11, 8, 11, 0)",2,"{(8, 11)}","{(2, 0, '?')}"
"(11, 8, 12, 0)",1,"{(8, 11, 12)}","{(2, 0, 2)}"
"(11, 8, 3, 0)",1,"{(8, 3, 11)}","{(2, 0, 0)}"
"(12, 11, 11, 0)",1,"{(11, 12)}","{(2, 0, 2)}"
"(12, 11, 12, 0)",2,"{(11, 12)}","{('?', 0, 2)}"
"(12, 11, 15, 0)",1,"{(11, 12, 15)}","{(3, 0, 2)}"
"(12, 12, 11, 0)",2,"{(11, 12)}","{('?', 0, 2)}"
"(12, 12, 12, 0)",11,"{(12,)}","{('?', '?', 2)}"
"(12, 12, 15, 0)",3,"{(12, 15)}","{('?', '?', 2)}"
"(12, 12, 4, 0)",1,"{(12, 4)}","{(3, 1, 2)}"
"(12, 12, 8, 0)",1,"{(8, 12)}","{(1, 3, 2)}"
"(12, 15, 11, 0)",1,"{(11, 12, 15)}","{(3, 0, 2)}"
"(12, 15, 12, 0)",2,"{(12, 15)}","{(3, '?', 2)}"
"(12, 15, 3, 0)",1,"{(3, 12, 15)}","{(3, 2, 2)}"
"(12, 15, 4, 0)",1,"{(12, 4, 15)}","{(3, 1, 2)}"
"(12, 15, 9, 0)",1,"{(9, 12, 15)}","{(3, 3, 2)}"
"(12, 3, 2, 0)",1,"{(2, 3, 12)}","{(3, 2, 2)}"
"(12, 4, 12, 0)",1,"{(12, 4)}","{('?', 1, 2)}"
"(12, 4, 15, 0)",1,"{(12, 4, 15)}","{(3, 1, 2)}"
"(12, 4, 8, 0)",2,"{(8, 12, 4)}","{(1, '?', 2)}"
"(12, 7, 12, 0)",4,"{(12, 7)}","{(0, '?', 2)}"
"(12, 7, 2, 0)",1,"{(2, 12, 7)}","{(0, 2, 2)}"
"(12, 7, 4, 0)",1,"{(12, 4, 7)}","{(0, 1, 2)}"
"(12, 7, 7, 0)",2,"{(12, 7)}","{(0, '?', 2)}"
"(12, 7, 9, 0)",2,"{(9, 12, 7)}","{(0, '?', 2)}"
"(12, 8, 12, 0)",2,"{(8, 12)}","{(1, '?', 2)}"
"(12, 8, 4, 0)",1,"{(8, 12, 4)}","{(1, 1, 2)}"
"(12, 8, 9, 0)",1,"{(8, 9, 12)}","{(1, 2, 2)}"
"(12, 9, 12, 0)",3,"{(9, 12)}","{('?', '?', 2)}"
"(12, 9, 8, 0)",1,"{(8, 9, 12)}","{(1, 2, 2)}"
"(15, 11, 15, 0)",1,"{(11, 15)}","{(3, 0, 0)}"
"(15, 15, 11, 0)",1,"{(11, 15)}","{(3, 0, 0)}"
"(15, 15, 15, 0)",1,"{(15,)}","{(3, '?', 0)}"
"(15, 15, 9, 0)",2,"{(9, 15)}","{('?', '?', 0)}"
"(15, 3, 11, 0)",1,"{(11, 3, 15)}","{(3, 0, 0)}"
"(15, 3, 15, 0)",2,"{(3, 15)}","{(3, '?', 0)}"
