message,count,symbols,fixed_attribute_values
"(1, 13, 29, 0)",1,"{(1, 29, 13)}","{(5, 8, 1)}"
"(1, 13, 3, 0)",3,"{(1, 3, 13)}","{('?', '?', 1)}"
"(1, 16, 18, 0)",3,"{(16, 1, 18)}","{('?', '?', 2)}"
"(1, 16, 3, 0)",2,"{(16, 1, 3)}","{('?', '?', '?')}"
"(1, 16, 35, 0)",2,"{(16, 1, 35)}","{('?', '?', '?')}"
"(1, 16, 45, 0)",4,"{(16, 1, 45)}","{('?', '?', 2)}"
"(1, 18, 17, 0)",2,"{(1, 18, 17)}","{(3, '?', 2)}"
"(1, 18, 37, 0)",1,"{(1, 18, 37)}","{(12, 3, 2)}"
"(1, 21, 18, 0)",2,"{(1, 18, 21)}","{(6, '?', 2)}"
"(1, 21, 3, 0)",4,"{(1, 3, 21)}","{('?', '?', '?')}"
"(1, 21, 33, 0)",2,"{(1, 21, 33)}","{(6, '?', 7)}"
"(1, 21, 35, 0)",1,"{(1, 35, 21)}","{(2, 3, '?')}"
"(1, 21, 45, 0)",3,"{(1, 45, 21)}","{('?', '?', '?')}"
"(1, 25, 18, 0)",5,"{(1, 18, 25)}","{('?', '?', 2)}"
"(1, 25, 3, 0)",5,"{(1, 3, 25)}","{('?', '?', '?')}"
"(1, 25, 35, 0)",4,"{(1, 35, 25)}","{('?', '?', '?')}"
"(1, 25, 45, 0)",6,"{(1, 45, 25)}","{('?', '?', 2)}"
"(1, 3, 16, 0)",2,"{(16, 1, 3)}","{('?', '?', '?')}"
"(1, 3, 17, 0)",2,"{(1, 3, 17)}","{(3, '?', 2)}"
"(1, 3, 18, 0)",2,"{(1, 18, 3)}","{('?', '?', 2)}"
"(1, 3, 21, 0)",3,"{(1, 3, 21)}","{('?', '?', '?')}"
"(1, 3, 25, 0)",4,"{(1, 3, 25)}","{(3, '?', '?')}"
"(1, 3, 3, 0)",2,"{(1, 3)}","{('?', '?', '?')}"
"(1, 3, 35, 0)",1,"{(1, 3, 35)}","{('?', 3, '?')}"
"(1, 3, 37, 0)",4,"{(1, 3, 37)}","{('?', '?', 2)}"
"(1, 3, 38, 0)",2,"{(1, 3, 38)}","{('?', 3, 2)}"
"(1, 3, 42, 0)",1,"{(1, 42, 3)}","{(10, 3, '?')}"
"(1, 3, 43, 0)",1,"{(1, 3, 43)}","{(10, 3, 2)}"
"(1, 3, 44, 0)",1,"{(1, 3, 44)}","{(3, 8, '?')}"
"(1, 3, 45, 0)",6,"{(1, 3, 45)}","{('?', '?', 2)}"
"(1, 33, 13, 0)",1,"{(1, 13, 33)}","{(3, 3, 9)}"
"(1, 33, 3, 0)",1,"{(1, 3, 33)}","{('?', 3, 1)}"
"(1, 35, 17, 0)",2,"{(1, 35, 17)}","{(3, '?', 2)}"
"(1, 35, 18, 0)",1,"{(1, 18, 35)}","{('?', 8, 2)}"
"(1, 35, 21, 0)",1,"{(1, 35, 21)}","{(12, 8, '?')}"
"(1, 35, 37, 0)",4,"{(1, 35, 37)}","{('?', '?', 2)}"
"(1, 35, 40, 0)",1,"{(40, 1, 35)}","{(0, 8, '?')}"
"(1, 35, 44, 0)",1,"{(1, 35, 44)}","{(3, 8, '?')}"
"(1, 38, 25, 0)",2,"{(1, 38, 25)}","{(3, '?', 15)}"
"(1, 42, 18, 0)",2,"{(1, 42, 18)}","{('?', 3, 2)}"
"(1, 42, 3, 0)",4,"{(1, 42, 3)}","{('?', '?', '?')}"
"(1, 42, 35, 0)",1,"{(1, 42, 35)}","{(8, 3, '?')}"
"(1, 42, 42, 0)",1,"{(1, 42)}","{(10, 8, '?')}"
"(1, 42, 45, 0)",3,"{(1, 42, 45)}","{('?', '?', 2)}"
"(1, 43, 38, 0)",1,"{(1, 43, 38)}","{(8, 3, 6)}"
"(1, 9, 3, 0)",1,"{(1, 3, 9)}","{(6, 8, 7)}"
"(1, 9, 45, 0)",1,"{(1, 45, 9)}","{(6, 3, 7)}"
"(10, 10, 13, 0)",1,"{(10, 13)}","{(3, 10, 9)}"
"(10, 10, 9, 0)",2,"{(9, 10)}","{(0, 9, '?')}"
"(10, 11, 10, 0)",2,"{(10, 11)}","{(7, '?', '?')}"
