message,count,symbols,fixed_attribute_values
"(1, 1, 1, 0)",2,"{(1,)}","{('?', '?', 2)}"
"(1, 1, 15, 0)",2,"{(1, 15)}","{('?', '?', 2)}"
"(1, 1, 5, 0)",1,"{(1, 5)}","{(0, '?', 2)}"
"(1, 15, 1, 0)",2,"{(1, 15)}","{('?', '?', 2)}"
"(1, 15, 2, 0)",1,"{(1, 2, 15)}","{(2, '?', 2)}"
"(1, 2, 2, 0)",1,"{(1, 2)}","{('?', 0, 2)}"
"(1, 8, 2, 0)",1,"{(8, 1, 2)}","{(2, 0, 2)}"
"(10, 1, 10, 0)",1,"{(1, 10)}","{(0, 3, 2)}"
"(10, 10, 10, 0)",1,"{(10,)}","{(0, '?', 3)}"
"(10, 10, 11, 0)",1,"{(10, 11)}","{(0, 3, 0)}"
"(10, 10, 13, 0)",1,"{(10, 13)}","{(0, 2, 3)}"
"(10, 11, 4, 0)",1,"{(10, 11, 4)}","{(0, 3, '?')}"
"(10, 13, 13, 0)",3,"{(10, 13)}","{(0, 2, '?')}"
"(10, 13, 8, 0)",1,"{(8, 10, 13)}","{(0, 2, 2)}"
"(10, 4, 4, 0)",1,"{(10, 4)}","{(0, 3, '?')}"
"(10, 4, 5, 0)",1,"{(10, 4, 5)}","{(0, 3, '?')}"
"(10, 5, 4, 0)",1,"{(10, 4, 5)}","{(0, '?', '?')}"
"(10, 6, 11, 0)",1,"{(10, 11, 6)}","{(0, 3, 0)}"
"(10, 6, 13, 0)",1,"{(10, 13, 6)}","{(0, 2, 0)}"
"(10, 6, 6, 0)",1,"{(10, 6)}","{(0, '?', 0)}"
"(10, 8, 13, 0)",1,"{(8, 10, 13)}","{(0, 2, 3)}"
"(10, 8, 8, 0)",1,"{(8, 10)}","{(0, 2, 2)}"
"(11, 10, 1, 0)",1,"{(1, 10, 11)}","{('?', 3, '?')}"
"(11, 10, 10, 0)",1,"{(10, 11)}","{('?', 3, '?')}"
"(11, 10, 4, 0)",2,"{(10, 11, 4)}","{('?', 3, '?')}"
"(11, 10, 5, 0)",1,"{(10, 11, 5)}","{('?', 3, '?')}"
"(11, 11, 11, 0)",1,"{(11,)}","{(1, 3, 1)}"
"(11, 11, 13, 0)",1,"{(11, 13)}","{(1, 2, 1)}"
"(11, 11, 4, 0)",2,"{(11, 4)}","{(1, '?', 1)}"
"(11, 11, 7, 0)",1,"{(11, 7)}","{(1, 1, 1)}"
"(11, 13, 13, 0)",2,"{(11, 13)}","{('?', 2, 1)}"
"(11, 4, 4, 0)",2,"{(11, 4)}","{('?', '?', 1)}"
"(11, 7, 4, 0)",1,"{(11, 4, 7)}","{(1, 1, 1)}"
"(13, 10, 13, 0)",1,"{(10, 13)}","{('?', 2, 3)}"
"(13, 13, 13, 0)",7,"{(13,)}","{('?', 2, '?')}"
"(14, 14, 14, 0)",3,"{(14,)}","{('?', 0, 0)}"
"(14, 14, 8, 0)",1,"{(8, 14)}","{(1, 0, 0)}"
"(14, 8, 2, 0)",2,"{(8, 2, 14)}","{('?', 0, 0)}"
"(15, 1, 1, 0)",2,"{(1, 15)}","{(2, '?', 2)}"
"(15, 1, 10, 0)",4,"{(1, 10, 15)}","{('?', '?', 2)}"
"(15, 1, 15, 0)",1,"{(1, 15)}","{(2, '?', 2)}"
"(15, 1, 7, 0)",1,"{(1, 7, 15)}","{(2, 1, '?')}"
"(15, 10, 1, 0)",1,"{(1, 10, 15)}","{(1, 3, 2)}"
"(15, 10, 10, 0)",3,"{(10, 15)}","{('?', '?', 3)}"
"(15, 10, 13, 0)",2,"{(10, 13, 15)}","{('?', 2, 3)}"
"(15, 10, 7, 0)",1,"{(10, 7, 15)}","{(1, 1, 3)}"
"(15, 13, 13, 0)",1,"{(13, 15)}","{(2, 2, '?')}"
"(15, 15, 10, 0)",4,"{(10, 15)}","{('?', '?', 3)}"
"(15, 15, 15, 0)",1,"{(15,)}","{(2, '?', '?')}"
"(15, 15, 2, 0)",1,"{(2, 15)}","{(2, '?', 3)}"
"(15, 2, 10, 0)",1,"{(2, 10, 15)}","{(1, 0, 3)}"
"(15, 2, 2, 0)",1,"{(2, 15)}","{(2, 0, 3)}"
"(15, 6, 11, 0)",1,"{(11, 6, 15)}","{(2, 3, 0)}"
"(15, 6, 13, 0)",1,"{(13, 6, 15)}","{(2, 2, 0)}"
"(15, 6, 6, 0)",2,"{(6, 15)}","{(2, '?', 0)}"
"(15, 7, 10, 0)",1,"{(10, 7, 15)}","{(2, 1, 3)}"
"(15, 7, 11, 0)",1,"{(11, 7, 15)}","{(2, 1, 0)}"
"(15, 7, 15, 0)",1,"{(7, 15)}","{(2, 1, '?')}"
"(15, 7, 6, 0)",1,"{(7, 6, 15)}","{(2, 1, 0)}"
"(15, 7, 7, 0)",1,"{(7, 15)}","{(2, 1, '?')}"
"(15, 8, 1, 0)",1,"{(8, 1, 15)}","{(2, 2, 2)}"
"(15, 8, 8, 0)",2,"{(8, 15)}","{('?', 2, 2)}"
"(2, 1, 2, 0)",1,"{(1, 2)}","{('?', 0, 2)}"
"(2, 14, 14, 0)",1,"{(2, 14)}","{(2, 0, 0)}"
"(2, 14, 2, 0)",1,"{(2, 14)}","{(2, 0, 0)}"
"(2, 2, 1, 0)",1,"{(1, 2)}","{(2, 0, 2)}"
"(2, 2, 2, 0)",2,"{(2,)}","{('?', 0, '?')}"
"(2, 2, 8, 0)",1,"{(8, 2)}","{(2, 0, '?')}"
"(2, 8, 1, 0)",1,"{(8, 1, 2)}","{(2, 0, 2)}"
"(2, 8, 2, 0)",1,"{(8, 2)}","{(2, 0, '?')}"
"(3, 1, 2, 0)",1,"{(1, 2, 3)}","{('?', 0, 2)}"
"(3, 1, 3, 0)",2,"{(1, 3)}","{(3, '?', 2)}"
"(3, 10, 10, 0)",1,"{(10, 3)}","{(3, 3, 3)}"
"(3, 10, 13, 0)",1,"{(10, 3, 13)}","{(3, 2, 3)}"
"(3, 10, 2, 0)",1,"{(2, 10, 3)}","{(3, 0, 3)}"
"(3, 11, 9, 0)",1,"{(11, 9, 3)}","{(3, 3, '?')}"
"(3, 13, 13, 0)",5,"{(3, 13)}","{(3, 2, '?')}"
"(3, 3, 1, 0)",1,"{(1, 3)}","{(3, 3, 2)}"
"(3, 3, 10, 0)",2,"{(10, 3)}","{(3, '?', 3)}"
"(3, 3, 11, 0)",1,"{(11, 3)}","{(3, 3, '?')}"
"(3, 3, 2, 0)",1,"{(2, 3)}","{(3, 0, 0)}"
"(3, 3, 3, 0)",3,"{(3,)}","{(3, '?', '?')}"
"(3, 3, 4, 0)",1,"{(3, 4)}","{(3, 0, 1)}"
"(3, 3, 6, 0)",2,"{(3, 6)}","{(3, '?', 0)}"
"(3, 3, 9, 0)",1,"{(9, 3)}","{(3, 3, '?')}"
"(3, 4, 13, 0)",1,"{(3, 4, 13)}","{(3, 2, 1)}"
"(3, 4, 3, 0)",1,"{(3, 4)}","{(3, 0, 1)}"
"(3, 6, 11, 0)",1,"{(11, 3, 6)}","{(3, 3, 0)}"
"(3, 6, 13, 0)",1,"{(3, 13, 6)}","{(3, 2, 0)}"
"(3, 6, 2, 0)",1,"{(2, 3, 6)}","{(3, 0, 0)}"
"(3, 6, 3, 0)",1,"{(3, 6)}","{(3, 0, 0)}"
"(3, 6, 6, 0)",2,"{(3, 6)}","{(3, '?', 0)}"
"(3, 7, 1, 0)",1,"{(1, 3, 7)}","{(3, 1, 2)}"
"(3, 7, 10, 0)",1,"{(10, 3, 7)}","{(3, 1, 3)}"
"(3, 7, 5, 0)",1,"{(3, 5, 7)}","{(3, 1, 3)}"
"(3, 7, 6, 0)",1,"{(3, 6, 7)}","{(3, 1, '?')}"
"(3, 7, 7, 0)",1,"{(3, 7)}","{(3, 1, '?')}"
"(3, 8, 13, 0)",1,"{(8, 3, 13)}","{(3, 2, 2)}"
"(3, 8, 8, 0)",1,"{(8, 3)}","{(3, 2, 2)}"
"(3, 9, 11, 0)",1,"{(11, 9, 3)}","{(3, 3, '?')}"
"(3, 9, 4, 0)",1,"{(9, 3, 4)}","{(3, 3, 1)}"
"(3, 9, 7, 0)",1,"{(9, 3, 7)}","{(3, 3, '?')}"
"(4, 13, 13, 0)",2,"{(4, 13)}","{('?', 2, 1)}"
"(4, 2, 2, 0)",3,"{(2, 4)}","{('?', 0, 1)}"
"(4, 2, 4, 0)",2,"{(2, 4)}","{('?', 0, 1)}"
"(4, 2, 8, 0)",1,"{(8, 2, 4)}","{(2, 0, 1)}"
"(4, 4, 4, 0)",2,"{(4,)}","{('?', '?', 1)}"
