message,count,symbols,fixed_attribute_values
"(1, 1, 16, 0)",1,"{(16, 1)}","{(3, 3, '?')}"
"(1, 1, 24, 0)",1,"{(24, 1)}","{('?', 3, '?')}"
"(1, 1, 3, 0)",1,"{(1, 3)}","{('?', 3, '?')}"
"(1, 11, 11, 0)",1,"{(1, 11)}","{('?', 5, 2)}"
"(1, 11, 14, 0)",1,"{(1, 11, 14)}","{('?', 5, 5)}"
"(1, 11, 15, 0)",1,"{(1, 11, 15)}","{('?', 5, 1)}"
"(1, 11, 23, 0)",2,"{(1, 11, 23)}","{('?', '?', 1)}"
"(1, 11, 24, 0)",1,"{(24, 1, 11)}","{('?', 5, 2)}"
"(1, 11, 25, 0)",1,"{(1, 11, 25)}","{('?', 5, 1)}"
"(1, 13, 13, 0)",2,"{(1, 13)}","{(0, '?', '?')}"
"(1, 13, 14, 0)",1,"{(1, 13, 14)}","{(5, 3, 5)}"
"(1, 13, 16, 0)",2,"{(16, 1, 13)}","{('?', 3, '?')}"
"(1, 13, 3, 0)",1,"{(1, 3, 13)}","{(5, 5, '?')}"
"(1, 14, 14, 0)",2,"{(1, 14)}","{('?', '?', 5)}"
"(1, 14, 19, 0)",1,"{(1, 19, 14)}","{('?', 3, 5)}"
"(1, 14, 24, 0)",1,"{(24, 1, 14)}","{('?', 3, 5)}"
"(1, 16, 14, 0)",1,"{(16, 1, 14)}","{(3, 3, 5)}"
"(1, 3, 3, 0)",1,"{(1, 3)}","{('?', 5, '?')}"
"(10, 10, 10, 0)",1,"{(10,)}","{('?', 0, 5)}"
"(10, 10, 14, 0)",1,"{(10, 14)}","{('?', 4, 5)}"
"(10, 10, 26, 0)",1,"{(10, 26)}","{('?', 0, 2)}"
"(10, 26, 26, 0)",1,"{(10, 26)}","{('?', 0, 2)}"
"(11, 10, 10, 0)",1,"{(10, 11)}","{(2, 0, 2)}"
"(11, 10, 18, 0)",2,"{(18, 10, 11)}","{('?', '?', 2)}"
"(11, 10, 20, 0)",1,"{(10, 11, 20)}","{(6, 4, 1)}"
"(11, 10, 26, 0)",1,"{(26, 10, 11)}","{(6, 4, 2)}"
"(11, 10, 9, 0)",1,"{(9, 10, 11)}","{(6, 4, 1)}"
"(11, 11, 16, 0)",1,"{(16, 11)}","{(6, 7, 2)}"
"(11, 11, 19, 0)",1,"{(19, 11)}","{('?', 7, 2)}"
"(11, 11, 24, 0)",1,"{(24, 11)}","{(2, '?', 2)}"
"(11, 11, 5, 0)",1,"{(11, 5)}","{(2, 6, 2)}"
"(11, 11, 9, 0)",1,"{(9, 11)}","{(6, 4, 1)}"
"(11, 16, 16, 0)",1,"{(16, 11)}","{(6, 5, 2)}"
"(11, 16, 25, 0)",1,"{(16, 25, 11)}","{(6, 3, 1)}"
"(11, 17, 19, 0)",2,"{(19, 17, 11)}","{(2, '?', 2)}"
"(11, 18, 10, 0)",1,"{(10, 18, 11)}","{(2, 0, 2)}"
"(11, 18, 11, 0)",2,"{(18, 11)}","{('?', '?', 2)}"
"(11, 18, 18, 0)",1,"{(18, 11)}","{(4, 0, 2)}"
"(11, 18, 20, 0)",1,"{(18, 11, 20)}","{(4, 0, 1)}"
"(11, 18, 26, 0)",1,"{(26, 18, 11)}","{(6, 4, 2)}"
"(11, 18, 9, 0)",2,"{(9, 18, 11)}","{('?', '?', 1)}"
"(11, 19, 19, 0)",2,"{(19, 11)}","{(4, '?', 2)}"
"(11, 19, 8, 0)",1,"{(19, 8, 11)}","{(4, 3, 1)}"
