message,count,symbols,fixed_attribute_values
"(1, 1, 1, 0)",4,"{(1,)}","{('?', 1, '?')}"
"(1, 8, 1, 0)",1,"{(8, 1)}","{(0, 1, 3)}"
"(1, 8, 8, 0)",2,"{(8, 1)}","{(0, 1, '?')}"
"(10, 10, 10, 0)",1,"{(10,)}","{('?', '?', 3)}"
"(10, 10, 8, 0)",1,"{(8, 10)}","{(0, 3, 3)}"
"(10, 13, 13, 0)",3,"{(10, 13)}","{(2, 3, '?')}"
"(10, 13, 6, 0)",2,"{(10, 13, 6)}","{(2, 3, '?')}"
"(10, 4, 4, 0)",2,"{(10, 4)}","{(3, 3, '?')}"
"(10, 6, 4, 0)",2,"{(10, 4, 6)}","{(3, 3, '?')}"
"(10, 6, 6, 0)",10,"{(10, 6)}","{('?', 3, '?')}"
"(10, 8, 8, 0)",1,"{(8, 10)}","{(0, 3, 3)}"
"(13, 1, 1, 0)",1,"{(1, 13)}","{(2, 1, 2)}"
"(13, 1, 13, 0)",1,"{(1, 13)}","{(2, 1, 2)}"
"(13, 13, 1, 0)",1,"{(1, 13)}","{(2, 1, '?')}"
"(13, 13, 13, 0)",11,"{(13,)}","{(2, '?', '?')}"
"(13, 3, 3, 0)",1,"{(3, 13)}","{(2, 2, 2)}"
"(3, 3, 3, 0)",13,"{(3,)}","{('?', 2, '?')}"
"(3, 3, 6, 0)",1,"{(3, 6)}","{(0, 2, 1)}"
"(3, 5, 3, 0)",1,"{(3, 5)}","{(1, 2, 2)}"
"(3, 6, 3, 0)",1,"{(3, 6)}","{(0, 2, 1)}"
"(4, 1, 1, 0)",2,"{(1, 4)}","{('?', '?', 0)}"
"(4, 1, 13, 0)",1,"{(1, 4, 13)}","{('?', '?', 0)}"
"(4, 1, 8, 0)",1,"{(8, 1, 4)}","{('?', 0, 0)}"
"(4, 13, 1, 0)",2,"{(1, 4, 13)}","{('?', '?', 0)}"
"(4, 13, 13, 0)",1,"{(4, 13)}","{('?', '?', 0)}"
"(4, 3, 1, 0)",1,"{(1, 3, 4)}","{('?', '?', 0)}"
"(4, 4, 4, 0)",17,"{(4,)}","{(3, '?', '?')}"
"(4, 4, 6, 0)",1,"{(4, 6)}","{(3, 0, 1)}"
"(4, 8, 8, 0)",3,"{(8, 4)}","{('?', 0, '?')}"
"(5, 5, 1, 0)",1,"{(1, 5)}","{(1, 1, 2)}"
"(5, 5, 3, 0)",2,"{(3, 5)}","{(1, 2, '?')}"
"(5, 5, 5, 0)",18,"{(5,)}","{(1, '?', '?')}"
"(6, 13, 6, 0)",1,"{(13, 6)}","{(2, '?', 1)}"
"(6, 3, 3, 0)",1,"{(3, 6)}","{(0, 2, 1)}"
"(6, 4, 4, 0)",1,"{(4, 6)}","{(3, 2, 1)}"
"(6, 6, 6, 0)",5,"{(6,)}","{('?', '?', 1)}"
"(8, 1, 8, 0)",2,"{(8, 1)}","{(0, 1, '?')}"
"(8, 6, 6, 0)",2,"{(8, 6)}","{(0, '?', 1)}"
"(8, 8, 6, 0)",1,"{(8, 6)}","{(0, 3, 1)}"
"(8, 8, 8, 0)",17,"{(8,)}","{(0, '?', '?')}"
