message,count,symbols,fixed_attribute_values
"(11, 11, 11, 0)",9,"{(11,)}","{(0, '?', '?')}"
"(11, 11, 19, 0)",2,"{(19, 11)}","{(0, 3, '?')}"
"(11, 19, 19, 0)",1,"{(19, 11)}","{(0, 3, '?')}"
"(11, 6, 6, 0)",1,"{(11, 6)}","{(0, 1, 2)}"
"(12, 1, 11, 0)",1,"{(1, 11, 12)}","{('?', '?', 3)}"
"(12, 12, 11, 0)",6,"{(11, 12)}","{('?', '?', '?')}"
"(12, 12, 12, 0)",9,"{(12,)}","{(3, '?', '?')}"
"(12, 12, 2, 0)",1,"{(2, 12)}","{('?', '?', 5)}"
"(12, 12, 20, 0)",3,"{(12, 20)}","{('?', '?', '?')}"
"(12, 12, 4, 0)",1,"{(12, 4)}","{('?', '?', 0)}"
"(12, 12, 9, 0)",6,"{(9, 12)}","{(1, '?', '?')}"
"(12, 2, 2, 0)",6,"{(2, 12)}","{(6, '?', '?')}"
"(12, 20, 20, 0)",1,"{(12, 20)}","{('?', '?', 6)}"
"(12, 23, 11, 0)",5,"{(11, 12, 23)}","{(4, '?', '?')}"
"(12, 24, 25, 0)",4,"{(24, 25, 12)}","{('?', 5, '?')}"
"(12, 25, 25, 0)",3,"{(25, 12)}","{('?', 5, '?')}"
"(12, 4, 4, 0)",1,"{(12, 4)}","{('?', '?', 0)}"
"(12, 7, 7, 0)",4,"{(12, 7)}","{(5, '?', '?')}"
"(14, 14, 25, 0)",5,"{(25, 14)}","{('?', 7, '?')}"
"(14, 25, 14, 0)",14,"{(25, 14)}","{('?', 7, '?')}"
"(14, 25, 25, 0)",61,"{(25, 14)}","{('?', 7, '?')}"
"(14, 7, 25, 0)",1,"{(25, 14, 7)}","{(0, 7, '?')}"
"(16, 16, 16, 0)",62,"{(16,)}","{('?', 6, '?')}"
"(19, 19, 19, 0)",61,"{(19,)}","{('?', 3, '?')}"
"(2, 16, 16, 0)",7,"{(16, 2)}","{(7, 6, '?')}"
"(2, 2, 16, 0)",6,"{(16, 2)}","{(7, '?', '?')}"
"(2, 2, 2, 0)",32,"{(2,)}","{(7, '?', '?')}"
"(2, 2, 25, 0)",2,"{(25, 2)}","{(7, '?', '?')}"
"(2, 2, 6, 0)",1,"{(2, 6)}","{(7, 1, 6)}"
"(23, 1, 11, 0)",1,"{(1, 11, 23)}","{('?', '?', 2)}"
"(23, 1, 7, 0)",1,"{(1, 7, 23)}","{('?', '?', 2)}"
"(23, 11, 11, 0)",6,"{(11, 23)}","{(2, '?', '?')}"
"(23, 12, 4, 0)",1,"{(12, 4, 23)}","{('?', '?', 0)}"
"(23, 20, 20, 0)",1,"{(20, 23)}","{(2, '?', 4)}"
"(23, 23, 11, 0)",1,"{(11, 23)}","{(4, '?', 2)}"
"(24, 24, 25, 0)",4,"{(24, 25)}","{('?', 5, '?')}"
"(24, 25, 24, 0)",8,"{(24, 25)}","{('?', 5, '?')}"
"(24, 25, 25, 0)",70,"{(24, 25)}","{('?', 5, '?')}"
"(26, 25, 25, 0)",8,"{(25, 26)}","{('?', 5, '?')}"
"(26, 25, 26, 0)",1,"{(25, 26)}","{(7, 5, 7)}"
"(26, 26, 26, 0)",69,"{(26,)}","{('?', 4, '?')}"
"(6, 6, 6, 0)",56,"{(6,)}","{('?', 1, '?')}"
"(7, 11, 7, 0)",1,"{(11, 7)}","{(0, 0, 4)}"
"(7, 7, 7, 0)",56,"{(7,)}","{('?', 0, '?')}"
"(9, 9, 2, 0)",1,"{(9, 2)}","{(6, 2, 0)}"
"(9, 9, 9, 0)",61,"{(9,)}","{('?', 2, '?')}"
