message,count,symbols,fixed_attribute_values
"(15, 15, 10, 0)",2,"{(10, 15)}","{(4, '?', 4)}"
"(15, 15, 15, 0)",4,"{(15,)}","{('?', '?', 4)}"
"(15, 15, 2, 0)",2,"{(2, 15)}","{('?', 0, 4)}"
"(15, 15, 22, 0)",6,"{(22, 15)}","{('?', '?', 4)}"
"(15, 15, 23, 0)",2,"{(23, 15)}","{(4, '?', 4)}"
"(15, 15, 3, 0)",1,"{(3, 15)}","{(4, 4, 4)}"
"(15, 15, 6, 0)",2,"{(6, 15)}","{('?', '?', 1)}"
"(15, 22, 2, 0)",1,"{(2, 22, 15)}","{(1, 0, 4)}"
"(15, 22, 20, 0)",2,"{(20, 22, 15)}","{('?', 3, 4)}"
"(15, 22, 22, 0)",5,"{(22, 15)}","{('?', '?', 4)}"
"(15, 22, 23, 0)",2,"{(23, 22, 15)}","{('?', '?', 4)}"
"(15, 22, 5, 0)",2,"{(5, 22, 15)}","{('?', '?', 4)}"
"(15, 23, 20, 0)",3,"{(23, 20, 15)}","{('?', '?', 4)}"
"(15, 23, 22, 0)",1,"{(23, 22, 15)}","{(1, 6, 4)}"
"(15, 23, 23, 0)",2,"{(23, 15)}","{('?', '?', 4)}"
"(15, 23, 5, 0)",2,"{(23, 5, 15)}","{('?', 6, 4)}"
"(15, 3, 10, 0)",1,"{(10, 3, 15)}","{(4, 5, 4)}"
"(15, 3, 2, 0)",3,"{(2, 3, 15)}","{('?', '?', 4)}"
"(15, 3, 3, 0)",1,"{(3, 15)}","{(4, 2, 4)}"
"(15, 6, 14, 0)",3,"{(14, 6, 15)}","{('?', '?', 1)}"
"(15, 6, 15, 0)",6,"{(6, 15)}","{('?', '?', 1)}"
"(15, 6, 17, 0)",2,"{(17, 6, 15)}","{(4, '?', 1)}"
"(15, 6, 2, 0)",2,"{(2, 6, 15)}","{(4, '?', 1)}"
"(15, 6, 20, 0)",1,"{(20, 6, 15)}","{(4, 1, 1)}"
"(15, 6, 23, 0)",6,"{(23, 6, 15)}","{('?', '?', 1)}"
"(15, 6, 5, 0)",2,"{(5, 6, 15)}","{(4, '?', 1)}"
"(15, 6, 6, 0)",4,"{(6, 15)}","{('?', '?', 1)}"
"(15, 6, 7, 0)",8,"{(7, 6, 15)}","{('?', '?', 1)}"
"(15, 7, 22, 0)",2,"{(7, 22, 15)}","{('?', '?', 4)}"
"(15, 7, 23, 0)",5,"{(7, 23, 15)}","{('?', '?', 4)}"
"(15, 7, 3, 0)",1,"{(3, 7, 15)}","{(1, 5, 4)}"
"(16, 10, 10, 0)",12,"{(16, 10)}","{('?', '?', 4)}"
"(16, 10, 16, 0)",3,"{(16, 10)}","{('?', '?', 4)}"
"(16, 10, 2, 0)",3,"{(16, 10, 2)}","{(7, '?', 4)}"
"(16, 10, 20, 0)",4,"{(16, 10, 20)}","{(7, '?', 4)}"
"(16, 10, 22, 0)",1,"{(16, 10, 22)}","{(7, '?', 4)}"
"(16, 10, 4, 0)",1,"{(16, 10, 4)}","{(7, 2, 4)}"
"(16, 11, 10, 0)",1,"{(16, 10, 11)}","{(5, 5, 4)}"
"(16, 11, 20, 0)",1,"{(16, 11, 20)}","{(5, 7, 4)}"
"(16, 12, 20, 0)",2,"{(16, 12, 20)}","{(7, '?', 4)}"
"(16, 16, 10, 0)",1,"{(16, 10)}","{(5, 4, 2)}"
"(16, 16, 16, 0)",12,"{(16,)}","{('?', '?', '?')}"
"(16, 16, 2, 0)",9,"{(16, 2)}","{(5, '?', '?')}"
"(16, 16, 20, 0)",5,"{(16, 20)}","{(5, '?', '?')}"
"(16, 17, 10, 0)",3,"{(16, 17, 10)}","{(5, '?', 4)}"
"(16, 17, 16, 0)",6,"{(16, 17)}","{('?', '?', 4)}"
"(16, 17, 20, 0)",2,"{(16, 17, 20)}","{(5, '?', 4)}"
"(16, 18, 25, 0)",1,"{(16, 25, 18)}","{(7, 4, 5)}"
"(16, 19, 16, 0)",5,"{(16, 19)}","{('?', '?', '?')}"
"(16, 19, 18, 0)",2,"{(16, 18, 19)}","{(7, 0, '?')}"
"(16, 19, 19, 0)",2,"{(16, 19)}","{(7, '?', '?')}"
"(16, 19, 20, 0)",2,"{(16, 19, 20)}","{(5, '?', 3)}"
"(16, 19, 24, 0)",2,"{(16, 24, 19)}","{('?', '?', 3)}"
"(16, 19, 25, 0)",1,"{(16, 25, 19)}","{(7, 2, 0)}"
"(16, 19, 4, 0)",3,"{(16, 19, 4)}","{('?', '?', 3)}"
"(16, 2, 16, 0)",8,"{(16, 2)}","{('?', '?', '?')}"
"(16, 2, 2, 0)",11,"{(16, 2)}","{('?', '?', '?')}"
"(16, 2, 20, 0)",7,"{(16, 2, 20)}","{('?', '?', '?')}"
