message,count,symbols,fixed_attribute_values
"(1, 1, 1, 0)",11,"{(1,)}","{('?', '?', '?')}"
"(1, 1, 15, 0)",2,"{(1, 15)}","{(2, '?', 6)}"
"(1, 1, 17, 0)",4,"{(1, 17)}","{('?', '?', 5)}"
"(1, 1, 18, 0)",6,"{(1, 18)}","{('?', '?', 6)}"
"(1, 1, 22, 0)",2,"{(1, 22)}","{('?', 7, 4)}"
"(1, 1, 24, 0)",1,"{(24, 1)}","{(1, 7, 1)}"
"(1, 1, 26, 0)",1,"{(1, 26)}","{(2, 6, 5)}"
"(1, 1, 27, 0)",3,"{(1, 27)}","{('?', '?', 1)}"
"(1, 1, 3, 0)",4,"{(1, 3)}","{('?', '?', 3)}"
"(1, 1, 6, 0)",6,"{(1, 6)}","{('?', '?', '?')}"
"(1, 1, 7, 0)",1,"{(1, 7)}","{(2, 7, 5)}"
"(1, 1, 8, 0)",4,"{(8, 1)}","{('?', '?', '?')}"
"(1, 1, 9, 0)",3,"{(1, 9)}","{(1, '?', 3)}"
"(1, 16, 6, 0)",2,"{(16, 1, 6)}","{('?', 0, 6)}"
"(1, 17, 1, 0)",2,"{(1, 17)}","{(1, '?', 5)}"
"(1, 17, 13, 0)",2,"{(1, 13, 17)}","{('?', 6, 5)}"
"(1, 17, 17, 0)",2,"{(1, 17)}","{('?', 6, 5)}"
"(1, 18, 1, 0)",2,"{(1, 18)}","{(2, '?', 6)}"
"(1, 18, 6, 0)",1,"{(1, 18, 6)}","{(1, '?', 6)}"
"(1, 22, 1, 0)",6,"{(1, 22)}","{('?', '?', 4)}"
"(1, 22, 17, 0)",4,"{(1, 22, 17)}","{('?', '?', 4)}"
"(1, 22, 6, 0)",3,"{(1, 22, 6)}","{('?', '?', 4)}"
"(1, 22, 8, 0)",2,"{(8, 1, 22)}","{('?', '?', 4)}"
"(1, 24, 1, 0)",4,"{(24, 1)}","{('?', '?', 1)}"
"(1, 24, 25, 0)",2,"{(24, 1, 25)}","{('?', 2, 1)}"
"(1, 24, 27, 0)",1,"{(24, 1, 27)}","{(2, 1, 1)}"
"(1, 24, 6, 0)",6,"{(24, 1, 6)}","{('?', '?', 1)}"
"(1, 24, 9, 0)",2,"{(24, 1, 9)}","{('?', '?', 1)}"
"(1, 25, 25, 0)",2,"{(1, 25)}","{(2, '?', 3)}"
"(1, 25, 3, 0)",1,"{(1, 3, 25)}","{(2, 1, 3)}"
"(1, 26, 19, 0)",1,"{(1, 26, 19)}","{(2, 1, 5)}"
"(1, 26, 26, 0)",1,"{(1, 26)}","{(1, 5, 5)}"
"(1, 26, 4, 0)",2,"{(1, 26, 4)}","{(2, '?', 5)}"
"(1, 26, 6, 0)",3,"{(1, 26, 6)}","{('?', '?', 5)}"
"(1, 26, 7, 0)",1,"{(1, 26, 7)}","{(2, 0, 5)}"
"(1, 27, 1, 0)",3,"{(1, 27)}","{('?', '?', 1)}"
"(1, 27, 13, 0)",1,"{(1, 27, 13)}","{(1, 6, 1)}"
"(1, 27, 3, 0)",2,"{(3, 1, 27)}","{('?', 6, 1)}"
"(1, 3, 1, 0)",1,"{(1, 3)}","{(2, 6, 3)}"
"(1, 3, 13, 0)",1,"{(1, 3, 13)}","{(1, 6, 3)}"
"(1, 3, 3, 0)",3,"{(1, 3)}","{('?', '?', 3)}"
"(1, 4, 25, 0)",1,"{(1, 4, 25)}","{(2, 2, 5)}"
"(1, 6, 22, 0)",1,"{(1, 6, 22)}","{(1, '?', 4)}"
"(1, 6, 24, 0)",2,"{(24, 1, 6)}","{(1, '?', 1)}"
"(1, 6, 26, 0)",1,"{(1, 26, 6)}","{(1, 5, 5)}"
"(1, 6, 6, 0)",6,"{(1, 6)}","{('?', '?', '?')}"
"(1, 6, 7, 0)",7,"{(1, 6, 7)}","{('?', '?', 5)}"
"(1, 6, 8, 0)",1,"{(8, 1, 6)}","{(1, 0, '?')}"
"(1, 8, 13, 0)",1,"{(8, 1, 13)}","{(1, 2, 5)}"
"(1, 8, 26, 0)",1,"{(8, 1, 26)}","{(1, 2, 5)}"
"(1, 8, 6, 0)",1,"{(8, 1, 6)}","{(1, 2, '?')}"
"(1, 8, 7, 0)",1,"{(8, 1, 7)}","{(1, 2, '?')}"
"(1, 8, 8, 0)",1,"{(8, 1)}","{(1, 2, '?')}"
"(1, 9, 25, 0)",2,"{(1, 9, 25)}","{(1, '?', 3)}"
"(1, 9, 3, 0)",1,"{(1, 3, 9)}","{(1, 1, 3)}"
"(1, 9, 6, 0)",4,"{(1, 9, 6)}","{('?', '?', 3)}"
"(1, 9, 9, 0)",7,"{(1, 9)}","{('?', '?', 3)}"
"(10, 10, 10, 0)",3,"{(10,)}","{('?', '?', '?')}"
"(10, 10, 18, 0)",2,"{(10, 18)}","{(4, '?', 7)}"
"(10, 10, 19, 0)",1,"{(10, 19)}","{(0, 4, 2)}"
"(10, 10, 2, 0)",10,"{(10, 2)}","{('?', '?', '?')}"
"(10, 10, 20, 0)",2,"{(10, 20)}","{(3, 4, '?')}"
"(10, 10, 22, 0)",2,"{(10, 22)}","{('?', '?', 4)}"
"(10, 10, 25, 0)",1,"{(25, 10)}","{(0, 3, 3)}"
"(10, 10, 5, 0)",2,"{(10, 5)}","{(3, 5, '?')}"
"(10, 10, 6, 0)",2,"{(10, 6)}","{(4, '?', '?')}"
"(10, 10, 8, 0)",3,"{(8, 10)}","{(0, '?', '?')}"
"(10, 15, 18, 0)",1,"{(10, 18, 15)}","{(4, 3, 7)}"
"(10, 17, 19, 0)",1,"{(17, 10, 19)}","{(3, 0, 5)}"
"(10, 18, 10, 0)",1,"{(10, 18)}","{(4, 4, 7)}"
"(10, 19, 10, 0)",3,"{(10, 19)}","{('?', '?', 5)}"
"(10, 19, 17, 0)",1,"{(17, 10, 19)}","{(0, 0, 5)}"
"(10, 19, 19, 0)",3,"{(10, 19)}","{('?', '?', 5)}"
"(10, 19, 2, 0)",1,"{(2, 10, 19)}","{(0, 5, 0)}"
"(10, 19, 3, 0)",1,"{(3, 10, 19)}","{(3, 0, 5)}"
"(10, 19, 4, 0)",3,"{(10, 19, 4)}","{('?', 0, 5)}"
"(10, 19, 5, 0)",2,"{(10, 19, 5)}","{(0, '?', 0)}"
"(10, 19, 7, 0)",3,"{(10, 19, 7)}","{('?', '?', 5)}"
"(10, 2, 10, 0)",10,"{(10, 2)}","{('?', '?', '?')}"
"(10, 2, 2, 0)",5,"{(10, 2)}","{('?', '?', 0)}"
"(10, 2, 23, 0)",1,"{(10, 2, 23)}","{(0, '?', 2)}"
"(10, 2, 25, 0)",2,"{(25, 10, 2)}","{(0, '?', 0)}"
"(10, 2, 5, 0)",5,"{(10, 2, 5)}","{('?', '?', '?')}"
"(10, 2, 6, 0)",1,"{(10, 2, 6)}","{(3, 5, 2)}"
"(10, 2, 8, 0)",2,"{(8, 10, 2)}","{(3, '?', 2)}"
"(10, 20, 2, 0)",1,"{(10, 2, 20)}","{(3, 3, 0)}"
"(10, 20, 8, 0)",1,"{(8, 10, 20)}","{(3, 5, 2)}"
"(10, 22, 10, 0)",4,"{(10, 22)}","{('?', '?', 4)}"
"(10, 22, 19, 0)",1,"{(10, 19, 22)}","{(0, 5, 4)}"
"(10, 22, 23, 0)",1,"{(10, 22, 23)}","{(0, 0, 4)}"
"(10, 22, 6, 0)",4,"{(10, 22, 6)}","{('?', '?', 4)}"
"(10, 24, 25, 0)",2,"{(24, 25, 10)}","{('?', 5, 1)}"
"(10, 25, 10, 0)",2,"{(25, 10)}","{(0, '?', 3)}"
"(10, 25, 25, 0)",1,"{(25, 10)}","{(4, 5, 3)}"
"(10, 25, 3, 0)",1,"{(25, 10, 3)}","{(0, 0, 3)}"
"(10, 25, 9, 0)",2,"{(25, 10, 9)}","{('?', 0, 3)}"
"(10, 26, 10, 0)",4,"{(10, 26)}","{('?', '?', 5)}"
"(10, 26, 7, 0)",1,"{(10, 26, 7)}","{(4, 3, 5)}"
"(10, 26, 8, 0)",1,"{(8, 10, 26)}","{(4, 3, 5)}"
"(10, 4, 19, 0)",1,"{(10, 19, 4)}","{(3, 0, 5)}"
"(10, 5, 10, 0)",2,"{(10, 5)}","{(4, 5, '?')}"
"(10, 5, 5, 0)",1,"{(10, 5)}","{(3, '?', 2)}"
"(10, 6, 10, 0)",3,"{(10, 6)}","{('?', '?', '?')}"
"(10, 6, 25, 0)",1,"{(25, 10, 6)}","{(0, 4, 3)}"
"(10, 6, 8, 0)",3,"{(8, 10, 6)}","{('?', '?', '?')}"
"(10, 7, 10, 0)",7,"{(10, 7)}","{('?', '?', 5)}"
"(10, 7, 17, 0)",1,"{(17, 10, 7)}","{(4, 2, 5)}"
"(10, 7, 19, 0)",10,"{(10, 19, 7)}","{('?', '?', 5)}"
"(10, 7, 26, 0)",3,"{(10, 26, 7)}","{('?', '?', 5)}"
"(10, 7, 3, 0)",2,"{(10, 3, 7)}","{('?', 2, 5)}"
"(10, 7, 6, 0)",4,"{(10, 6, 7)}","{('?', '?', 5)}"
"(10, 7, 7, 0)",1,"{(10, 7)}","{(3, 1, 5)}"
"(10, 8, 10, 0)",3,"{(8, 10)}","{('?', '?', '?')}"
"(10, 8, 11, 0)",2,"{(8, 10, 11)}","{('?', 0, '?')}"
"(10, 8, 19, 0)",3,"{(8, 10, 19)}","{('?', '?', '?')}"
"(10, 8, 25, 0)",2,"{(8, 25, 10)}","{(0, '?', '?')}"
"(10, 8, 6, 0)",4,"{(8, 10, 6)}","{('?', '?', '?')}"
"(10, 8, 8, 0)",1,"{(8, 10)}","{(0, '?', '?')}"
"(10, 9, 10, 0)",2,"{(9, 10)}","{(0, '?', 3)}"
"(10, 9, 25, 0)",6,"{(9, 10, 25)}","{('?', '?', 3)}"
"(11, 1, 9, 0)",1,"{(1, 11, 9)}","{(2, 4, 3)}"
"(11, 26, 26, 0)",1,"{(26, 11)}","{(2, 5, 5)}"
"(11, 26, 4, 0)",2,"{(26, 11, 4)}","{('?', 5, 5)}"
"(11, 26, 7, 0)",1,"{(26, 11, 7)}","{(1, 5, 5)}"
"(11, 4, 1, 0)",2,"{(1, 11, 4)}","{('?', 0, 5)}"
"(11, 4, 11, 0)",1,"{(11, 4)}","{(1, 0, 5)}"
"(11, 4, 13, 0)",1,"{(11, 4, 13)}","{(2, 0, 5)}"
"(11, 4, 26, 0)",1,"{(26, 11, 4)}","{(2, 5, 5)}"
"(11, 4, 4, 0)",2,"{(11, 4)}","{('?', 0, 5)}"
"(11, 6, 24, 0)",1,"{(24, 11, 6)}","{(1, 5, 1)}"
"(11, 9, 10, 0)",1,"{(9, 10, 11)}","{(2, 5, 3)}"
"(11, 9, 25, 0)",1,"{(9, 11, 25)}","{(2, 5, 3)}"
"(12, 12, 27, 0)",1,"{(27, 12)}","{(7, 5, 1)}"
"(12, 21, 4, 0)",2,"{(4, 12, 21)}","{('?', '?', 1)}"
"(12, 21, 9, 0)",1,"{(9, 12, 21)}","{(6, 3, 1)}"
"(12, 27, 13, 0)",1,"{(27, 12, 13)}","{(7, 5, 1)}"
"(12, 27, 27, 0)",1,"{(27, 12)}","{(6, 5, 1)}"
"(12, 4, 13, 0)",1,"{(13, 12, 4)}","{(7, 5, 3)}"
"(14, 11, 4, 0)",1,"{(11, 4, 14)}","{(7, 0, 2)}"
"(14, 13, 13, 0)",2,"{(13, 14)}","{(7, 2, '?')}"
"(14, 14, 13, 0)",1,"{(13, 14)}","{(5, 2, 0)}"
"(14, 14, 14, 0)",4,"{(14,)}","{('?', '?', '?')}"
"(14, 14, 26, 0)",1,"{(26, 14)}","{(5, 5, 0)}"
"(14, 14, 6, 0)",1,"{(14, 6)}","{(6, 0, 2)}"
"(14, 14, 7, 0)",7,"{(14, 7)}","{('?', '?', '?')}"
"(14, 14, 8, 0)",1,"{(8, 14)}","{(6, 0, 2)}"
"(14, 17, 13, 0)",1,"{(17, 13, 14)}","{(7, 1, 2)}"
"(14, 17, 17, 0)",2,"{(17, 14)}","{(7, '?', 2)}"
"(14, 17, 5, 0)",1,"{(17, 5, 14)}","{(7, 1, 2)}"
"(14, 20, 7, 0)",2,"{(20, 14, 7)}","{('?', 5, 0)}"
"(14, 22, 22, 0)",2,"{(14, 22)}","{('?', '?', '?')}"
"(14, 22, 4, 0)",1,"{(4, 14, 22)}","{(5, 0, 0)}"
"(14, 22, 6, 0)",2,"{(6, 14, 22)}","{('?', 0, 2)}"
"(14, 22, 7, 0)",1,"{(7, 14, 22)}","{(6, 2, 2)}"
"(14, 22, 8, 0)",1,"{(8, 14, 22)}","{(6, 0, 2)}"
"(14, 23, 23, 0)",2,"{(14, 23)}","{('?', 6, 2)}"
"(14, 26, 26, 0)",2,"{(26, 14)}","{('?', 5, 0)}"
"(14, 26, 4, 0)",2,"{(26, 4, 14)}","{('?', 5, 0)}"
"(14, 26, 6, 0)",1,"{(26, 14, 6)}","{(6, 5, 2)}"
"(14, 26, 7, 0)",1,"{(26, 14, 7)}","{(5, 5, 2)}"
"(14, 5, 17, 0)",1,"{(17, 5, 14)}","{(7, 1, 2)}"
"(14, 5, 7, 0)",1,"{(5, 14, 7)}","{(5, 6, 0)}"
"(14, 6, 8, 0)",2,"{(8, 14, 6)}","{('?', 0, 2)}"
"(14, 7, 11, 0)",1,"{(11, 14, 7)}","{(5, 2, 2)}"
"(14, 7, 12, 0)",2,"{(12, 14, 7)}","{('?', 2, 0)}"
"(14, 7, 13, 0)",4,"{(13, 14, 7)}","{('?', 2, '?')}"
"(14, 7, 17, 0)",1,"{(17, 14, 7)}","{(6, 1, 2)}"
"(14, 7, 23, 0)",3,"{(23, 14, 7)}","{('?', 6, '?')}"
"(14, 7, 26, 0)",4,"{(26, 14, 7)}","{('?', '?', '?')}"
"(14, 7, 3, 0)",1,"{(3, 14, 7)}","{(6, 1, 2)}"
"(14, 7, 5, 0)",1,"{(5, 14, 7)}","{(5, 7, 2)}"
"(14, 7, 6, 0)",1,"{(6, 14, 7)}","{(5, '?', 2)}"
"(14, 7, 7, 0)",3,"{(14, 7)}","{('?', '?', '?')}"
"(14, 8, 26, 0)",2,"{(8, 26, 14)}","{(5, '?', 2)}"
"(15, 1, 26, 0)",3,"{(1, 26, 15)}","{('?', '?', 6)}"
