message,count,symbols,fixed_attribute_values
"(11, 11, 26, 0)",4,"{(26, 11)}","{(2, '?', '?')}"
"(11, 11, 30, 0)",8,"{(11, 30)}","{('?', '?', '?')}"
"(11, 11, 33, 0)",6,"{(33, 11)}","{('?', '?', '?')}"
"(11, 11, 41, 0)",13,"{(41, 11)}","{('?', '?', '?')}"
"(11, 11, 42, 0)",7,"{(42, 11)}","{('?', '?', '?')}"
"(11, 11, 46, 0)",5,"{(11, 46)}","{('?', '?', '?')}"
"(11, 11, 48, 0)",19,"{(48, 11)}","{('?', '?', '?')}"
"(11, 11, 6, 0)",5,"{(11, 6)}","{('?', '?', '?')}"
"(11, 11, 8, 0)",12,"{(8, 11)}","{('?', '?', '?')}"
"(11, 14, 21, 0)",1,"{(11, 21, 14)}","{(14, 7, 3)}"
"(11, 14, 25, 0)",1,"{(25, 11, 14)}","{(11, 12, 3)}"
"(11, 14, 40, 0)",1,"{(40, 11, 14)}","{(11, 7, 3)}"
"(11, 17, 23, 0)",1,"{(17, 11, 23)}","{(11, 9, 1)}"
"(11, 22, 22, 0)",1,"{(11, 22)}","{(2, 5, 9)}"
"(11, 25, 25, 0)",3,"{(25, 11)}","{('?', '?', 3)}"
"(11, 26, 16, 0)",5,"{(16, 26, 11)}","{('?', '?', '?')}"
"(11, 26, 21, 0)",7,"{(26, 11, 21)}","{('?', '?', '?')}"
"(11, 26, 33, 0)",1,"{(33, 26, 11)}","{(2, 9, 13)}"
"(11, 26, 43, 0)",1,"{(43, 26, 11)}","{(14, 7, 5)}"
"(11, 26, 6, 0)",8,"{(26, 11, 6)}","{('?', '?', '?')}"
"(11, 30, 23, 0)",1,"{(11, 30, 23)}","{(11, 6, 1)}"
"(11, 30, 30, 0)",1,"{(11, 30)}","{(5, 1, 0)}"
"(11, 35, 10, 0)",1,"{(35, 10, 11)}","{(2, 5, 3)}"
"(11, 35, 21, 0)",1,"{(35, 11, 21)}","{(2, 5, 3)}"
"(11, 35, 28, 0)",1,"{(35, 11, 28)}","{(2, 5, 3)}"
"(11, 35, 37, 0)",1,"{(35, 11, 37)}","{(2, 5, 3)}"
"(11, 35, 38, 0)",1,"{(35, 11, 38)}","{(14, 5, 3)}"
"(11, 41, 21, 0)",1,"{(41, 11, 21)}","{(2, 12, 3)}"
"(11, 41, 38, 0)",3,"{(41, 11, 38)}","{('?', '?', 3)}"
"(11, 41, 41, 0)",4,"{(41, 11)}","{('?', '?', '?')}"
"(11, 41, 42, 0)",2,"{(41, 42, 11)}","{(2, '?', 3)}"
"(11, 41, 45, 0)",1,"{(41, 11, 45)}","{(2, 6, 3)}"
"(11, 41, 48, 0)",2,"{(48, 41, 11)}","{('?', 1, 3)}"
"(11, 45, 20, 0)",1,"{(11, 20, 45)}","{(2, 9, 3)}"
"(11, 45, 25, 0)",1,"{(25, 11, 45)}","{(2, 9, 3)}"
"(11, 45, 38, 0)",2,"{(11, 45, 38)}","{('?', '?', 3)}"
"(11, 45, 41, 0)",1,"{(41, 11, 45)}","{(2, 6, 3)}"
"(11, 45, 42, 0)",1,"{(42, 11, 45)}","{(2, 13, 3)}"
"(11, 48, 17, 0)",3,"{(48, 17, 11)}","{('?', '?', 3)}"
"(11, 48, 25, 0)",5,"{(48, 25, 11)}","{('?', '?', 3)}"
"(11, 48, 4, 0)",1,"{(48, 11, 4)}","{(11, 7, 3)}"
"(11, 48, 40, 0)",1,"{(48, 40, 11)}","{(11, 12, 3)}"
"(11, 48, 41, 0)",4,"{(48, 41, 11)}","{('?', '?', 3)}"
"(11, 48, 42, 0)",1,"{(48, 42, 11)}","{(5, 13, 3)}"
"(11, 48, 45, 0)",4,"{(48, 11, 45)}","{('?', '?', 3)}"
"(11, 48, 48, 0)",3,"{(48, 11)}","{('?', '?', 3)}"
"(11, 51, 21, 0)",2,"{(51, 11, 21)}","{(14, '?', 3)}"
"(11, 51, 38, 0)",1,"{(51, 11, 38)}","{(14, 7, 3)}"
"(11, 6, 16, 0)",1,"{(16, 11, 6)}","{(2, '?', 12)}"
"(11, 6, 22, 0)",3,"{(11, 6, 22)}","{(2, 5, '?')}"
"(11, 6, 25, 0)",2,"{(25, 11, 6)}","{(2, 5, '?')}"
"(11, 6, 33, 0)",1,"{(33, 11, 6)}","{(2, 5, 13)}"
"(11, 6, 6, 0)",1,"{(11, 6)}","{(14, 12, 9)}"
"(11, 8, 17, 0)",14,"{(8, 17, 11)}","{('?', '?', '?')}"
"(11, 8, 21, 0)",3,"{(8, 11, 21)}","{('?', 12, '?')}"
