message,count,symbols,fixed_attribute_values
"(10, 10, 10, 10, 0)",280,"{(10,)}","{('?', '?', '?', 2)}"
"(10, 10, 10, 12, 0)",2,"{(10, 12)}","{('?', '?', '?', 2)}"
"(10, 10, 10, 16, 0)",5,"{(16, 10)}","{('?', 7, '?', 2)}"
"(10, 10, 10, 17, 0)",4,"{(17, 10)}","{('?', '?', 3, 2)}"
"(10, 10, 10, 21, 0)",18,"{(10, 21)}","{('?', 4, '?', 2)}"
"(10, 10, 10, 22, 0)",13,"{(10, 22)}","{('?', 3, '?', 2)}"
"(10, 10, 10, 23, 0)",6,"{(10, 23)}","{('?', 4, '?', 2)}"
"(10, 10, 10, 26, 0)",1,"{(10, 26)}","{(7, 7, 5, 2)}"
"(10, 10, 10, 6, 0)",1,"{(10, 6)}","{(7, 4, '?', 2)}"
"(10, 10, 10, 7, 0)",3,"{(10, 7)}","{('?', '?', '?', 2)}"
"(10, 10, 10, 8, 0)",1,"{(8, 10)}","{(6, 4, 1, 2)}"
"(10, 10, 10, 9, 0)",3,"{(9, 10)}","{('?', 0, '?', 2)}"
"(10, 10, 11, 11, 0)",7,"{(10, 11)}","{('?', 5, '?', 2)}"
"(10, 10, 12, 12, 0)",1,"{(10, 12)}","{(0, '?', 2, 2)}"
"(10, 10, 12, 21, 0)",1,"{(10, 12, 21)}","{(4, '?', 2, 2)}"
"(10, 10, 12, 8, 0)",1,"{(8, 10, 12)}","{(0, '?', 2, 2)}"
"(10, 10, 16, 16, 0)",4,"{(16, 10)}","{('?', 7, '?', 2)}"
"(10, 10, 17, 10, 0)",1,"{(17, 10)}","{(7, '?', 3, 2)}"
"(10, 10, 17, 17, 0)",3,"{(17, 10)}","{('?', '?', 3, 2)}"
"(10, 10, 17, 21, 0)",1,"{(17, 10, 21)}","{(3, 4, 3, 2)}"
"(10, 10, 19, 10, 0)",2,"{(10, 19)}","{(6, 6, '?', 2)}"
"(10, 10, 19, 19, 0)",7,"{(10, 19)}","{('?', 6, '?', 2)}"
"(10, 10, 20, 10, 0)",1,"{(10, 20)}","{(2, 3, 5, 2)}"
"(10, 10, 21, 21, 0)",18,"{(10, 21)}","{('?', 4, '?', 2)}"
"(10, 10, 22, 10, 0)",13,"{(10, 22)}","{('?', 3, '?', 2)}"
"(10, 10, 22, 20, 0)",1,"{(10, 20, 22)}","{(5, 3, 5, 2)}"
"(10, 10, 22, 22, 0)",26,"{(10, 22)}","{('?', 3, '?', 2)}"
"(10, 10, 23, 10, 0)",4,"{(10, 23)}","{('?', 4, '?', 2)}"
"(10, 10, 23, 21, 0)",22,"{(10, 21, 23)}","{('?', 4, '?', 2)}"
"(10, 10, 24, 24, 0)",1,"{(24, 10)}","{(0, 6, 4, 2)}"
"(10, 10, 26, 26, 0)",1,"{(10, 26)}","{(5, '?', 0, 2)}"
"(10, 10, 6, 10, 0)",1,"{(10, 6)}","{(1, 0, 7, 2)}"
"(10, 10, 6, 21, 0)",1,"{(10, 21, 6)}","{(3, 4, 4, 2)}"
"(10, 10, 7, 7, 0)",3,"{(10, 7)}","{('?', 1, '?', 2)}"
"(10, 10, 8, 8, 0)",1,"{(8, 10)}","{(3, '?', 2, 2)}"
"(10, 10, 9, 10, 0)",2,"{(9, 10)}","{('?', 0, '?', 2)}"
"(10, 10, 9, 9, 0)",8,"{(9, 10)}","{('?', 0, '?', 2)}"
"(10, 11, 11, 11, 0)",32,"{(10, 11)}","{('?', 5, '?', 2)}"
"(10, 12, 12, 12, 0)",2,"{(10, 12)}","{('?', '?', 2, 2)}"
"(10, 12, 12, 18, 0)",1,"{(10, 18, 12)}","{(0, '?', 2, 2)}"
"(10, 12, 27, 21, 0)",1,"{(10, 27, 12, 21)}","{(4, '?', 2, 2)}"
"(10, 12, 8, 8, 0)",1,"{(8, 10, 12)}","{(3, '?', 2, 2)}"
"(10, 16, 10, 16, 0)",1,"{(16, 10)}","{(4, 7, 5, 2)}"
"(10, 16, 16, 10, 0)",1,"{(16, 10)}","{(6, 7, 2, 2)}"
"(10, 16, 16, 16, 0)",3,"{(16, 10)}","{(7, 7, '?', 2)}"
"(10, 17, 10, 10, 0)",1,"{(17, 10)}","{(7, 1, 3, 2)}"
"(10, 17, 11, 11, 0)",1,"{(17, 10, 11)}","{(2, 5, 3, 2)}"
"(10, 17, 17, 17, 0)",1,"{(17, 10)}","{(2, '?', 3, 2)}"
"(10, 19, 10, 10, 0)",2,"{(10, 19)}","{('?', 6, '?', 2)}"
"(10, 19, 10, 19, 0)",2,"{(10, 19)}","{('?', 6, 4, 2)}"
"(10, 19, 19, 10, 0)",1,"{(10, 19)}","{(4, 6, 5, 2)}"
"(10, 19, 19, 19, 0)",13,"{(10, 19)}","{('?', 6, '?', 2)}"
"(10, 20, 10, 16, 0)",1,"{(16, 10, 20)}","{(3, 7, 5, 2)}"
"(10, 20, 7, 16, 0)",1,"{(16, 10, 20, 7)}","{(3, 7, 5, 2)}"
"(10, 21, 21, 21, 0)",1,"{(10, 21)}","{(2, 4, 2, 2)}"
"(10, 22, 10, 10, 0)",1,"{(10, 22)}","{(6, 3, 4, 2)}"
"(10, 22, 10, 22, 0)",11,"{(10, 22)}","{('?', 3, '?', 2)}"
"(10, 22, 20, 10, 0)",1,"{(10, 20, 22)}","{(2, 3, 5, 2)}"
"(10, 22, 22, 10, 0)",1,"{(10, 22)}","{(4, 3, 7, 2)}"
"(10, 22, 22, 20, 0)",2,"{(10, 20, 22)}","{('?', 3, 5, 2)}"
"(10, 22, 22, 22, 0)",51,"{(10, 22)}","{('?', 3, '?', 2)}"
"(10, 23, 10, 10, 0)",2,"{(10, 23)}","{('?', 4, '?', 2)}"
"(10, 23, 10, 21, 0)",4,"{(10, 21, 23)}","{('?', 4, '?', 2)}"
"(10, 23, 10, 23, 0)",3,"{(10, 23)}","{('?', 4, '?', 2)}"
"(10, 23, 21, 10, 0)",1,"{(10, 21, 23)}","{(5, 4, 1, 2)}"
