message,count,symbols,fixed_attribute_values
"(24, 1, 32, 0)",1,"{(24, 1, 32)}","{(3, 4, 2)}"
"(24, 1, 34, 0)",1,"{(24, 1, 34)}","{('?', 4, 2)}"
"(24, 11, 11, 0)",4,"{(24, 11)}","{('?', 5, 5)}"
"(24, 13, 13, 0)",3,"{(24, 13)}","{('?', 2, 7)}"
"(24, 17, 11, 0)",18,"{(24, 17, 11)}","{('?', '?', 5)}"
"(24, 17, 26, 0)",188,"{(24, 17, 26)}","{('?', 2, '?')}"
"(24, 17, 40, 0)",2,"{(24, 17, 40)}","{('?', '?', '?')}"
"(24, 20, 20, 0)",1,"{(24, 20)}","{(4, 4, 13)}"
"(24, 20, 36, 0)",2,"{(24, 20, 36)}","{('?', 4, 13)}"
"(24, 21, 1, 0)",1,"{(24, 1, 21)}","{(13, 8, 2)}"
"(24, 21, 21, 0)",6,"{(24, 21)}","{('?', 8, '?')}"
"(24, 21, 32, 0)",1,"{(24, 32, 21)}","{(5, 8, 13)}"
"(24, 21, 36, 0)",7,"{(24, 36, 21)}","{('?', 8, 13)}"
"(24, 24, 1, 0)",1,"{(24, 1)}","{(12, 5, 2)}"
"(24, 24, 11, 0)",2,"{(24, 11)}","{('?', 5, '?')}"
"(24, 24, 17, 0)",15,"{(24, 17)}","{('?', 2, '?')}"
"(24, 24, 2, 0)",2,"{(24, 2)}","{('?', 5, 10)}"
"(24, 24, 24, 0)",111,"{(24,)}","{('?', 5, '?')}"
"(24, 24, 26, 0)",22,"{(24, 26)}","{('?', 2, '?')}"
"(24, 24, 43, 0)",1,"{(24, 43)}","{(3, 5, 11)}"
"(24, 26, 24, 0)",40,"{(24, 26)}","{('?', 2, '?')}"
"(24, 26, 26, 0)",5,"{(24, 26)}","{('?', 2, '?')}"
"(24, 32, 1, 0)",1,"{(24, 1, 32)}","{(12, 4, 2)}"
"(24, 32, 11, 0)",1,"{(24, 32, 11)}","{(12, 5, 5)}"
"(24, 32, 26, 0)",5,"{(24, 32, 26)}","{('?', 4, 2)}"
"(24, 32, 32, 0)",20,"{(24, 32)}","{('?', 4, '?')}"
"(24, 32, 36, 0)",4,"{(24, 32, 36)}","{('?', 4, 13)}"
"(24, 32, 43, 0)",38,"{(24, 32, 43)}","{('?', '?', 11)}"
"(24, 36, 32, 0)",1,"{(24, 32, 36)}","{(3, 4, 13)}"
"(24, 36, 36, 0)",30,"{(24, 36)}","{('?', '?', 13)}"
"(24, 43, 43, 0)",72,"{(24, 43)}","{('?', '?', 11)}"
"(24, 46, 24, 0)",2,"{(24, 46)}","{('?', 2, 9)}"
"(24, 46, 36, 0)",2,"{(24, 36, 46)}","{('?', 4, 13)}"
"(25, 25, 25, 0)",218,"{(25,)}","{('?', 9, '?')}"
"(26, 24, 26, 0)",17,"{(24, 26)}","{('?', '?', 3)}"
"(26, 25, 25, 0)",6,"{(25, 26)}","{('?', 9, 1)}"
"(26, 26, 20, 0)",12,"{(26, 20)}","{('?', 10, 3)}"
"(26, 26, 24, 0)",8,"{(24, 26)}","{('?', '?', 3)}"
"(26, 26, 26, 0)",158,"{(26,)}","{('?', '?', 3)}"
"(26, 26, 30, 0)",2,"{(26, 30)}","{('?', 10, 3)}"
"(26, 26, 39, 0)",3,"{(26, 39)}","{('?', 10, 3)}"
"(26, 30, 31, 0)",1,"{(26, 30, 31)}","{(14, 5, 0)}"
"(26, 30, 33, 0)",8,"{(33, 26, 30)}","{('?', 10, 1)}"
"(26, 33, 33, 0)",29,"{(33, 26)}","{('?', '?', 1)}"
"(26, 39, 26, 0)",1,"{(26, 39)}","{(6, 10, 3)}"
"(26, 39, 39, 0)",1,"{(26, 39)}","{(8, 10, 3)}"
"(26, 46, 46, 0)",1,"{(26, 46)}","{(11, '?', '?')}"
"(30, 25, 25, 0)",1,"{(25, 30)}","{(9, 9, 0)}"
"(30, 30, 31, 0)",6,"{(30, 31)}","{('?', '?', 0)}"
"(30, 30, 37, 0)",1,"{(37, 30)}","{(5, 7, 0)}"
"(30, 31, 31, 0)",147,"{(30, 31)}","{('?', '?', 0)}"
"(30, 31, 37, 0)",2,"{(37, 30, 31)}","{('?', 14, 0)}"
"(30, 31, 39, 0)",1,"{(39, 30, 31)}","{(0, 10, 0)}"
"(30, 33, 33, 0)",1,"{(33, 30)}","{(14, 10, 1)}"
"(30, 37, 37, 0)",2,"{(37, 30)}","{('?', 14, 0)}"
"(30, 44, 44, 0)",8,"{(44, 30)}","{('?', 13, 0)}"
"(30, 47, 47, 0)",1,"{(30, 47)}","{(10, 12, 0)}"
"(32, 32, 32, 0)",54,"{(32,)}","{('?', '?', '?')}"
"(32, 38, 38, 0)",7,"{(32, 38)}","{('?', '?', 6)}"
"(32, 43, 43, 0)",2,"{(32, 43)}","{('?', '?', 11)}"
"(33, 18, 18, 0)",15,"{(33, 18)}","{('?', 3, '?')}"
"(33, 21, 18, 0)",1,"{(33, 18, 21)}","{(3, 3, '?')}"
"(33, 26, 33, 0)",2,"{(33, 26)}","{('?', 7, 1)}"
"(33, 32, 32, 0)",1,"{(32, 33)}","{(5, '?', '?')}"
"(33, 33, 33, 0)",124,"{(33,)}","{('?', '?', 1)}"
"(34, 1, 1, 0)",115,"{(1, 34)}","{('?', '?', 2)}"
"(34, 1, 23, 0)",1,"{(1, 34, 23)}","{(8, '?', 2)}"
"(34, 34, 1, 0)",1,"{(1, 34)}","{(8, '?', 2)}"
"(37, 23, 37, 0)",1,"{(37, 23)}","{(8, 14, 0)}"
"(37, 37, 19, 0)",1,"{(19, 37)}","{(8, 14, 12)}"
"(37, 37, 37, 0)",149,"{(37,)}","{('?', 14, '?')}"
"(37, 5, 37, 0)",1,"{(5, 37)}","{(11, 14, 8)}"
"(37, 7, 37, 0)",1,"{(37, 7)}","{(7, 14, 10)}"
"(38, 26, 24, 0)",1,"{(24, 26, 38)}","{(0, 5, 6)}"
"(38, 26, 32, 0)",1,"{(32, 26, 38)}","{(0, 15, 6)}"
"(38, 38, 26, 0)",3,"{(26, 38)}","{(0, '?', 6)}"
"(38, 38, 32, 0)",1,"{(32, 38)}","{(0, 15, 6)}"
"(38, 38, 38, 0)",160,"{(38,)}","{('?', '?', 6)}"
"(39, 17, 40, 0)",1,"{(40, 17, 39)}","{(0, 10, 5)}"
"(39, 32, 43, 0)",19,"{(32, 43, 39)}","{('?', '?', 11)}"
"(39, 36, 36, 0)",131,"{(36, 39)}","{('?', '?', 15)}"
"(39, 37, 37, 0)",1,"{(37, 39)}","{(5, 14, 15)}"
"(39, 38, 40, 0)",1,"{(40, 38, 39)}","{(4, 10, 5)}"
"(39, 39, 20, 0)",1,"{(20, 39)}","{(14, 10, 13)}"
"(39, 39, 36, 0)",3,"{(36, 39)}","{('?', '?', 15)}"
"(39, 39, 38, 0)",1,"{(38, 39)}","{(13, 10, 5)}"
"(39, 39, 39, 0)",42,"{(39,)}","{('?', 10, '?')}"
"(39, 39, 40, 0)",4,"{(40, 39)}","{('?', 10, 5)}"
"(39, 39, 43, 0)",8,"{(43, 39)}","{('?', 10, 11)}"
"(39, 40, 38, 0)",8,"{(40, 38, 39)}","{('?', 10, 5)}"
"(39, 40, 40, 0)",6,"{(40, 39)}","{('?', 10, 5)}"
"(39, 43, 43, 0)",68,"{(43, 39)}","{('?', '?', 11)}"
"(41, 21, 21, 0)",9,"{(41, 21)}","{('?', 8, '?')}"
"(41, 21, 32, 0)",1,"{(32, 41, 21)}","{(11, 8, '?')}"
"(41, 32, 32, 0)",1,"{(32, 41)}","{(3, 6, 4)}"
"(41, 37, 37, 0)",4,"{(41, 37)}","{('?', 14, 4)}"
"(41, 38, 38, 0)",1,"{(41, 38)}","{(2, 8, 6)}"
"(41, 41, 21, 0)",2,"{(41, 21)}","{('?', 8, '?')}"
"(41, 41, 32, 0)",2,"{(32, 41)}","{(0, '?', 4)}"
"(41, 41, 37, 0)",3,"{(41, 37)}","{('?', 14, 4)}"
"(41, 41, 41, 0)",126,"{(41,)}","{('?', '?', 4)}"
"(41, 44, 44, 0)",1,"{(41, 44)}","{(15, 13, 4)}"
"(41, 8, 8, 0)",1,"{(8, 41)}","{(11, 15, 8)}"
"(44, 44, 44, 0)",228,"{(44,)}","{('?', 13, '?')}"
"(46, 1, 1, 0)",2,"{(1, 46)}","{(15, '?', 13)}"
"(46, 1, 36, 0)",1,"{(1, 36, 46)}","{(15, 11, 13)}"
"(46, 24, 24, 0)",1,"{(24, 46)}","{(0, 2, 9)}"
"(46, 24, 26, 0)",1,"{(24, 26, 46)}","{(12, 2, 9)}"
"(46, 36, 36, 0)",91,"{(36, 46)}","{('?', '?', 13)}"
"(46, 46, 26, 0)",1,"{(26, 46)}","{(3, 3, 9)}"
"(46, 46, 46, 0)",176,"{(46,)}","{('?', '?', 9)}"
"(46, 46, 47, 0)",10,"{(46, 47)}","{('?', 12, 9)}"
"(46, 47, 46, 0)",7,"{(46, 47)}","{('?', 12, 9)}"
"(46, 47, 47, 0)",3,"{(46, 47)}","{('?', 12, 9)}"
"(47, 47, 47, 0)",224,"{(47,)}","{('?', 12, '?')}"
"(48, 21, 21, 0)",5,"{(48, 21)}","{('?', '?', '?')}"
"(48, 21, 32, 0)",1,"{(48, 32, 21)}","{(5, '?', '?')}"
"(48, 21, 8, 0)",1,"{(48, 8, 21)}","{(3, '?', '?')}"
"(48, 25, 25, 0)",17,"{(48, 25)}","{('?', 9, '?')}"
"(48, 32, 32, 0)",1,"{(48, 32)}","{(14, '?', '?')}"
"(48, 48, 21, 0)",3,"{(48, 21)}","{('?', '?', '?')}"
"(48, 48, 41, 0)",1,"{(48, 41)}","{(5, '?', '?')}"
"(48, 48, 48, 0)",12,"{(48,)}","{('?', '?', '?')}"
"(48, 48, 8, 0)",2,"{(48, 8)}","{('?', '?', '?')}"
"(49, 2, 2, 0)",134,"{(49, 2)}","{('?', '?', 14)}"
"(49, 2, 8, 0)",1,"{(8, 49, 2)}","{(15, 8, 14)}"
"(49, 21, 21, 0)",1,"{(49, 21)}","{(6, 8, '?')}"
"(49, 24, 24, 0)",2,"{(24, 49)}","{('?', 5, 14)}"
"(49, 39, 2, 0)",6,"{(49, 2, 39)}","{('?', 10, 14)}"
"(49, 39, 39, 0)",3,"{(49, 39)}","{('?', 10, 14)}"
"(49, 43, 43, 0)",5,"{(49, 43)}","{('?', '?', '?')}"
"(5, 8, 5, 0)",1,"{(8, 5)}","{(7, 4, 8)}"
"(5, 8, 8, 0)",3,"{(8, 5)}","{('?', '?', 8)}"
"(7, 17, 17, 0)",2,"{(17, 7)}","{('?', 15, 10)}"
"(7, 17, 7, 0)",3,"{(17, 7)}","{('?', '?', 10)}"
"(7, 32, 32, 0)",12,"{(32, 7)}","{('?', 0, 10)}"
"(7, 32, 7, 0)",7,"{(32, 7)}","{('?', 0, 10)}"
"(7, 37, 37, 0)",2,"{(37, 7)}","{('?', 14, '?')}"
"(7, 40, 38, 0)",113,"{(40, 38, 7)}","{('?', '?', 5)}"
"(7, 40, 40, 0)",100,"{(40, 7)}","{('?', '?', 5)}"
"(7, 7, 17, 0)",2,"{(17, 7)}","{('?', 15, 10)}"
"(7, 7, 32, 0)",6,"{(32, 7)}","{('?', '?', 10)}"
"(7, 7, 37, 0)",1,"{(37, 7)}","{(9, 14, 10)}"
"(7, 7, 7, 0)",107,"{(7,)}","{('?', '?', 10)}"
"(8, 21, 21, 0)",4,"{(8, 21)}","{('?', 8, '?')}"
"(8, 5, 5, 0)",12,"{(8, 5)}","{('?', '?', 8)}"
"(8, 5, 8, 0)",41,"{(8, 5)}","{('?', '?', 8)}"
"(8, 8, 2, 0)",3,"{(8, 2)}","{('?', '?', 8)}"
"(8, 8, 21, 0)",1,"{(8, 21)}","{(3, 8, 8)}"
"(8, 8, 5, 0)",60,"{(8, 5)}","{('?', '?', 8)}"
"(8, 8, 8, 0)",150,"{(8,)}","{('?', '?', 8)}"
