message,count,symbols,fixed_attribute_values
"(1, 1, 1, 1, 0)",14,"{(1,)}","{(2, '?', '?', '?')}"
"(1, 1, 1, 21, 0)",2,"{(1, 21)}","{(2, '?', '?', '?')}"
"(1, 1, 19, 1, 0)",1,"{(1, 19)}","{(2, 0, '?', 4)}"
"(1, 1, 19, 19, 0)",1,"{(1, 19)}","{(2, 0, '?', 0)}"
"(1, 1, 2, 2, 0)",1,"{(1, 2)}","{(2, 4, '?', 4)}"
"(1, 1, 23, 23, 0)",1,"{(1, 23)}","{(2, 2, '?', 0)}"
"(1, 1, 24, 24, 0)",1,"{(24, 1)}","{(2, '?', 7, 3)}"
"(1, 1, 5, 5, 0)",1,"{(1, 5)}","{(2, '?', '?', 1)}"
"(1, 11, 11, 11, 0)",1,"{(1, 11)}","{(2, 0, 4, 0)}"
"(1, 15, 15, 15, 0)",1,"{(1, 15)}","{(2, 3, '?', 2)}"
"(1, 19, 1, 1, 0)",1,"{(1, 19)}","{(2, 0, 3, 2)}"
"(1, 19, 11, 11, 0)",1,"{(11, 1, 19)}","{(2, 0, 4, 4)}"
"(1, 19, 19, 1, 0)",1,"{(1, 19)}","{(2, 0, '?', 0)}"
"(1, 2, 1, 1, 0)",1,"{(1, 2)}","{(2, 4, '?', 0)}"
"(1, 21, 21, 21, 0)",2,"{(1, 21)}","{('?', '?', '?', '?')}"
"(1, 21, 21, 23, 0)",1,"{(1, 21, 23)}","{('?', '?', '?', 3)}"
"(1, 23, 23, 23, 0)",3,"{(1, 23)}","{(2, 2, '?', '?')}"
"(1, 24, 24, 24, 0)",2,"{(24, 1)}","{('?', '?', 7, '?')}"
"(1, 5, 5, 1, 0)",1,"{(1, 5)}","{(2, '?', '?', 1)}"
"(1, 6, 1, 1, 0)",1,"{(1, 6)}","{(2, 4, 3, 2)}"
"(1, 9, 27, 27, 0)",1,"{(1, 27, 9)}","{(2, 7, '?', 0)}"
"(10, 10, 10, 10, 0)",303,"{(10,)}","{('?', 6, '?', '?')}"
"(10, 10, 10, 18, 0)",3,"{(10, 18)}","{('?', 6, 0, '?')}"
"(10, 10, 10, 6, 0)",1,"{(10, 6)}","{(5, 6, 3, 5)}"
"(10, 10, 10, 7, 0)",1,"{(10, 7)}","{(4, 6, 1, 2)}"
"(10, 10, 12, 10, 0)",2,"{(10, 12)}","{('?', 6, 5, '?')}"
"(10, 10, 18, 10, 0)",4,"{(10, 18)}","{('?', 6, 0, '?')}"
"(10, 10, 23, 10, 0)",1,"{(10, 23)}","{(3, 2, '?', 7)}"
"(10, 11, 10, 10, 0)",34,"{(10, 11)}","{('?', 6, 4, '?')}"
"(10, 11, 10, 11, 0)",8,"{(10, 11)}","{('?', 6, 4, '?')}"
"(10, 11, 10, 20, 0)",1,"{(10, 11, 20)}","{(4, 6, 4, 6)}"
"(10, 11, 11, 10, 0)",9,"{(10, 11)}","{('?', 6, 4, '?')}"
"(10, 11, 11, 11, 0)",12,"{(10, 11)}","{('?', '?', 4, '?')}"
"(10, 11, 20, 20, 0)",1,"{(10, 11, 20)}","{(4, 6, 4, 3)}"
"(10, 11, 23, 23, 0)",1,"{(10, 11, 23)}","{(4, 6, 4, 3)}"
"(10, 12, 10, 10, 0)",4,"{(10, 12)}","{('?', 6, 5, '?')}"
"(10, 12, 12, 10, 0)",2,"{(10, 12)}","{(6, 6, 5, '?')}"
"(10, 12, 12, 12, 0)",1,"{(10, 12)}","{(3, 6, 5, 1)}"
"(10, 18, 10, 10, 0)",22,"{(10, 18)}","{('?', 6, 0, '?')}"
"(10, 18, 10, 18, 0)",5,"{(10, 18)}","{('?', 6, 0, '?')}"
"(10, 18, 18, 10, 0)",7,"{(10, 18)}","{('?', 6, 0, '?')}"
"(10, 18, 18, 18, 0)",3,"{(10, 18)}","{('?', 6, 0, '?')}"
"(10, 18, 23, 23, 0)",1,"{(10, 18, 23)}","{(3, 2, 0, 1)}"
"(10, 21, 21, 21, 0)",1,"{(10, 21)}","{(3, '?', '?', 7)}"
"(10, 23, 1, 1, 0)",1,"{(1, 10, 23)}","{(2, 2, '?', 6)}"
"(10, 23, 23, 23, 0)",145,"{(10, 23)}","{('?', 2, '?', '?')}"
"(10, 24, 10, 10, 0)",4,"{(24, 10)}","{('?', 6, 7, '?')}"
"(10, 24, 23, 24, 0)",1,"{(24, 10, 23)}","{(5, 2, 7, 3)}"
"(10, 24, 24, 10, 0)",1,"{(24, 10)}","{(3, 2, 7, 3)}"
"(10, 24, 24, 24, 0)",1,"{(24, 10)}","{(2, 6, 7, 3)}"
"(10, 6, 10, 10, 0)",6,"{(10, 6)}","{('?', 6, 3, '?')}"
"(10, 6, 10, 6, 0)",1,"{(10, 6)}","{(5, 6, 3, 2)}"
"(11, 10, 10, 10, 0)",9,"{(10, 11)}","{('?', 6, 4, '?')}"
"(11, 10, 11, 11, 0)",1,"{(10, 11)}","{(1, 6, 4, 4)}"
"(11, 11, 10, 10, 0)",29,"{(10, 11)}","{('?', 6, 4, '?')}"
"(11, 11, 10, 11, 0)",7,"{(10, 11)}","{('?', 6, 4, '?')}"
"(11, 11, 10, 20, 0)",1,"{(10, 11, 20)}","{(4, 6, 4, 6)}"
"(11, 11, 11, 10, 0)",21,"{(10, 11)}","{('?', '?', 4, '?')}"
"(11, 11, 11, 11, 0)",318,"{(11,)}","{('?', '?', 4, '?')}"
"(11, 11, 11, 12, 0)",1,"{(11, 12)}","{(7, '?', 4, 7)}"
"(11, 11, 11, 15, 0)",24,"{(11, 15)}","{('?', 3, 4, '?')}"
"(11, 11, 11, 16, 0)",25,"{(16, 11)}","{('?', 1, 4, '?')}"
"(11, 11, 11, 2, 0)",7,"{(2, 11)}","{('?', 4, 4, '?')}"
"(11, 11, 11, 20, 0)",5,"{(11, 20)}","{(4, '?', 4, '?')}"
"(11, 11, 11, 21, 0)",4,"{(11, 21)}","{('?', '?', 4, '?')}"
"(11, 11, 11, 23, 0)",6,"{(11, 23)}","{('?', '?', 4, '?')}"
"(11, 11, 11, 25, 0)",4,"{(25, 11)}","{('?', '?', 4, '?')}"
"(11, 11, 11, 27, 0)",24,"{(27, 11)}","{('?', 7, 4, '?')}"
"(11, 11, 12, 12, 0)",2,"{(11, 12)}","{(7, 3, 4, '?')}"
"(11, 11, 15, 11, 0)",12,"{(11, 15)}","{('?', 3, 4, '?')}"
"(11, 11, 15, 15, 0)",27,"{(11, 15)}","{('?', 3, 4, '?')}"
"(11, 11, 15, 21, 0)",1,"{(11, 21, 15)}","{(4, 3, 4, 5)}"
"(11, 11, 16, 11, 0)",2,"{(16, 11)}","{(1, 1, 4, '?')}"
"(11, 11, 16, 16, 0)",54,"{(16, 11)}","{('?', 1, 4, '?')}"
"(11, 11, 2, 11, 0)",6,"{(2, 11)}","{('?', 4, 4, '?')}"
"(11, 11, 2, 2, 0)",5,"{(2, 11)}","{('?', 4, 4, '?')}"
"(11, 11, 2, 23, 0)",1,"{(2, 11, 23)}","{(4, 4, 4, 1)}"
"(11, 11, 20, 20, 0)",4,"{(11, 20)}","{(4, '?', 4, '?')}"
"(11, 11, 21, 11, 0)",1,"{(11, 21)}","{(3, '?', 4, 1)}"
"(11, 11, 21, 21, 0)",1,"{(11, 21)}","{(4, 3, 4, 5)}"
"(11, 11, 23, 11, 0)",7,"{(11, 23)}","{('?', '?', 4, '?')}"
"(11, 11, 23, 23, 0)",4,"{(11, 23)}","{('?', '?', 4, '?')}"
"(11, 11, 25, 11, 0)",6,"{(25, 11)}","{(0, '?', 4, '?')}"
"(11, 11, 25, 25, 0)",2,"{(25, 11)}","{(0, '?', 4, '?')}"
"(11, 11, 27, 11, 0)",2,"{(27, 11)}","{('?', 7, 4, '?')}"
"(11, 11, 27, 27, 0)",23,"{(27, 11)}","{('?', 7, 4, '?')}"
"(11, 11, 5, 5, 0)",2,"{(11, 5)}","{('?', 5, 4, '?')}"
"(11, 11, 9, 10, 0)",1,"{(9, 10, 11)}","{(1, 6, 4, 3)}"
"(11, 15, 11, 11, 0)",6,"{(11, 15)}","{('?', 3, 4, '?')}"
"(11, 15, 11, 15, 0)",2,"{(11, 15)}","{('?', 3, 4, '?')}"
"(11, 15, 15, 11, 0)",5,"{(11, 15)}","{('?', 3, 4, '?')}"
"(11, 15, 15, 15, 0)",22,"{(11, 15)}","{('?', 3, 4, '?')}"
"(11, 16, 16, 16, 0)",14,"{(16, 11)}","{('?', 1, 4, '?')}"
"(11, 19, 11, 11, 0)",1,"{(19, 11)}","{(2, 0, 4, 7)}"
"(11, 19, 11, 19, 0)",1,"{(19, 11)}","{(1, 0, 4, 7)}"
"(11, 19, 19, 11, 0)",2,"{(19, 11)}","{(1, 0, 4, '?')}"
"(11, 2, 11, 11, 0)",4,"{(2, 11)}","{('?', 4, 4, '?')}"
"(11, 2, 11, 2, 0)",2,"{(2, 11)}","{('?', 4, 4, '?')}"
"(11, 2, 2, 2, 0)",2,"{(2, 11)}","{('?', 4, 4, '?')}"
"(11, 2, 20, 11, 0)",1,"{(2, 11, 20)}","{(5, 4, 4, 2)}"
"(11, 2, 23, 11, 0)",1,"{(2, 11, 23)}","{(4, 4, 4, 1)}"
"(11, 2, 23, 2, 0)",1,"{(2, 11, 23)}","{(5, 4, 4, 3)}"
"(11, 20, 20, 20, 0)",1,"{(11, 20)}","{(4, '?', 4, 5)}"
"(11, 23, 11, 11, 0)",12,"{(11, 23)}","{('?', '?', 4, '?')}"
"(11, 23, 11, 23, 0)",18,"{(11, 23)}","{('?', 2, 4, '?')}"
"(11, 23, 23, 11, 0)",9,"{(11, 23)}","{('?', 2, 4, '?')}"
"(11, 23, 23, 23, 0)",57,"{(11, 23)}","{('?', 2, 4, '?')}"
"(11, 27, 11, 11, 0)",1,"{(27, 11)}","{(1, 7, 4, 6)}"
"(11, 27, 11, 27, 0)",2,"{(27, 11)}","{('?', 7, 4, '?')}"
"(11, 27, 27, 27, 0)",11,"{(27, 11)}","{('?', 7, 4, '?')}"
"(11, 5, 11, 11, 0)",1,"{(11, 5)}","{(5, 5, 4, 3)}"
"(11, 5, 5, 11, 0)",1,"{(11, 5)}","{(5, 5, 4, 3)}"
"(11, 5, 5, 5, 0)",6,"{(11, 5)}","{('?', 5, 4, '?')}"
"(12, 10, 10, 10, 0)",36,"{(10, 12)}","{('?', 6, 5, '?')}"
"(12, 10, 10, 12, 0)",2,"{(10, 12)}","{('?', 6, 5, '?')}"
"(12, 10, 12, 10, 0)",4,"{(10, 12)}","{('?', 6, 5, '?')}"
"(12, 10, 12, 12, 0)",2,"{(10, 12)}","{('?', 6, 5, '?')}"
