message,count,symbols,fixed_attribute_values
"(1, 1, 1, 0)",3,"{(1,)}","{(0, '?', 0)}"
"(1, 1, 24, 0)",1,"{(24, 1)}","{(0, 4, 0)}"
"(1, 1, 25, 0)",2,"{(1, 25)}","{(0, '?', 0)}"
"(1, 1, 5, 0)",2,"{(1, 5)}","{('?', '?', 0)}"
"(1, 2, 24, 0)",1,"{(24, 1, 2)}","{(2, 2, 0)}"
"(1, 20, 1, 0)",1,"{(1, 20)}","{(7, 1, 3)}"
"(1, 22, 24, 0)",1,"{(24, 1, 22)}","{(0, 4, 0)}"
"(1, 24, 1, 0)",2,"{(24, 1)}","{('?', 4, 0)}"
"(1, 24, 5, 0)",1,"{(24, 1, 5)}","{(3, 4, 0)}"
"(1, 25, 1, 0)",3,"{(1, 25)}","{('?', '?', 0)}"
"(1, 25, 24, 0)",1,"{(24, 1, 25)}","{(7, 2, 0)}"
"(1, 25, 25, 0)",1,"{(1, 25)}","{(0, 2, 0)}"
"(1, 3, 1, 0)",1,"{(1, 3)}","{(3, '?', 0)}"
"(1, 3, 24, 0)",2,"{(24, 1, 3)}","{('?', '?', 0)}"
"(1, 3, 5, 0)",1,"{(1, 3, 5)}","{(3, '?', 0)}"
"(1, 5, 1, 0)",2,"{(1, 5)}","{('?', '?', 0)}"
"(1, 5, 5, 0)",1,"{(1, 5)}","{(3, 5, 0)}"
"(1, 7, 1, 0)",5,"{(1, 7)}","{('?', '?', '?')}"
"(1, 7, 14, 0)",1,"{(1, 14, 7)}","{(0, 5, 0)}"
"(1, 7, 19, 0)",1,"{(1, 19, 7)}","{(3, 5, 0)}"
"(1, 7, 22, 0)",1,"{(1, 22, 7)}","{(3, 1, 3)}"
"(1, 7, 3, 0)",1,"{(1, 3, 7)}","{(3, 5, 0)}"
"(1, 7, 5, 0)",1,"{(1, 5, 7)}","{(3, 5, 0)}"
"(10, 1, 19, 0)",1,"{(1, 10, 19)}","{(3, 0, 0)}"
"(10, 1, 22, 0)",1,"{(1, 10, 22)}","{(0, 0, 0)}"
"(10, 1, 25, 0)",1,"{(1, 10, 25)}","{(7, 0, 0)}"
"(10, 1, 27, 0)",1,"{(1, 10, 27)}","{(0, 0, 0)}"
"(10, 10, 1, 0)",3,"{(1, 10)}","{('?', 0, 0)}"
