message,count,symbols,fixed_attribute_values
"(1, 1, 9, 0)",1,"{(1, 9)}","{(2, 0, 2)}"
"(1, 2, 7, 0)",1,"{(1, 2, 7)}","{(2, 0, 1)}"
"(1, 3, 3, 0)",1,"{(1, 3)}","{(2, 2, 0)}"
"(1, 3, 4, 0)",1,"{(1, 3, 4)}","{(2, 2, 0)}"
"(1, 5, 1, 0)",1,"{(1, 5)}","{(2, '?', 0)}"
"(1, 5, 5, 0)",1,"{(1, 5)}","{(2, '?', 0)}"
"(1, 5, 7, 0)",1,"{(1, 5, 7)}","{(2, '?', 0)}"
"(1, 9, 9, 0)",1,"{(1, 9)}","{(2, 0, 0)}"
"(10, 1, 1, 0)",1,"{(1, 10)}","{(2, '?', 2)}"
"(10, 1, 5, 0)",1,"{(1, 10, 5)}","{(2, '?', 2)}"
"(10, 10, 10, 0)",3,"{(10,)}","{('?', '?', 2)}"
"(10, 10, 11, 0)",1,"{(10, 11)}","{(0, '?', 3)}"
"(10, 10, 7, 0)",1,"{(10, 7)}","{(0, '?', '?')}"
"(10, 11, 10, 0)",1,"{(10, 11)}","{(0, '?', 3)}"
"(10, 11, 2, 0)",1,"{(2, 10, 11)}","{(0, 0, 3)}"
"(10, 11, 4, 0)",2,"{(10, 11, 4)}","{('?', 2, 3)}"
"(10, 11, 7, 0)",2,"{(10, 11, 7)}","{(2, '?', 3)}"
"(10, 14, 14, 0)",1,"{(10, 14)}","{(0, '?', 2)}"
"(10, 2, 10, 0)",3,"{(10, 2)}","{(0, 0, '?')}"
"(10, 2, 11, 0)",2,"{(11, 10, 2)}","{(0, 0, '?')}"
"(10, 2, 14, 0)",1,"{(10, 2, 14)}","{(0, 0, '?')}"
"(10, 2, 2, 0)",2,"{(10, 2)}","{(0, 0, '?')}"
"(10, 2, 9, 0)",1,"{(9, 10, 2)}","{(0, 0, '?')}"
"(10, 4, 10, 0)",1,"{(10, 4)}","{(0, 2, 3)}"
"(10, 4, 11, 0)",2,"{(10, 11, 4)}","{('?', 2, '?')}"
"(10, 4, 14, 0)",1,"{(10, 4, 14)}","{(2, 2, 2)}"
"(10, 4, 4, 0)",3,"{(10, 4)}","{(2, 2, '?')}"
"(10, 4, 8, 0)",1,"{(8, 10, 4)}","{(1, 2, 2)}"
"(10, 7, 11, 0)",3,"{(10, 11, 7)}","{(2, '?', 3)}"
"(10, 7, 13, 0)",1,"{(10, 13, 7)}","{(2, 3, 3)}"
"(10, 7, 2, 0)",2,"{(10, 2, 7)}","{(2, '?', 3)}"
"(10, 7, 5, 0)",1,"{(10, 5, 7)}","{(2, '?', '?')}"
