message,count,symbols,fixed_attribute_values
"(1, 1, 20, 27, 0)",1,"{(1, 27, 20)}","{(4, 6, '?', 1)}"
"(1, 1, 22, 27, 0)",1,"{(1, 27, 22)}","{(2, 6, 5, 3)}"
"(1, 1, 23, 17, 0)",2,"{(1, 17, 23)}","{(4, 6, '?', 5)}"
"(1, 1, 23, 20, 0)",1,"{(1, 20, 23)}","{(4, 6, '?', 1)}"
"(1, 1, 25, 27, 0)",2,"{(1, 27, 25)}","{(4, 6, '?', 5)}"
"(1, 1, 25, 9, 0)",3,"{(1, 25, 9)}","{(4, 6, '?', '?')}"
"(1, 1, 27, 27, 0)",1,"{(1, 27)}","{(4, 6, 7, '?')}"
"(1, 1, 7, 27, 0)",1,"{(1, 27, 7)}","{('?', 6, '?', 7)}"
"(1, 1, 7, 9, 0)",1,"{(1, 9, 7)}","{(4, 6, 3, 7)}"
"(1, 1, 8, 15, 0)",1,"{(8, 1, 15)}","{(4, 6, 6, 7)}"
"(1, 1, 8, 9, 0)",1,"{(8, 1, 9)}","{(4, 6, 6, 7)}"
"(1, 1, 9, 15, 0)",1,"{(1, 9, 15)}","{(4, 6, 1, '?')}"
"(1, 1, 9, 17, 0)",3,"{(1, 9, 17)}","{(4, 6, '?', '?')}"
"(1, 1, 9, 20, 0)",4,"{(1, 20, 9)}","{(4, 6, '?', '?')}"
"(1, 1, 9, 21, 0)",2,"{(1, 21, 9)}","{(4, 6, '?', '?')}"
"(1, 1, 9, 25, 0)",1,"{(1, 9, 25)}","{(4, 6, 2, 5)}"
"(1, 1, 9, 27, 0)",3,"{(1, 27, 9)}","{(4, 6, '?', '?')}"
"(1, 10, 1, 25, 0)",1,"{(1, 10, 25)}","{(5, 6, 6, 2)}"
"(1, 10, 1, 27, 0)",1,"{(1, 10, 27)}","{(7, 6, '?', 2)}"
"(1, 10, 10, 16, 0)",1,"{(16, 1, 10)}","{(3, 6, '?', 0)}"
"(1, 10, 10, 21, 0)",2,"{(1, 10, 21)}","{(3, 6, '?', 2)}"
"(1, 10, 10, 27, 0)",1,"{(1, 10, 27)}","{(3, 6, '?', 0)}"
"(1, 10, 12, 27, 0)",4,"{(1, 10, 27, 12)}","{('?', 0, '?', '?')}"
"(1, 10, 13, 15, 0)",2,"{(1, 10, 13, 15)}","{(3, 6, 4, '?')}"
"(1, 10, 13, 21, 0)",1,"{(1, 10, 21, 13)}","{(3, 6, 6, 2)}"
"(1, 10, 13, 27, 0)",1,"{(1, 10, 27, 13)}","{(3, 6, '?', 0)}"
"(1, 10, 15, 15, 0)",7,"{(1, 10, 15)}","{('?', 6, '?', '?')}"
"(1, 10, 15, 21, 0)",6,"{(1, 10, 21, 15)}","{('?', 6, '?', '?')}"
"(1, 10, 15, 25, 0)",3,"{(1, 10, 25, 15)}","{('?', 6, '?', '?')}"
"(1, 10, 15, 27, 0)",2,"{(1, 10, 27, 15)}","{('?', 6, '?', 2)}"
"(1, 10, 16, 10, 0)",2,"{(16, 1, 10)}","{(3, 6, '?', 0)}"
"(1, 10, 16, 13, 0)",1,"{(16, 1, 10, 13)}","{(3, 6, 7, 2)}"
"(1, 10, 16, 14, 0)",2,"{(16, 1, 10, 14)}","{(3, 0, '?', '?')}"
"(1, 10, 16, 16, 0)",5,"{(16, 1, 10)}","{(3, 6, '?', '?')}"
"(1, 10, 21, 13, 0)",1,"{(1, 10, 13, 21)}","{(3, 6, 6, '?')}"
"(1, 10, 21, 15, 0)",2,"{(1, 10, 21, 15)}","{('?', 6, '?', 2)}"
"(1, 10, 24, 25, 0)",1,"{(24, 1, 10, 25)}","{(5, 6, 2, 2)}"
"(1, 10, 25, 1, 0)",1,"{(1, 10, 25)}","{(7, 6, 6, 0)}"
