message,count,symbols,fixed_attribute_values
"(1, 1, 1, 0)",2,"{(1,)}","{('?', '?', '?')}"
"(1, 1, 11, 0)",2,"{(1, 11)}","{('?', '?', 1)}"
"(1, 1, 25, 0)",1,"{(1, 25)}","{(2, 1, 0)}"
"(1, 11, 11, 0)",1,"{(1, 11)}","{(2, 5, 1)}"
"(1, 25, 1, 0)",1,"{(1, 25)}","{(2, 1, 0)}"
"(1, 25, 11, 0)",2,"{(1, 11, 25)}","{(2, 5, '?')}"
"(10, 10, 10, 0)",4,"{(10,)}","{('?', '?', 2)}"
"(10, 10, 12, 0)",2,"{(10, 12)}","{('?', 0, 6)}"
"(10, 10, 2, 0)",2,"{(10, 2)}","{(1, '?', 2)}"
"(10, 10, 22, 0)",2,"{(10, 22)}","{('?', 0, 2)}"
"(10, 10, 24, 0)",1,"{(24, 10)}","{('?', 3, 2)}"
"(10, 10, 4, 0)",2,"{(10, 4)}","{(1, '?', 6)}"
"(10, 10, 5, 0)",1,"{(10, 5)}","{('?', 0, 2)}"
"(10, 12, 12, 0)",3,"{(10, 12)}","{('?', 4, '?')}"
"(10, 13, 10, 0)",4,"{(10, 13)}","{('?', '?', 2)}"
"(10, 13, 13, 0)",4,"{(10, 13)}","{('?', 0, '?')}"
"(10, 13, 2, 0)",2,"{(10, 2, 13)}","{(5, '?', 2)}"
"(10, 13, 20, 0)",1,"{(10, 20, 13)}","{(3, 0, '?')}"
"(10, 13, 24, 0)",6,"{(24, 10, 13)}","{('?', '?', '?')}"
"(10, 13, 26, 0)",1,"{(10, 26, 13)}","{(5, 7, 6)}"
"(10, 13, 3, 0)",3,"{(10, 3, 13)}","{('?', '?', 4)}"
"(10, 13, 6, 0)",2,"{(10, 13, 6)}","{('?', 3, 0)}"
"(10, 13, 7, 0)",1,"{(10, 13, 7)}","{(3, 0, 3)}"
"(10, 19, 7, 0)",1,"{(10, 19, 7)}","{(6, 0, 2)}"
"(10, 19, 8, 0)",1,"{(8, 10, 19)}","{(6, 4, 2)}"
"(10, 20, 24, 0)",4,"{(24, 10, 20)}","{(4, '?', '?')}"
"(10, 20, 26, 0)",1,"{(10, 26, 20)}","{(4, 7, 2)}"
"(10, 20, 3, 0)",2,"{(10, 3, 20)}","{(4, '?', 2)}"
"(10, 20, 5, 0)",1,"{(10, 20, 5)}","{(4, 0, 2)}"
"(10, 22, 12, 0)",2,"{(10, 12, 22)}","{('?', 4, 7)}"
"(10, 22, 14, 0)",2,"{(10, 22, 14)}","{('?', 0, 7)}"
"(10, 22, 2, 0)",3,"{(10, 2, 22)}","{('?', '?', '?')}"
"(10, 22, 25, 0)",3,"{(25, 10, 22)}","{(1, '?', '?')}"
"(10, 22, 8, 0)",2,"{(8, 10, 22)}","{('?', 4, 2)}"
"(10, 24, 19, 0)",2,"{(24, 10, 19)}","{(6, '?', 2)}"
"(10, 24, 20, 0)",2,"{(24, 10, 20)}","{(4, '?', 6)}"
"(10, 24, 24, 0)",2,"{(24, 10)}","{('?', '?', 6)}"
"(10, 24, 4, 0)",3,"{(24, 10, 4)}","{('?', '?', 6)}"
"(10, 24, 7, 0)",1,"{(24, 10, 7)}","{(2, 7, 2)}"
"(10, 4, 12, 0)",6,"{(10, 4, 12)}","{('?', '?', '?')}"
"(10, 4, 3, 0)",1,"{(10, 3, 4)}","{(1, 7, 4)}"
"(10, 4, 4, 0)",2,"{(10, 4)}","{(1, '?', 4)}"
"(10, 5, 12, 0)",1,"{(10, 12, 5)}","{(7, 4, 6)}"
"(10, 5, 20, 0)",2,"{(10, 20, 5)}","{(4, 0, '?')}"
"(10, 5, 5, 0)",1,"{(10, 5)}","{('?', 4, 2)}"
"(10, 5, 7, 0)",1,"{(10, 5, 7)}","{(6, 4, 2)}"
"(10, 5, 8, 0)",1,"{(8, 10, 5)}","{(6, 4, 2)}"
"(10, 7, 7, 0)",1,"{(10, 7)}","{(2, 4, 2)}"
"(10, 7, 8, 0)",1,"{(8, 10, 7)}","{(2, 4, 2)}"
"(12, 11, 6, 0)",3,"{(11, 12, 6)}","{('?', '?', 1)}"
"(12, 12, 12, 0)",3,"{(12,)}","{('?', '?', '?')}"
"(12, 12, 2, 0)",1,"{(2, 12)}","{(7, '?', 7)}"
"(12, 12, 25, 0)",4,"{(25, 12)}","{('?', '?', '?')}"
"(12, 12, 6, 0)",3,"{(12, 6)}","{('?', '?', '?')}"
"(12, 18, 11, 0)",1,"{(18, 11, 12)}","{(0, 1, 5)}"
"(12, 18, 12, 0)",2,"{(18, 12)}","{(0, 1, '?')}"
"(12, 2, 12, 0)",2,"{(2, 12)}","{('?', '?', 7)}"
"(12, 2, 22, 0)",1,"{(2, 12, 22)}","{(0, '?', 7)}"
"(12, 2, 4, 0)",1,"{(2, 12, 4)}","{(7, 2, 7)}"
"(12, 25, 11, 0)",3,"{(25, 11, 12)}","{('?', '?', 5)}"
"(12, 25, 12, 0)",6,"{(25, 12)}","{('?', '?', '?')}"
"(12, 25, 2, 0)",3,"{(25, 2, 12)}","{('?', '?', 7)}"
"(12, 25, 25, 0)",3,"{(25, 12)}","{('?', '?', 3)}"
"(12, 25, 6, 0)",4,"{(25, 12, 6)}","{('?', '?', 5)}"
"(12, 3, 4, 0)",1,"{(3, 12, 4)}","{(7, 2, 7)}"
"(12, 6, 11, 0)",1,"{(11, 12, 6)}","{(7, 1, 1)}"
"(12, 6, 12, 0)",3,"{(12, 6)}","{('?', '?', '?')}"
"(12, 6, 25, 0)",2,"{(25, 12, 6)}","{('?', '?', '?')}"
"(13, 10, 10, 0)",1,"{(10, 13)}","{(3, 0, '?')}"
"(13, 10, 13, 0)",3,"{(10, 13)}","{('?', '?', '?')}"
"(13, 13, 10, 0)",1,"{(10, 13)}","{(3, 4, '?')}"
"(13, 13, 13, 0)",2,"{(13,)}","{('?', 4, '?')}"
"(13, 13, 14, 0)",2,"{(13, 14)}","{('?', 4, 0)}"
"(13, 13, 15, 0)",1,"{(13, 15)}","{(5, 4, 5)}"
"(13, 13, 2, 0)",1,"{(2, 13)}","{(3, '?', '?')}"
"(13, 13, 20, 0)",1,"{(20, 13)}","{(5, 3, '?')}"
"(13, 13, 21, 0)",1,"{(21, 13)}","{(3, '?', '?')}"
"(13, 13, 24, 0)",1,"{(24, 13)}","{(3, 3, '?')}"
"(13, 13, 27, 0)",1,"{(27, 13)}","{(3, 4, 1)}"
"(13, 13, 3, 0)",2,"{(3, 13)}","{('?', '?', 6)}"
"(13, 13, 6, 0)",1,"{(13, 6)}","{(3, 4, 5)}"
"(13, 14, 14, 0)",1,"{(13, 14)}","{(3, 0, 0)}"
"(13, 15, 21, 0)",1,"{(21, 13, 15)}","{(3, '?', 5)}"
"(13, 15, 27, 0)",2,"{(27, 13, 15)}","{(5, '?', '?')}"
"(13, 15, 9, 0)",1,"{(9, 13, 15)}","{(3, '?', 5)}"
"(13, 18, 6, 0)",1,"{(18, 13, 6)}","{(3, 1, 5)}"
"(13, 2, 13, 0)",2,"{(2, 13)}","{('?', '?', 2)}"
"(13, 2, 21, 0)",2,"{(2, 21, 13)}","{('?', '?', 2)}"
"(13, 21, 13, 0)",2,"{(21, 13)}","{('?', '?', '?')}"
"(13, 21, 18, 0)",2,"{(21, 18, 13)}","{(3, '?', '?')}"
"(13, 21, 21, 0)",4,"{(21, 13)}","{('?', '?', '?')}"
