message,count,symbols,fixed_attribute_values
"(1, 1, 11, 0)",1,"{(1, 11)}","{('?', 7, 5)}"
"(1, 1, 13, 0)",1,"{(1, 13)}","{('?', 7, 5)}"
"(1, 7, 7, 0)",1,"{(1, 7)}","{('?', 1, 5)}"
"(10, 10, 12, 0)",4,"{(10, 12)}","{(2, '?', '?')}"
"(10, 10, 13, 0)",1,"{(10, 13)}","{(2, 7, 0)}"
"(10, 10, 25, 0)",5,"{(25, 10)}","{(2, '?', '?')}"
"(10, 12, 12, 0)",6,"{(10, 12)}","{('?', 0, '?')}"
"(10, 12, 13, 0)",7,"{(10, 12, 13)}","{('?', '?', '?')}"
"(10, 13, 12, 0)",1,"{(10, 12, 13)}","{(3, '?', 0)}"
"(10, 13, 13, 0)",2,"{(10, 13)}","{(3, 7, '?')}"
"(10, 2, 13, 0)",1,"{(10, 2, 13)}","{(2, 1, 0)}"
"(10, 2, 25, 0)",1,"{(25, 10, 2)}","{(2, '?', 2)}"
"(10, 25, 12, 0)",2,"{(25, 10, 12)}","{('?', '?', '?')}"
"(10, 25, 13, 0)",1,"{(25, 10, 13)}","{(6, 2, 2)}"
"(10, 25, 8, 0)",2,"{(8, 25, 10)}","{('?', '?', 0)}"
"(10, 26, 25, 0)",4,"{(25, 10, 26)}","{(2, '?', '?')}"
"(10, 6, 12, 0)",11,"{(10, 12, 6)}","{(2, '?', '?')}"
"(11, 13, 13, 0)",2,"{(11, 13)}","{(3, 7, '?')}"
"(11, 13, 3, 0)",8,"{(3, 11, 13)}","{('?', '?', '?')}"
"(11, 13, 7, 0)",7,"{(11, 13, 7)}","{('?', 1, '?')}"
"(11, 2, 11, 0)",1,"{(2, 11)}","{(2, 1, 2)}"
"(11, 2, 13, 0)",1,"{(2, 11, 13)}","{(2, 1, 0)}"
"(11, 2, 3, 0)",2,"{(3, 2, 11)}","{(2, 3, '?')}"
"(11, 2, 7, 0)",4,"{(2, 11, 7)}","{(2, 1, '?')}"
"(11, 26, 13, 0)",1,"{(26, 11, 13)}","{(2, 7, '?')}"
"(11, 27, 3, 0)",6,"{(27, 3, 11)}","{(2, 3, '?')}"
"(11, 27, 7, 0)",2,"{(27, 11, 7)}","{(2, 1, '?')}"
"(11, 3, 16, 0)",9,"{(3, 16, 11)}","{('?', 3, '?')}"
"(11, 3, 3, 0)",5,"{(3, 11)}","{('?', '?', '?')}"
"(11, 7, 16, 0)",1,"{(16, 11, 7)}","{(6, 3, 4)}"
"(11, 7, 3, 0)",7,"{(3, 11, 7)}","{('?', 3, '?')}"
"(11, 7, 7, 0)",7,"{(11, 7)}","{('?', 1, '?')}"
"(12, 1, 1, 0)",2,"{(1, 12)}","{('?', '?', '?')}"
"(12, 1, 24, 0)",1,"{(24, 1, 12)}","{(1, 0, 5)}"
"(12, 1, 7, 0)",1,"{(1, 12, 7)}","{('?', 5, 5)}"
"(12, 12, 12, 0)",6,"{(12,)}","{('?', '?', '?')}"
"(12, 12, 13, 0)",4,"{(12, 13)}","{('?', '?', '?')}"
"(12, 12, 14, 0)",1,"{(12, 14)}","{('?', 0, 4)}"
"(12, 12, 16, 0)",1,"{(16, 12)}","{(0, 5, '?')}"
"(12, 12, 21, 0)",2,"{(12, 21)}","{('?', 5, '?')}"
"(12, 12, 25, 0)",3,"{(25, 12)}","{('?', '?', '?')}"
"(12, 12, 5, 0)",5,"{(12, 5)}","{(7, '?', '?')}"
"(12, 12, 7, 0)",2,"{(12, 7)}","{('?', 5, '?')}"
"(12, 13, 12, 0)",3,"{(12, 13)}","{('?', '?', '?')}"
"(12, 13, 13, 0)",6,"{(12, 13)}","{('?', '?', '?')}"
"(12, 13, 25, 0)",1,"{(25, 12, 13)}","{('?', 5, 2)}"
"(12, 13, 8, 0)",1,"{(8, 12, 13)}","{('?', 0, 2)}"
"(12, 14, 12, 0)",2,"{(12, 14)}","{(1, '?', 7)}"
"(12, 14, 13, 0)",1,"{(12, 13, 14)}","{(1, 0, 6)}"
"(12, 14, 14, 0)",3,"{(12, 14)}","{(1, '?', '?')}"
"(12, 14, 16, 0)",2,"{(16, 12, 14)}","{(4, '?', 6)}"
"(12, 14, 17, 0)",1,"{(17, 12, 14)}","{(0, 0, 6)}"
"(12, 14, 20, 0)",2,"{(12, 20, 14)}","{('?', 0, 6)}"
"(12, 14, 24, 0)",2,"{(24, 12, 14)}","{(1, '?', 6)}"
"(12, 14, 25, 0)",8,"{(25, 12, 14)}","{(1, '?', '?')}"
"(12, 16, 16, 0)",5,"{(16, 12)}","{('?', '?', '?')}"
