message,count,symbols,fixed_attribute_values
"(10, 10, 10, 0)",20,"{(10,)}","{('?', '?', '?')}"
"(10, 10, 19, 0)",2,"{(10, 19)}","{('?', '?', '?')}"
"(10, 10, 43, 0)",10,"{(10, 43)}","{('?', '?', '?')}"
"(10, 16, 10, 0)",1,"{(16, 10)}","{(1, 11, 3)}"
"(10, 19, 10, 0)",19,"{(10, 19)}","{('?', '?', '?')}"
"(10, 19, 19, 0)",8,"{(10, 19)}","{('?', '?', '?')}"
"(10, 19, 29, 0)",2,"{(10, 19, 29)}","{('?', '?', 14)}"
"(10, 19, 46, 0)",8,"{(10, 19, 46)}","{('?', 9, '?')}"
"(10, 19, 51, 0)",26,"{(51, 10, 19)}","{('?', '?', '?')}"
"(10, 21, 46, 0)",3,"{(10, 21, 46)}","{('?', 9, '?')}"
"(10, 23, 46, 0)",4,"{(10, 46, 23)}","{('?', 9, '?')}"
"(10, 29, 10, 0)",7,"{(10, 29)}","{('?', '?', '?')}"
"(10, 29, 29, 0)",25,"{(10, 29)}","{('?', '?', '?')}"
"(10, 29, 46, 0)",10,"{(10, 29, 46)}","{('?', 9, '?')}"
"(10, 29, 49, 0)",23,"{(49, 10, 29)}","{('?', '?', '?')}"
"(10, 29, 51, 0)",22,"{(10, 51, 29)}","{('?', '?', '?')}"
"(10, 43, 10, 0)",19,"{(10, 43)}","{('?', '?', '?')}"
"(10, 43, 25, 0)",1,"{(25, 10, 43)}","{(1, 2, 7)}"
"(10, 43, 29, 0)",6,"{(10, 43, 29)}","{('?', '?', '?')}"
"(10, 46, 46, 0)",12,"{(10, 46)}","{('?', 9, '?')}"
"(10, 47, 10, 0)",11,"{(10, 47)}","{('?', '?', '?')}"
"(10, 49, 46, 0)",2,"{(49, 10, 46)}","{('?', 9, '?')}"
"(10, 51, 10, 0)",5,"{(10, 51)}","{('?', '?', '?')}"
"(10, 51, 19, 0)",1,"{(19, 10, 51)}","{('?', 2, 3)}"
"(10, 51, 46, 0)",7,"{(10, 51, 46)}","{('?', 9, '?')}"
"(10, 51, 51, 0)",26,"{(10, 51)}","{('?', '?', '?')}"
"(11, 2, 28, 0)",1,"{(2, 11, 28)}","{(9, 14, 4)}"
"(12, 1, 31, 0)",4,"{(1, 12, 31)}","{('?', '?', '?')}"
"(12, 1, 34, 0)",1,"{(1, 34, 12)}","{(14, 5, 11)}"
"(12, 1, 35, 0)",4,"{(1, 35, 12)}","{(13, '?', '?')}"
"(12, 1, 36, 0)",3,"{(1, 12, 36)}","{('?', '?', '?')}"
"(12, 1, 40, 0)",3,"{(40, 1, 12)}","{('?', '?', '?')}"
"(12, 1, 43, 0)",1,"{(1, 43, 12)}","{(7, '?', 10)}"
"(12, 1, 48, 0)",4,"{(48, 1, 12)}","{(13, '?', '?')}"
"(12, 13, 2, 0)",6,"{(2, 12, 13)}","{('?', '?', '?')}"
"(12, 14, 18, 0)",1,"{(18, 12, 14)}","{(13, 5, 10)}"
"(12, 18, 16, 0)",7,"{(16, 18, 12)}","{('?', '?', '?')}"
"(12, 23, 26, 0)",2,"{(26, 12, 23)}","{('?', 9, 8)}"
"(12, 25, 47, 0)",1,"{(25, 12, 47)}","{(15, 1, 13)}"
"(12, 25, 7, 0)",2,"{(25, 12, 7)}","{(3, '?', '?')}"
"(12, 26, 26, 0)",3,"{(26, 12)}","{('?', 9, '?')}"
"(12, 27, 13, 0)",1,"{(27, 12, 13)}","{('?', '?', 13)}"
"(12, 27, 18, 0)",3,"{(18, 27, 12)}","{('?', '?', '?')}"
"(12, 27, 4, 0)",2,"{(27, 12, 4)}","{('?', '?', 13)}"
"(12, 27, 47, 0)",1,"{(27, 12, 47)}","{(3, '?', 10)}"
"(12, 30, 27, 0)",4,"{(27, 12, 30)}","{('?', '?', '?')}"
"(12, 30, 34, 0)",2,"{(34, 12, 30)}","{(7, 1, '?')}"
"(12, 30, 35, 0)",9,"{(35, 12, 30)}","{('?', '?', '?')}"
"(12, 30, 4, 0)",8,"{(12, 4, 30)}","{('?', '?', '?')}"
"(12, 30, 40, 0)",11,"{(40, 12, 30)}","{('?', '?', '?')}"
"(12, 30, 49, 0)",6,"{(49, 12, 30)}","{('?', '?', '?')}"
