message,count,symbols,fixed_attribute_values
"(1, 1, 1, 1, 1, 0)",212,"{(1,)}","{('?', 1, '?', '?', '?')}"
"(1, 1, 1, 1, 13, 0)",4,"{(1, 13)}","{('?', 1, '?', '?', '?')}"
"(1, 1, 1, 1, 14, 0)",1,"{(1, 14)}","{(1, 1, 0, 1, 3)}"
"(1, 1, 1, 1, 5, 0)",6,"{(1, 5)}","{(1, 1, '?', 2, '?')}"
"(1, 1, 1, 1, 8, 0)",1,"{(8, 1)}","{('?', 1, 2, 3, 0)}"
"(1, 1, 1, 13, 1, 0)",6,"{(1, 13)}","{(2, 1, '?', '?', '?')}"
"(1, 1, 1, 5, 1, 0)",5,"{(1, 5)}","{('?', 1, '?', 2, '?')}"
"(1, 1, 1, 8, 1, 0)",1,"{(8, 1)}","{('?', 1, 2, 3, '?')}"
"(1, 1, 13, 1, 1, 0)",19,"{(1, 13)}","{(2, 1, '?', '?', '?')}"
"(1, 1, 13, 13, 1, 0)",2,"{(1, 13)}","{(2, 1, '?', 2, '?')}"
"(1, 1, 14, 1, 1, 0)",6,"{(1, 14)}","{('?', 1, '?', 1, '?')}"
"(1, 1, 14, 14, 1, 0)",1,"{(1, 14)}","{('?', 1, 0, 1, 0)}"
"(1, 1, 14, 14, 14, 0)",1,"{(1, 14)}","{(1, 1, 1, 1, '?')}"
"(1, 1, 5, 1, 1, 0)",11,"{(1, 5)}","{('?', 1, '?', '?', '?')}"
"(1, 1, 5, 1, 5, 0)",4,"{(1, 5)}","{(1, 1, '?', 2, '?')}"
"(1, 1, 7, 1, 1, 0)",2,"{(1, 7)}","{(3, 1, '?', 0, '?')}"
"(1, 1, 7, 7, 1, 0)",1,"{(1, 7)}","{(3, 1, 3, 0, '?')}"
"(1, 1, 8, 1, 1, 0)",1,"{(8, 1)}","{('?', 1, 0, 3, 3)}"
"(1, 13, 1, 1, 1, 0)",37,"{(1, 13)}","{('?', 1, '?', '?', '?')}"
"(1, 13, 1, 1, 13, 0)",2,"{(1, 13)}","{(2, 1, '?', 0, '?')}"
"(1, 13, 1, 13, 1, 0)",4,"{(1, 13)}","{(2, 1, '?', '?', '?')}"
"(1, 13, 1, 5, 1, 0)",2,"{(1, 5, 13)}","{('?', 1, '?', '?', 0)}"
"(1, 13, 13, 1, 1, 0)",5,"{(1, 13)}","{(2, 1, '?', '?', '?')}"
"(1, 13, 13, 13, 1, 0)",1,"{(1, 13)}","{(2, 1, 0, 2, 3)}"
"(1, 13, 14, 1, 1, 0)",1,"{(1, 13, 14)}","{(2, 1, 1, 1, 3)}"
"(1, 13, 5, 1, 1, 0)",1,"{(1, 5, 13)}","{(2, 1, 2, 2, '?')}"
"(1, 13, 5, 1, 13, 0)",1,"{(1, 5, 13)}","{(2, 1, 0, 2, 0)}"
"(1, 13, 9, 9, 9, 0)",1,"{(1, 13, 9)}","{('?', 1, '?', '?', 0)}"
"(1, 14, 1, 1, 1, 0)",5,"{(1, 14)}","{('?', 1, '?', 1, '?')}"
"(1, 14, 14, 1, 1, 0)",2,"{(1, 14)}","{('?', 1, '?', 1, '?')}"
"(1, 14, 14, 14, 1, 0)",1,"{(1, 14)}","{(1, 1, 1, 1, 2)}"
"(1, 14, 14, 14, 14, 0)",5,"{(1, 14)}","{('?', 1, '?', 1, '?')}"
