message,count,symbols,fixed_attribute_values
"(1, 1, 1, 0)",1,"{(1,)}","{(5, '?', '?')}"
"(1, 1, 5, 0)",1,"{(1, 5)}","{(3, '?', '?')}"
"(1, 1, 7, 0)",2,"{(1, 7)}","{('?', '?', '?')}"
"(1, 14, 14, 0)",1,"{(1, 14)}","{(3, 1, '?')}"
"(1, 7, 7, 0)",1,"{(1, 7)}","{(2, '?', '?')}"
"(10, 10, 10, 0)",40,"{(10,)}","{('?', '?', 4)}"
"(10, 10, 14, 0)",1,"{(10, 14)}","{(3, 6, 4)}"
"(10, 14, 14, 0)",1,"{(10, 14)}","{(3, 6, 4)}"
"(10, 5, 5, 0)",4,"{(10, 5)}","{('?', 3, 4)}"
"(10, 7, 10, 0)",1,"{(10, 7)}","{(5, 0, 4)}"
"(10, 7, 7, 0)",2,"{(10, 7)}","{('?', 0, 4)}"
"(14, 10, 14, 0)",1,"{(10, 14)}","{(3, 6, 4)}"
"(14, 14, 14, 0)",53,"{(14,)}","{('?', 6, '?')}"
"(14, 6, 6, 0)",1,"{(14, 6)}","{(4, 6, 5)}"
"(15, 15, 15, 0)",4,"{(15,)}","{('?', 2, 1)}"
"(15, 15, 27, 0)",1,"{(27, 15)}","{('?', 2, 1)}"
"(15, 23, 15, 0)",1,"{(23, 15)}","{(3, 2, 1)}"
"(15, 27, 15, 0)",2,"{(27, 15)}","{('?', 2, 1)}"
"(18, 1, 1, 0)",1,"{(1, 18)}","{(1, '?', '?')}"
"(18, 18, 18, 0)",7,"{(18,)}","{('?', 5, '?')}"
"(18, 20, 18, 0)",1,"{(18, 20)}","{(1, 5, 0)}"
"(18, 20, 20, 0)",1,"{(18, 20)}","{(1, 5, 0)}"
"(18, 21, 5, 0)",1,"{(18, 5, 21)}","{(0, '?', '?')}"
"(2, 2, 2, 0)",71,"{(2,)}","{('?', '?', 7)}"
"(20, 20, 20, 0)",18,"{(20,)}","{('?', '?', 0)}"
"(20, 20, 21, 0)",1,"{(20, 21)}","{(1, 1, 0)}"
"(20, 20, 7, 0)",1,"{(20, 7)}","{(1, 0, 0)}"
"(20, 21, 20, 0)",2,"{(20, 21)}","{('?', 1, 0)}"
"(21, 1, 1, 0)",1,"{(1, 21)}","{(1, '?', '?')}"
"(21, 20, 20, 0)",6,"{(20, 21)}","{('?', 1, 0)}"
"(21, 20, 21, 0)",3,"{(20, 21)}","{('?', 1, 0)}"
"(21, 21, 17, 0)",1,"{(17, 21)}","{(5, 1, 6)}"
"(21, 21, 20, 0)",5,"{(20, 21)}","{('?', 1, 0)}"
"(21, 21, 21, 0)",12,"{(21,)}","{('?', 1, '?')}"
"(21, 21, 5, 0)",1,"{(5, 21)}","{(0, '?', '?')}"
"(21, 24, 24, 0)",1,"{(24, 21)}","{(6, 1, 2)}"
