message,count,symbols,fixed_attribute_values
"(1, 1, 1, 1, 0)",11,"{(1,)}","{('?', '?', 6, '?')}"
"(1, 1, 1, 10, 0)",1,"{(1, 10)}","{(7, '?', 6, '?')}"
"(1, 1, 16, 16, 0)",1,"{(16, 1)}","{(4, '?', 6, 2)}"
"(1, 1, 3, 1, 0)",1,"{(1, 3)}","{(4, 1, 6, 5)}"
"(1, 10, 24, 24, 0)",9,"{(24, 1, 10)}","{('?', 0, 6, '?')}"
"(1, 15, 15, 15, 0)",1,"{(1, 15)}","{(5, 2, 6, '?')}"
"(1, 16, 16, 16, 0)",2,"{(16, 1)}","{('?', '?', 6, 2)}"
"(1, 18, 18, 18, 0)",2,"{(1, 18)}","{('?', 1, 6, 5)}"
"(1, 19, 1, 1, 0)",1,"{(1, 19)}","{(7, '?', 6, '?')}"
"(1, 22, 10, 24, 0)",1,"{(24, 1, 10, 22)}","{(2, 0, 6, 6)}"
"(1, 22, 22, 22, 0)",1,"{(1, 22)}","{(1, 1, 6, 6)}"
"(1, 24, 24, 24, 0)",1,"{(24, 1)}","{(1, 0, 6, 3)}"
"(1, 25, 13, 25, 0)",1,"{(1, 13, 25)}","{(0, 5, 6, '?')}"
"(1, 3, 18, 18, 0)",2,"{(1, 18, 3)}","{('?', 1, 6, 5)}"
"(1, 3, 18, 3, 0)",1,"{(1, 18, 3)}","{(4, 1, 6, 5)}"
"(10, 10, 24, 24, 0)",118,"{(24, 10)}","{('?', 0, '?', '?')}"
"(10, 22, 10, 24, 0)",1,"{(24, 10, 22)}","{('?', 0, '?', 6)}"
"(10, 24, 10, 24, 0)",11,"{(24, 10)}","{('?', 0, '?', '?')}"
"(10, 24, 16, 24, 0)",2,"{(24, 16, 10)}","{('?', 0, '?', 2)}"
"(10, 24, 24, 10, 0)",19,"{(24, 10)}","{('?', 0, '?', '?')}"
"(10, 24, 24, 14, 0)",1,"{(24, 10, 14)}","{(6, 0, 0, '?')}"
"(10, 24, 24, 16, 0)",1,"{(24, 16, 10)}","{(5, 0, 5, 2)}"
"(10, 24, 24, 24, 0)",112,"{(24, 10)}","{('?', 0, '?', '?')}"
"(10, 24, 24, 8, 0)",1,"{(24, 8, 10)}","{(4, 0, 0, 1)}"
"(10, 24, 8, 24, 0)",1,"{(24, 8, 10)}","{(4, 0, 0, 1)}"
"(13, 13, 25, 13, 0)",1,"{(25, 13)}","{(0, 5, 1, '?')}"
"(13, 13, 25, 25, 0)",1,"{(25, 13)}","{(2, 5, 7, 2)}"
"(13, 16, 25, 13, 0)",1,"{(16, 25, 13)}","{(3, 5, 1, 2)}"
"(13, 25, 13, 25, 0)",2,"{(25, 13)}","{('?', 5, '?', '?')}"
"(13, 25, 25, 13, 0)",2,"{(25, 13)}","{(2, 5, 0, '?')}"
"(13, 25, 25, 25, 0)",5,"{(25, 13)}","{('?', 5, '?', '?')}"
