message,count,symbols,fixed_attribute_values
"(1, 1, 1, 0)",10,"{(1,)}","{('?', '?', '?')}"
"(1, 1, 15, 0)",1,"{(1, 15)}","{('?', 0, '?')}"
"(1, 1, 18, 0)",4,"{(1, 18)}","{('?', '?', '?')}"
"(1, 1, 19, 0)",13,"{(1, 19)}","{('?', '?', '?')}"
"(1, 1, 27, 0)",4,"{(1, 27)}","{('?', '?', 1)}"
"(1, 1, 28, 0)",4,"{(1, 28)}","{('?', '?', '?')}"
"(1, 1, 29, 0)",3,"{(1, 29)}","{('?', '?', '?')}"
"(1, 1, 3, 0)",4,"{(1, 3)}","{('?', '?', '?')}"
"(1, 1, 34, 0)",20,"{(1, 34)}","{('?', '?', '?')}"
"(1, 1, 38, 0)",1,"{(1, 38)}","{(14, 0, 5)}"
"(1, 1, 40, 0)",4,"{(40, 1)}","{('?', 15, 1)}"
"(1, 1, 44, 0)",9,"{(1, 44)}","{('?', '?', '?')}"
"(1, 1, 45, 0)",4,"{(1, 45)}","{('?', '?', '?')}"
"(1, 1, 47, 0)",1,"{(1, 47)}","{(4, 9, 5)}"
"(1, 1, 5, 0)",4,"{(1, 5)}","{('?', 2, '?')}"
"(1, 1, 50, 0)",3,"{(1, 50)}","{('?', '?', '?')}"
"(1, 1, 7, 0)",7,"{(1, 7)}","{('?', '?', 1)}"
"(1, 12, 2, 0)",2,"{(1, 2, 12)}","{('?', '?', 12)}"
"(1, 12, 25, 0)",6,"{(1, 12, 25)}","{('?', '?', 1)}"
"(1, 12, 37, 0)",6,"{(1, 12, 37)}","{('?', '?', '?')}"
"(1, 12, 38, 0)",5,"{(1, 12, 38)}","{('?', '?', '?')}"
"(1, 12, 40, 0)",4,"{(40, 1, 12)}","{('?', '?', 1)}"
"(1, 12, 43, 0)",1,"{(1, 43, 12)}","{(14, 10, 5)}"
"(1, 12, 46, 0)",6,"{(1, 12, 46)}","{('?', '?', 1)}"
"(1, 12, 5, 0)",3,"{(1, 12, 5)}","{('?', '?', '?')}"
"(1, 12, 51, 0)",13,"{(1, 51, 12)}","{('?', '?', '?')}"
"(1, 15, 1, 0)",2,"{(1, 15)}","{('?', '?', '?')}"
"(1, 15, 15, 0)",2,"{(1, 15)}","{('?', '?', '?')}"
"(1, 15, 18, 0)",1,"{(1, 18, 15)}","{(11, 5, 15)}"
"(1, 15, 28, 0)",1,"{(1, 28, 15)}","{('?', '?', 8)}"
"(1, 15, 34, 0)",1,"{(1, 34, 15)}","{('?', 8, 15)}"
"(1, 15, 38, 0)",1,"{(1, 38, 15)}","{(14, 10, '?')}"
"(1, 15, 41, 0)",1,"{(1, 41, 15)}","{('?', 1, 4)}"
"(1, 15, 43, 0)",4,"{(1, 43, 15)}","{('?', '?', '?')}"
"(1, 15, 47, 0)",3,"{(1, 47, 15)}","{('?', '?', 15)}"
"(1, 15, 48, 0)",1,"{(48, 1, 15)}","{('?', 8, 13)}"
"(1, 17, 15, 0)",1,"{(1, 17, 15)}","{('?', 5, '?')}"
"(1, 17, 24, 0)",1,"{(24, 1, 17)}","{('?', 5, 4)}"
"(1, 17, 25, 0)",1,"{(1, 17, 25)}","{(9, 1, 1)}"
"(1, 17, 27, 0)",2,"{(1, 27, 17)}","{('?', 1, 1)}"
"(1, 17, 28, 0)",3,"{(1, 28, 17)}","{('?', '?', '?')}"
"(1, 17, 41, 0)",1,"{(1, 17, 41)}","{('?', 5, 4)}"
"(1, 17, 50, 0)",5,"{(1, 50, 17)}","{('?', '?', '?')}"
"(1, 18, 43, 0)",19,"{(1, 18, 43)}","{('?', '?', '?')}"
"(1, 21, 7, 0)",1,"{(1, 21, 7)}","{(3, '?', 1)}"
"(1, 24, 20, 0)",1,"{(24, 1, 20)}","{(11, 5, 9)}"
"(1, 27, 1, 0)",1,"{(1, 27)}","{('?', 11, '?')}"
"(1, 27, 25, 0)",1,"{(1, 27, 25)}","{(1, 8, 1)}"
"(1, 27, 27, 0)",2,"{(1, 27)}","{('?', '?', 1)}"
"(1, 27, 28, 0)",1,"{(1, 27, 28)}","{('?', 10, 12)}"
"(1, 27, 29, 0)",3,"{(1, 27, 29)}","{('?', '?', 1)}"
"(1, 27, 44, 0)",8,"{(1, 27, 44)}","{('?', '?', '?')}"
"(1, 27, 47, 0)",11,"{(1, 27, 47)}","{('?', '?', '?')}"
"(1, 28, 28, 0)",2,"{(1, 28)}","{('?', '?', '?')}"
"(1, 28, 41, 0)",2,"{(1, 28, 41)}","{('?', '?', 4)}"
"(1, 28, 44, 0)",5,"{(1, 28, 44)}","{('?', '?', '?')}"
"(1, 29, 15, 0)",1,"{(1, 29, 15)}","{('?', 5, '?')}"
"(1, 29, 18, 0)",6,"{(1, 18, 29)}","{('?', 13, '?')}"
"(1, 29, 27, 0)",3,"{(1, 27, 29)}","{('?', '?', 1)}"
"(1, 29, 28, 0)",3,"{(1, 28, 29)}","{('?', '?', '?')}"
"(1, 29, 29, 0)",5,"{(1, 29)}","{('?', 13, '?')}"
"(1, 29, 47, 0)",4,"{(1, 29, 47)}","{('?', '?', '?')}"
"(1, 29, 50, 0)",3,"{(1, 50, 29)}","{('?', '?', '?')}"
"(1, 3, 43, 0)",3,"{(1, 3, 43)}","{('?', 8, '?')}"
"(1, 3, 47, 0)",2,"{(1, 3, 47)}","{('?', '?', 14)}"
