message,count,symbols,fixed_attribute_values
"(1, 1, 1, 0)",11,"{(1,)}","{('?', '?', '?')}"
"(1, 1, 42, 0)",9,"{(1, 42)}","{('?', '?', '?')}"
"(1, 20, 42, 0)",1,"{(1, 42, 20)}","{(5, 4, 3)}"
"(1, 30, 42, 0)",1,"{(1, 42, 30)}","{(8, 8, 12)}"
"(1, 31, 1, 0)",2,"{(1, 31)}","{('?', 9, '?')}"
"(1, 36, 42, 0)",1,"{(1, 42, 36)}","{(2, 4, 3)}"
"(10, 10, 10, 0)",13,"{(10,)}","{('?', '?', '?')}"
"(10, 10, 32, 0)",2,"{(32, 10)}","{('?', '?', '?')}"
"(10, 10, 42, 0)",17,"{(10, 42)}","{('?', '?', '?')}"
"(10, 42, 32, 0)",1,"{(32, 10, 42)}","{(13, 3, 0)}"
"(11, 1, 1, 0)",30,"{(1, 11)}","{('?', '?', '?')}"
"(11, 1, 20, 0)",24,"{(1, 11, 20)}","{('?', '?', '?')}"
"(11, 1, 42, 0)",21,"{(1, 42, 11)}","{('?', '?', '?')}"
"(11, 11, 42, 0)",4,"{(42, 11)}","{('?', '?', '?')}"
"(11, 20, 38, 0)",1,"{(11, 20, 38)}","{(14, 11, 9)}"
"(11, 30, 20, 0)",2,"{(11, 20, 30)}","{(5, '?', '?')}"
"(11, 30, 30, 0)",7,"{(11, 30)}","{('?', '?', '?')}"
"(11, 30, 38, 0)",2,"{(38, 11, 30)}","{(5, '?', 6)}"
"(11, 30, 42, 0)",39,"{(42, 11, 30)}","{('?', '?', '?')}"
"(11, 33, 20, 0)",22,"{(33, 11, 20)}","{('?', '?', '?')}"
"(11, 35, 12, 0)",3,"{(35, 11, 12)}","{(6, 11, '?')}"
"(11, 35, 13, 0)",1,"{(35, 11, 13)}","{(6, 11, 12)}"
"(11, 35, 3, 0)",1,"{(3, 35, 11)}","{(3, 6, 12)}"
"(11, 35, 32, 0)",5,"{(32, 35, 11)}","{(6, '?', '?')}"
"(11, 35, 35, 0)",15,"{(35, 11)}","{('?', '?', '?')}"
"(11, 38, 11, 0)",1,"{(11, 38)}","{(5, 8, 9)}"
"(11, 38, 30, 0)",8,"{(11, 38, 30)}","{('?', '?', '?')}"
"(11, 38, 43, 0)",1,"{(43, 11, 38)}","{(9, 8, 6)}"
