message,count,symbols,fixed_attribute_values
"(1, 1, 2, 0)",1,"{(1, 2)}","{(15, 0, 1)}"
"(1, 1, 21, 0)",2,"{(1, 21)}","{('?', 0, 1)}"
"(1, 1, 23, 0)",1,"{(1, 23)}","{(11, 0, 6)}"
"(1, 1, 30, 0)",2,"{(1, 30)}","{('?', 0, 1)}"
"(1, 1, 5, 0)",2,"{(1, 5)}","{(9, '?', 1)}"
"(1, 10, 16, 0)",2,"{(16, 1, 10)}","{('?', 0, 9)}"
"(1, 10, 41, 0)",1,"{(1, 10, 41)}","{(14, 0, 9)}"
"(1, 10, 44, 0)",1,"{(1, 10, 44)}","{(3, 0, 9)}"
"(1, 10, 8, 0)",3,"{(8, 1, 10)}","{('?', 0, 9)}"
"(1, 14, 1, 0)",1,"{(1, 14)}","{(9, 11, 1)}"
"(1, 14, 2, 0)",4,"{(1, 2, 14)}","{('?', '?', 1)}"
"(1, 14, 20, 0)",1,"{(1, 20, 14)}","{(4, 11, 1)}"
"(1, 14, 21, 0)",2,"{(1, 21, 14)}","{(4, '?', 1)}"
"(1, 14, 23, 0)",2,"{(1, 14, 23)}","{('?', 0, '?')}"
"(1, 14, 24, 0)",2,"{(24, 1, 14)}","{('?', 0, 1)}"
"(1, 14, 30, 0)",1,"{(1, 14, 30)}","{(8, 0, 1)}"
"(1, 14, 5, 0)",1,"{(1, 5, 14)}","{(9, 11, 1)}"
"(1, 16, 5, 0)",1,"{(16, 1, 5)}","{(9, 11, 9)}"
"(1, 18, 18, 0)",1,"{(1, 18)}","{(8, 11, 1)}"
"(1, 2, 2, 0)",1,"{(1, 2)}","{(11, 11, 1)}"
"(1, 20, 16, 0)",2,"{(16, 1, 20)}","{('?', 0, 6)}"
"(1, 20, 20, 0)",3,"{(1, 20)}","{('?', 0, 1)}"
"(1, 20, 21, 0)",2,"{(1, 20, 21)}","{('?', 0, '?')}"
"(1, 20, 25, 0)",3,"{(1, 20, 25)}","{('?', 0, 1)}"
"(1, 20, 30, 0)",1,"{(1, 20, 30)}","{(6, 0, 1)}"
"(1, 20, 8, 0)",1,"{(8, 1, 20)}","{(0, 0, 6)}"
"(1, 25, 16, 0)",3,"{(16, 1, 25)}","{('?', 0, 6)}"
