message,concepts
"(2, 7, 9, 0)","[(6, 11, 7), (6, 4, 7), (6, 4, 7), (6, 4, 7), (6, 2, 7), (6, 2, 7), (6, 11, 7), (6, 2, 7), (6, 2, 7), (6, 11, 7), (15, 2, 7), (6, 4, 7), (6, 11, 7), (15, 4, 7)]"
"(2, 7, 39, 0)","[(1, 2, 7), (6, 2, 7), (15, 4, 7), (15, 2, 7), (1, 2, 7)]"
"(2, 10, 10, 0)","[(1, 3, 9), (6, 8, 7), (6, 3, 7), (6, 8, 9), (6, 8, 9), (1, 15, 9), (6, 8, 7), (6, 8, 9), (15, 8, 9), (1, 3, 9), (15, 3, 7), (6, 8, 7), (6, 8, 9), (1, 15, 9), (15, 8, 9), (15, 3, 9), (15, 8, 7), (6, 15, 7), (1, 3, 7), (15, 3, 7), (6, 8, 9), (15, 8, 9), (6, 3, 7), (6, 3, 7), (6, 8, 7), (15, 8, 9), (6, 3, 7), (15, 3, 7), (1, 15, 9), (6, 3, 7), (15, 3, 9), (6, '?', 7), (1, 15, 7), (6, 8, 7), (6, 8, 9), (6, 3, 7), (1, 15, 7), (1, 3, 7), (1, 3, 9), (15, 3, 9), (15, 8, 9), (15, 3, 7), (6, 15, 7), (1, 8, 9), (1, 15, 7), (1, 3, 9), (15, 8, 7), (15, 8, 7), (1, 15, 7), (15, 8, 9), (6, 3, 7), (1, 3, 7), (1, 8, 9), (15, 3, 7), (1, 15, 7), (1, 15, 9), (1, 8, 9), (6, 15, 7), (1, 3, 7), (6, 8, 9), (1, 3, 7), (1, 8, 9), (15, 8, 9), (15, 3, 9), (6, 15, 7), (15, 3, 9), (6, 15, 7), (6, 8, 7), (15, 8, 7), (15, 3, 7), (1, 3, 9), (1, 3, 7), (1, 3, 7), (6, 3, 7), (15, 3, 7), (1, 15, 7), (1, 15, 7), (1, 8, 9), (6, 8, 7), (1, 3, 7), (6, 8, 9), (1, 8, 9), (15, 8, 9), (6, 8, 7), (6, 8, 7), (1, 15, 9), (1, 8, 9), (15, 3, 7), (6, 15, 7), (1, 15, 9), (15, 8, 7), (1, 3, 9), (6, 8, 9), (6, 15, 7), (6, 15, 7)]"
"(2, 10, 19, 0)","[(6, '?', 7), (1, 6, 9), (6, 5, 7), (1, 13, 7), (1, 6, 9), (6, 6, 7), (15, 13, 9), (6, 7, 7), (1, 7, 9), (6, 6, 7), (1, 13, 7), (1, 6, 7), (15, 7, 9), (15, 13, 9), (15, 7, 7), (15, 6, 7), (15, 7, 9), (6, 7, 7), (1, 5, 7), (6, 5, 7), (6, 7, 7), (1, 7, 7), (6, 6, 9), (15, 13, 9), (15, 7, 7), (6, 13, 7), (1, 5, 7), (6, 5, 9), (6, 7, 9), (6, 13, 7), (1, 5, 9), (15, 6, 7), (1, 13, 7), (15, 5, 9), (1, 13, 9), (1, 6, 7), (1, 5, 9), (6, 6, 7), (1, 5, 7), (6, 6, 9), (1, 6, 7), (6, 6, 9), (1, 13, 7), (6, 6, 9), (15, 7, 7), (6, 6, 7), (15, 5, 9), (6, 13, 9), (15, 7, 9), (15, 6, 7), (1, 13, 7), (6, 7, 9), (1, 7, 9), (1, 6, 7), (15, 5, 9), (6, 7, 7), (1, 5, 7), (15, 5, 9), (1, 7, 7), (1, 7, 7), (15, 6, 7), (6, 5, 9), (6, 13, 7), (6, 6, 9), (1, 13, 9), (15, 5, 9), (1, 6, 7), (6, 13, 7), (1, 7, 9), (6, 13, 9), (6, 5, 9), (6, 7, 7), (15, 7, 9), (6, 6, 9), (6, 5, 9), (1, 6, 9), (15, 7, 7), (1, 7, 9), (1, 6, 7), (6, 7, 7), (15, 13, 9), (6, 5, 9), (15, 7, 7), (6, 6, 7), (15, 7, 7), (6, 13, 9), (15, 7, 9), (6, 7, 7), (6, 7, 7), (1, 7, 9), (1, 7, 7), (1, 7, 9), (6, 13, 7), (6, 13, 7), (6, 6, 7), (6, 5, 9), (15, '?', 9), (6, 13, 7), (1, 7, 7), (1, 5, 9), (15, 13, 9), (1, 5, 7), (6, 6, 9), (15, 7, 9), (1, 13, 7), (6, 13, 9), (6, 5, 7), (6, 7, 7), (1, 13, 9), (15, 6, 7), (6, 6, 7), (1, 13, 7), (15, 5, 9), (15, '?', 9), (1, 13, 9), (15, 7, 9), (15, 13, 9), (1, 5, 7), (6, 13, 7), (15, 13, 9), (1, 6, 9), (6, 13, 7), (6, 5, 9), (15, 6, 7), (1, 5, 9), (6, 7, 9), (1, 7, 9), (6, 13, 7), (1, 5, 9), (1, 7, 7), (1, 6, 9), (15, 6, 7), (15, 7, 7), (15, 5, 9), (6, 6, 7), (1, 7, 7), (15, 5, 9), (1, 7, 9), (6, '?', 7), (6, 5, 7), (6, 13, 9), (6, 13, 9), (6, 13, 9), (1, 7, 7), (15, 6, 7), (1, 6, 7), (1, 5, 7), (6, 5, 9), (1, 6, 7), (6, '?', 7), (15, '?', 9), (1, 13, 7), (1, 7, 9), (6, 7, 9), (15, 6, 7), (15, 13, 9), (6, 6, 9), (6, 6, 7), (6, 13, 9)]"
"(2, 16, 16, 0)","[(11, 6, 1), (11, 8, 1), (11, 8, 1), (11, 3, 1), (11, 15, 1), (11, 15, 1)]"
"(2, 16, 19, 0)","[(11, 13, 3), (11, 6, 5), (11, 7, 3), (11, 6, 3), (11, 7, 5), (11, 6, 1), (11, 13, 3), (11, 5, 7), (11, 13, 3), (11, 5, 5), (11, 6, 5), (11, 5, 5), (11, 5, 5), (11, 13, 3), (11, 7, 5), (11, 13, 3), (11, 6, 3), (11, 7, 3), (11, 6, 5), (11, 6, 5), (11, 7, 5), (11, 6, 3), (11, 6, 5), (11, 5, 5), (11, 5, 1), (11, 6, 3), (11, 5, 1), (11, 5, 1), (11, 6, 3), (11, 7, 5), (11, 6, 1), (11, 7, 5), (11, 6, 1), (11, 7, 3), (11, 5, 7), (11, 5, 5), (11, 5, 5), (11, 5, 5), (11, 13, 3), (11, 7, 5), (11, 7, 5), (11, 6, 3), (11, 5, 5), (11, 7, 5), (11, 5, 1), (11, 6, 3)]"
"(2, 16, 32, 0)","[(11, 3, 1)]"
"(2, 20, 19, 0)","[('?', 5, 9)]"
"(2, 32, 16, 0)","[(11, 15, 1), (11, 15, 1), (11, 15, 1), (11, 8, 1), (11, 8, 1), (11, 8, 1), (11, 15, 1), (11, 3, 1), (11, 8, 1), (11, 3, 1), (11, 3, 1), (11, 15, 1), (11, 8, 1), (11, 3, 1), (11, 15, 1), (11, 8, 1)]"
"(2, 32, 19, 0)","[(11, 6, 1), (11, 6, 5), (11, 5, 1), (11, 6, 1), (11, 7, 3), (11, 5, 1)]"
