message,concepts
"(1, 1, 1, 0)","[('?', 3, 2), ('?', '?', 2), ('?', '?', 2), ('?', '?', 2), ('?', '?', 2), ('?', '?', 2), ('?', '?', 2), ('?', '?', 2)]"
"(1, 1, 5, 0)","[(0, '?', 2)]"
"(1, 1, 15, 0)","[('?', '?', 2), ('?', '?', 2), ('?', '?', 2), ('?', 3, 2)]"
"(1, 2, 2, 0)","[('?', 0, 2), ('?', 0, 2), ('?', 0, 2), ('?', 0, 2), ('?', 0, 2), ('?', 0, 2)]"
"(1, 8, 2, 0)","[(2, 0, 2), (2, 0, 2)]"
"(1, 15, 1, 0)","[('?', 3, 2), ('?', 3, 2), (2, '?', 2), ('?', 3, 2), ('?', 3, 2)]"
"(1, 15, 2, 0)","[(2, '?', 2)]"
"(2, 1, 2, 0)","[('?', 0, 2)]"
"(2, 2, 1, 0)","[(2, 0, 2)]"
"(2, 2, 2, 0)","[('?', 0, '?'), ('?', 0, '?'), (2, 0, '?'), ('?', 0, '?'), ('?', 0, '?'), ('?', 0, '?'), ('?', 0, '?'), ('?', 0, '?'), ('?', 0, '?'), ('?', 0, '?'), ('?', 0, '?')]"
"(2, 2, 8, 0)","[(2, 0, '?')]"
"(2, 8, 1, 0)","[(2, 0, 2), (2, 0, 2), (2, 0, 2), (2, 0, 2), (2, 0, 2)]"
"(2, 8, 2, 0)","[(2, 0, '?'), (2, 0, '?'), (2, 0, '?')]"
"(2, 14, 2, 0)","[(2, 0, 0)]"
"(2, 14, 14, 0)","[(2, 0, 0), (2, 0, 0)]"
"(3, 1, 2, 0)","[('?', 0, 2)]"
"(3, 1, 3, 0)","[(3, 0, 2), (3, 0, 2), (3, 3, 2), (3, 0, 2), (3, 3, 2), (3, 3, 2), (3, 0, 2), (3, 0, 2), (3, 3, 2), (3, 0, 2), (3, 0, 2), (3, 3, 2), (3, 3, 2)]"
"(3, 3, 1, 0)","[(3, 3, 2)]"
"(3, 3, 2, 0)","[(3, 0, 0)]"
"(3, 3, 3, 0)","[(3, '?', '?'), (3, '?', '?'), (3, 0, 2), (3, 0, 3), (3, '?', '?'), (3, '?', '?'), (3, '?', '?'), (3, 0, 3), (3, '?', '?'), (3, 0, 3), (3, 0, 3), (3, 0, 3)]"
"(3, 3, 4, 0)","[(3, 0, 1)]"
"(3, 3, 6, 0)","[(3, 0, 0), (3, 0, 0), (3, 0, 0), (3, '?', 0), (3, 0, 0)]"
"(3, 3, 9, 0)","[(3, 3, '?')]"
"(3, 3, 10, 0)","[(3, '?', 3), (3, '?', 3), (3, 3, 3), (3, 3, 3), (3, '?', 3), (3, 3, 3), (3, '?', 3), (3, '?', 3), (3, 3, 3), (3, '?', 3), (3, 3, 3), (3, '?', 3), (3, '?', 3)]"
"(3, 3, 11, 0)","[(3, 3, '?')]"
"(3, 4, 3, 0)","[(3, 0, 1), (3, 0, 1), (3, 0, 1), (3, 0, 1), (3, 0, 1), (3, 0, 1)]"
"(3, 4, 13, 0)","[(3, 2, 1), (3, 2, 1), (3, 2, 1), (3, 2, 1), (3, 2, 1), (3, 2, 1), (3, 2, 1)]"
"(3, 6, 2, 0)","[(3, 0, 0)]"
"(3, 6, 3, 0)","[(3, 0, 0)]"
"(3, 6, 6, 0)","[(3, '?', 0), (3, '?', 0), (3, '?', 0), (3, 3, 0), (3, '?', 0), (3, '?', 0), (3, '?', 0)]"
"(3, 6, 11, 0)","[(3, 3, 0)]"
"(3, 6, 13, 0)","[(3, 2, 0), (3, 2, 0), (3, 2, 0), (3, 2, 0), (3, 2, 0)]"
"(3, 7, 1, 0)","[(3, 1, 2), (3, 1, 2), (3, 1, 2), (3, 1, 2), (3, 1, 2), (3, 1, 2), (3, 1, 2), (3, 1, 2)]"
"(3, 7, 5, 0)","[(3, 1, 3)]"
"(3, 7, 6, 0)","[(3, 1, '?')]"
"(3, 7, 7, 0)","[(3, 1, '?'), (3, 1, '?'), (3, 1, '?')]"
"(3, 7, 10, 0)","[(3, 1, 3), (3, 1, 3), (3, 1, 3), (3, 1, 3), (3, 1, 3), (3, 1, 3), (3, 1, 3)]"
