message,concepts
"(1, 1, 1, 1, 0)","[(1, '?', '?', 0), (1, '?', '?', 0), (1, '?', '?', 0), (1, '?', '?', 0), (1, '?', '?', 0), (1, '?', '?', 0), (1, '?', '?', 0), (1, '?', '?', 0), (1, '?', '?', 0)]"
"(1, 1, 1, 5, 0)","[(1, 1, 3, 0)]"
"(1, 1, 1, 10, 0)","[(3, '?', 2, 0), (3, '?', 2, 0), (3, '?', 2, 0), (3, '?', 2, 0)]"
"(1, 1, 1, 14, 0)","[(1, '?', 0, 0)]"
"(1, 1, 1, 15, 0)","[(1, 1, '?', 0), (1, 1, '?', 0), (1, 1, '?', 0), (1, 1, '?', 0), (1, 1, '?', 0), (1, 1, '?', 0), (1, 1, '?', 0), (1, 1, '?', 0)]"
"(1, 1, 3, 3, 0)","[(2, '?', 2, 0), (2, '?', 2, 0)]"
"(1, 1, 4, 9, 0)","[(0, '?', 3, 0), (0, '?', 3, 0), (0, '?', 3, 0)]"
"(1, 1, 5, 1, 0)","[(1, 1, 3, 0), (1, 1, 3, 0), (1, 1, 3, 0), (1, 1, 3, 0)]"
"(1, 1, 5, 4, 0)","[('?', '?', 3, 0)]"
"(1, 1, 5, 5, 0)","[(3, '?', 3, 0), (3, '?', 3, 0), (3, '?', 3, 0), (3, '?', 3, 0), (3, '?', 3, 0), (3, '?', 3, 0), (3, '?', 3, 0)]"
"(1, 1, 5, 13, 0)","[(3, '?', 3, 0)]"
"(1, 1, 5, 15, 0)","[('?', 1, 3, 0), ('?', 1, 3, 0), (1, 1, 3, 0)]"
"(1, 1, 8, 3, 0)","[(2, '?', 2, 0), (2, '?', 2, 0), (2, '?', 2, 0), (2, '?', 2, 0), (2, '?', 2, 0), (2, '?', 2, 0)]"
"(1, 1, 10, 3, 0)","[(0, '?', 2, 0), (0, '?', 2, 0), (0, '?', 2, 0), (0, '?', 2, 0), (0, '?', 2, 0), (0, '?', 2, 0)]"
"(1, 1, 10, 12, 0)","[('?', '?', 2, 0), ('?', '?', 2, 0), ('?', '?', 2, 0), ('?', '?', 2, 0)]"
"(1, 1, 12, 3, 0)","[(0, '?', 2, 0)]"
"(1, 1, 12, 8, 0)","[(0, '?', 2, 0)]"
"(1, 1, 12, 10, 0)","[('?', '?', 2, 0)]"
"(1, 1, 13, 2, 0)","[(3, '?', 0, 0), (3, '?', 0, 0), (3, '?', 0, 0), (3, '?', 0, 0), (3, '?', 0, 0), (3, '?', 0, 0)]"
"(1, 1, 13, 3, 0)","[(0, '?', '?', 0), (0, '?', '?', 0), (0, '?', '?', 0), (0, '?', '?', 0), (0, '?', '?', 0), (0, '?', '?', 0), (0, '?', '?', 0), (0, '?', '?', 0), (0, '?', '?', 0)]"
"(1, 1, 13, 4, 0)","[('?', '?', '?', 0), ('?', '?', '?', 0), ('?', '?', 3, 0), ('?', '?', '?', 0), ('?', '?', '?', 0), ('?', '?', '?', 0), ('?', '?', '?', 0)]"
"(1, 1, 13, 5, 0)","[('?', '?', 3, 0), ('?', '?', 3, 0), ('?', '?', 3, 0), ('?', '?', 3, 0), ('?', '?', 3, 0), ('?', '?', 3, 0), ('?', '?', 3, 0), ('?', '?', 3, 0)]"
"(1, 1, 13, 8, 0)","[('?', '?', 0, 0), ('?', '?', 0, 0), ('?', '?', 0, 0), ('?', '?', 0, 0), ('?', '?', 0, 0), ('?', '?', 0, 0), ('?', '?', 0, 0), ('?', '?', 0, 0), ('?', '?', 0, 0)]"
"(1, 1, 13, 9, 0)","[(0, '?', 3, 0), (0, '?', 3, 0), (0, '?', 3, 0), (0, '?', 3, 0), (0, '?', 3, 0)]"
"(1, 1, 13, 13, 0)","[(3, '?', '?', 0), (3, '?', '?', 0), (3, '?', '?', 0), (3, '?', '?', 0), (3, '?', '?', 0), (3, '?', '?', 0), (3, '?', '?', 0), (3, '?', '?', 0), (3, '?', '?', 0)]"
"(1, 1, 13, 14, 0)","[(1, '?', 0, 0), (1, '?', 0, 0), (1, '?', 0, 0), (1, '?', 0, 0)]"
"(1, 1, 14, 10, 0)","[(3, '?', 2, 0), (3, '?', 2, 0), (3, '?', 2, 0), (3, '?', 2, 0)]"
"(1, 1, 14, 14, 0)","[(1, '?', 2, 0), (1, '?', 2, 0), (1, '?', 2, 0), (1, '?', 2, 0), (1, '?', 2, 0), (1, '?', 2, 0), (1, '?', 2, 0)]"
"(1, 1, 14, 15, 0)","[(1, 1, 2, 0), (1, 1, 2, 0), (1, 1, 2, 0), (1, 1, 2, 0), (1, 1, 2, 0), (1, 1, 2, 0)]"
"(1, 1, 15, 3, 0)","[(0, 1, '?', 0), (0, 1, '?', 0), (0, 1, '?', 0), (0, 1, '?', 0), (0, 1, '?', 0)]"
"(1, 1, 15, 5, 0)","[('?', 1, 3, 0), ('?', 1, 3, 0), ('?', 1, 3, 0), ('?', 1, 3, 0), ('?', 1, 3, 0)]"
"(1, 1, 15, 8, 0)","[(0, 1, 0, 0), (0, 1, 0, 0), (0, 1, 0, 0), (0, 1, 0, 0), (0, 1, 0, 0), (0, 1, 0, 0), (0, 1, 0, 0), (0, 1, 0, 0), (0, 1, 0, 0)]"
"(1, 1, 15, 9, 0)","[(0, 1, 3, 0), (0, 1, 3, 0), (0, 1, 3, 0), (0, 1, 3, 0), (0, 1, 3, 0), (0, 1, 3, 0), (0, 0, 3, 0), (0, 1, 3, 0), (0, 1, 3, 0), (0, 0, 3, 0)]"
"(1, 5, 5, 9, 0)","[(0, '?', 1, 0), (0, '?', 1, 0), (0, '?', 1, 0), (0, '?', 1, 0), (0, '?', 1, 0), (0, '?', 1, 0), (0, '?', 1, 0)]"
"(1, 5, 5, 15, 0)","[(0, 1, 1, 0), (0, 1, 1, 0), (0, 1, 1, 0), (0, 1, 1, 0), (0, 1, 1, 0), ('?', 1, 1, 0)]"
"(1, 5, 9, 15, 0)","[(0, 1, 1, 0), (0, 1, 1, 0), (0, 1, 1, 0)]"
"(1, 5, 15, 9, 0)","[(0, 1, 1, 0)]"
"(1, 6, 10, 3, 0)","[(0, '?', 2, 1), (0, '?', 2, 1)]"
"(1, 6, 10, 6, 0)","[(3, '?', 2, 1)]"
"(1, 8, 3, 3, 0)","[(2, '?', 2, 0)]"
"(1, 8, 3, 15, 0)","[(2, 1, 2, 0), (2, 1, 2, 0), (2, 1, 2, 0), (2, 1, 2, 0), (2, 1, 2, 0)]"
"(1, 8, 8, 8, 0)","[(2, '?', 0, 0), (2, '?', 0, 0)]"
"(1, 10, 4, 3, 0)","[(0, '?', 2, '?')]"
"(1, 10, 6, 3, 0)","[(0, '?', 2, 1), (0, '?', 2, 1), (0, '?', 2, 1)]"
"(1, 10, 6, 6, 0)","[(3, '?', 2, 1), (3, '?', 2, 1), (3, '?', 2, 1)]"
"(1, 10, 6, 10, 0)","[('?', '?', 2, 1), ('?', '?', 2, 1), ('?', '?', 2, 1), ('?', '?', 2, 1), ('?', '?', 2, 1), ('?', '?', 2, 1)]"
"(1, 10, 8, 15, 0)","[(2, 1, 2, 0)]"
"(1, 10, 10, 3, 0)","[(0, '?', 2, '?'), (0, '?', 2, '?'), (0, '?', 2, '?'), (0, '?', 2, '?'), (0, '?', 2, '?'), (0, '?', 2, '?')]"
"(1, 10, 10, 12, 0)","[('?', '?', 2, '?')]"
"(1, 10, 15, 3, 0)","[(0, 1, 2, 2), (0, 1, 2, 2), (0, 1, 2, 2), (0, 1, 2, 2), (0, 1, 2, 2), (0, 1, 2, 2)]"
"(1, 10, 15, 4, 0)","[(0, 1, 2, 2)]"
"(1, 10, 15, 8, 0)","[(0, 1, 2, 0), (0, 1, 2, 0), (0, 1, 2, 0), (0, 1, 2, 0), (0, 1, 2, 0), (0, 1, 2, 0), (0, 1, 2, 0)]"
"(1, 13, 4, 3, 0)","[(0, '?', '?', 2), (0, '?', '?', 2), (0, '?', '?', 2), (0, '?', '?', 2), (0, '?', '?', 2), (0, '?', '?', 2), (0, '?', '?', 2), (0, '?', '?', 2)]"
"(1, 13, 4, 4, 0)","[('?', '?', '?', 2), ('?', '?', '?', 2), ('?', '?', '?', 2), ('?', '?', '?', 2), ('?', '?', '?', 2), ('?', '?', '?', 2), ('?', '?', '?', 2)]"
"(1, 13, 4, 9, 0)","[(0, '?', 3, 2), (0, '?', 3, 2), (0, '?', 3, 2), (0, '?', 3, 2), (0, '?', 3, 2), (0, '?', 3, 2), (0, '?', 3, 2), (0, '?', 3, 2)]"
"(1, 13, 5, 5, 0)","[(3, '?', 3, 2), (3, '?', 3, 2), (3, '?', 3, 2), (3, '?', 3, 2), (3, '?', 3, 2), (3, 1, 3, 2), (3, '?', 3, 2)]"
"(1, 13, 5, 15, 0)","[(3, 1, 3, 2), (3, 1, 3, 2)]"
"(1, 13, 13, 2, 0)","[(3, '?', 0, 0)]"
"(1, 13, 13, 4, 0)","[('?', '?', '?', 2)]"
"(1, 13, 13, 5, 0)","[(1, '?', 3, 2)]"
"(1, 13, 13, 13, 0)","[(1, '?', '?', 2)]"
"(1, 13, 15, 1, 0)","[(3, 1, 0, 0), (3, 1, 0, 0), (3, 1, 0, 0), (3, 1, 0, 0), (3, 1, 0, 0), (3, 1, 0, 0), (3, 1, 0, 0), (3, 1, 0, 0)]"
"(1, 13, 15, 3, 0)","[(0, 1, '?', 2), (0, 1, '?', 2), (0, 1, '?', 2), (0, 1, '?', 2), (0, 1, '?', 2), (0, 1, '?', 2), (0, 1, '?', 2), (0, 1, '?', 2), (0, 1, 0, 2)]"
"(1, 13, 15, 4, 0)","[('?', 1, '?', 2), ('?', 1, '?', 2), ('?', 1, '?', 2), ('?', 1, '?', 2)]"
"(1, 13, 15, 5, 0)","[(3, 1, 3, 2), (3, 1, 3, 2), (3, 1, 3, 2)]"
"(1, 13, 15, 8, 0)","[(0, 1, 0, 2), (0, 1, 0, 2), (0, 1, 0, 2), (0, 1, 0, 2), (0, 1, 0, 2), (0, 1, 0, 2), (0, 1, 0, 2), (0, 1, 0, 2), (0, 1, 0, '?')]"
"(1, 13, 15, 9, 0)","[(0, 1, 3, 2), (0, 1, 3, 2), (0, 1, 3, 2)]"
"(1, 13, 15, 13, 0)","[(3, 1, '?', 2), (3, 1, '?', 2), (3, 1, '?', 2), (3, 1, '?', 2)]"
"(1, 14, 3, 15, 0)","[(2, 1, 2, 0), (2, 1, 2, 0), (2, 1, 2, 0), (2, 1, 2, 0)]"
"(1, 14, 10, 10, 0)","[('?', '?', 2, 2), ('?', '?', 2, 2), ('?', '?', 2, 2), ('?', '?', 2, 2)]"
"(1, 14, 10, 12, 0)","[('?', '?', 2, 2)]"
"(1, 14, 14, 10, 0)","[(3, '?', 2, 2), (3, '?', 2, 2)]"
"(1, 14, 15, 3, 0)","[(0, 1, 2, 0)]"
"(1, 15, 1, 9, 0)","[(0, 0, 3, 0), (0, 0, 3, 0), (0, 0, 3, 0)]"
"(2, 1, 1, 1, 0)","[(1, 2, '?', 0)]"
"(2, 1, 1, 3, 0)","[(0, 2, 2, 0), (0, 2, 2, 0), (0, 2, 2, 0)]"
"(2, 1, 1, 5, 0)","[(1, 2, 3, 0), (1, 2, 3, 0), (1, 2, 3, 0), ('?', 2, 3, 0), (1, 2, 3, 0), (1, 2, 3, 0), (1, 2, 3, 0), (1, 2, 3, 0), (1, 2, 3, 0), (1, 2, 3, 0)]"
"(2, 1, 1, 9, 0)","[(0, 2, 3, 0), (0, 2, 3, 0), (0, 2, 3, 0), (0, 2, 3, 0), (0, 2, 3, 0), (0, 2, 3, 0), (0, 2, 3, 0), (0, 2, 3, 0), (0, 2, 3, 0), (0, 2, 3, 0)]"
"(2, 1, 1, 10, 0)","[(3, 2, 2, 0), (3, 2, 2, 0), (3, 2, 2, 0), (3, 2, 2, 0), (3, 2, 2, 0), (3, 2, 2, 0), (3, 2, 2, 0), (3, 2, 2, 0)]"
"(2, 1, 1, 13, 0)","[(3, 2, '?', 0), (1, 2, '?', 0), (1, 2, '?', 0), (1, 2, '?', 0), (1, 2, '?', 0), (1, 2, '?', 0), (1, 2, '?', 0), (1, 2, '?', 0)]"
"(2, 1, 1, 14, 0)","[(1, 2, 2, 0)]"
"(2, 1, 2, 5, 0)","[('?', 2, 3, 0)]"
"(2, 1, 4, 3, 0)","[(0, 2, '?', 2)]"
"(2, 1, 4, 9, 0)","[(0, 2, 3, 2), (0, 2, 3, 2)]"
"(2, 1, 5, 5, 0)","[(3, 2, 3, 0), (3, 2, 3, 0), (3, 2, 3, 0), (3, 2, 3, 0), (3, 2, 3, 0), (3, 2, 3, 0), (3, 2, 3, 0), (3, 2, 3, 0)]"
"(2, 1, 5, 9, 0)","[(0, 2, 1, 0)]"
"(2, 1, 8, 3, 0)","[(2, 2, 2, 0), (2, 2, 2, 0), (2, 2, 2, 0), (2, 2, 2, 0), (2, 2, 2, 0), (2, 2, 2, 0)]"
"(2, 1, 10, 3, 0)","[(0, 2, 2, 2), (0, 2, 2, 2), (0, 2, 2, 2), (0, 2, 2, 2), (0, 2, 2, 2), (0, 2, 2, 2), (0, 2, 2, 2), (0, 2, 2, 2)]"
"(2, 1, 13, 2, 0)","[(3, 2, 0, 0), (3, 2, 0, 0), (3, 2, 0, 0), (3, 2, 0, 0), (3, 2, 0, 0), (3, 2, 0, 0), (3, 2, 0, 0), (3, 2, 0, 0)]"
"(2, 1, 13, 3, 0)","[(0, 2, 0, 0), (0, 2, 0, 0), (0, 2, 0, 0), (0, 2, 0, 0), (0, 2, 0, 0), (0, 2, 0, 0), (0, 2, 0, 0), (0, 2, 0, 0)]"
"(2, 1, 13, 4, 0)","[('?', 2, '?', 2)]"
"(2, 1, 13, 5, 0)","[('?', 2, 3, 0), ('?', 2, 3, 0), ('?', 2, 3, 0), ('?', 2, 3, 0)]"
"(2, 1, 13, 8, 0)","[('?', 2, 0, 0), ('?', 2, 0, 0), ('?', 2, 0, 0), ('?', 2, 0, 0), ('?', 2, 0, 0), ('?', 2, 0, 0), ('?', 2, 0, 0)]"
"(2, 1, 13, 13, 0)","[(3, 2, '?', 0), (3, 2, '?', 0), (3, 2, '?', 0), (3, 2, '?', 0)]"
"(2, 1, 13, 14, 0)","[(1, 2, 0, 0), (1, 2, 0, 0), (1, 2, 0, 0), (1, 2, 0, 0), (1, 2, 0, 0), (1, 2, 0, 0)]"
"(2, 1, 14, 10, 0)","[(3, 2, 2, 0)]"
"(2, 1, 14, 14, 0)","[(1, 2, 2, 0), (1, 2, 2, 0), (1, 2, 2, 0), (1, 2, 2, 0), (1, 2, 2, 0), (1, 2, 2, 0), (1, 2, 2, 0)]"
"(2, 2, 1, 3, 0)","[(0, 3, 2, 0)]"
"(2, 2, 1, 13, 0)","[(1, 2, '?', 0)]"
"(2, 2, 2, 2, 0)","[(3, 3, 0, 0), (3, 3, 0, 0), (3, 3, 0, 0), (3, 3, 0, 0), (3, 3, 0, 0), (3, 3, 0, 0), (3, 3, 0, 0), (3, 3, 0, 0), (3, 3, 0, 0)]"
"(2, 2, 2, 4, 0)","[('?', 3, '?', 0), ('?', 3, '?', 0), ('?', 3, '?', 0), ('?', 3, '?', 0), ('?', 3, '?', 0), ('?', 3, '?', 0), ('?', 3, '?', 0), ('?', 3, '?', 0)]"
