message,concepts
"(1, 1, 8, 0)","[('?', '?', 0), ('?', '?', 0)]"
"(1, 5, 1, 0)","[('?', 1, 0), ('?', 1, 0), ('?', 1, 0), ('?', 1, 0), ('?', 1, 0), ('?', 1, 0)]"
"(1, 5, 5, 0)","[('?', 1, 0)]"
"(1, 7, 7, 0)","[('?', 2, 0), ('?', 2, 0), ('?', 2, 0), ('?', 2, 0), ('?', 2, 0), ('?', 2, 0), ('?', 2, 0)]"
"(1, 8, 1, 0)","[('?', '?', 0), ('?', '?', 0), ('?', '?', 0), ('?', '?', 0)]"
"(1, 10, 9, 0)","[(2, '?', 0)]"
"(1, 10, 10, 0)","[(2, '?', 0), (2, '?', 0), (2, '?', 0), (2, '?', 0)]"
"(1, 11, 12, 0)","[(0, '?', 0), (0, '?', 0), (0, '?', 0), (0, '?', 0), (0, '?', 0)]"
"(1, 12, 1, 0)","[(0, 2, 0), (0, 2, 0)]"
"(1, 12, 7, 0)","[(0, 2, 0)]"
"(1, 12, 12, 0)","[(0, 2, 0), (0, 2, 0), (0, 2, 0)]"
"(2, 2, 3, 0)","[(1, '?', 1), (1, '?', 1), (1, '?', 1), (1, '?', 1)]"
"(2, 2, 14, 0)","[(1, 2, 1)]"
"(2, 3, 3, 0)","[(1, '?', 1)]"
"(2, 4, 14, 0)","[(1, 3, 1), (1, 3, 1), (1, 3, 1), (1, 3, 1), (1, 3, 1), (1, 3, 1), (1, 3, 1), (1, 3, 1), (1, 3, 1), (1, 3, 1)]"
"(2, 5, 5, 0)","[(2, '?', 1), (2, '?', 1), (2, '?', 1), (2, '?', 1), (2, '?', 1), (2, '?', 1), (2, '?', 1)]"
"(2, 8, 8, 0)","[('?', '?', 1), ('?', '?', 1), ('?', '?', 1), ('?', '?', 1), ('?', '?', 1), ('?', '?', 1), ('?', '?', 1)]"
"(2, 10, 10, 0)","[(2, 3, 1), (2, 3, 1), (2, 3, 1), (2, 3, 1), (2, 3, 1), (2, 3, 1), (2, 3, 1)]"
"(2, 11, 12, 0)","[(0, '?', 1), (0, '?', 1), (0, '?', 1), (0, '?', 1), (0, '?', 1), (0, '?', 1), (0, '?', 1)]"
"(2, 12, 11, 0)","[(0, '?', 1)]"
"(2, 13, 2, 0)","[('?', 2, 1), ('?', 2, 1), ('?', 2, 1), ('?', 2, 1), ('?', 2, 1)]"
"(2, 13, 12, 0)","[(0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 2, 1)]"
"(2, 13, 13, 0)","[('?', 2, 1)]"
"(2, 14, 14, 0)","[(1, 2, 1), (1, 2, 1), (1, 2, 1)]"
"(2, 15, 12, 0)","[(0, 2, 1)]"
"(2, 15, 13, 0)","[(0, 2, 1), (0, 2, 1)]"
"(2, 15, 14, 0)","[(0, 2, 1)]"
"(3, 2, 3, 0)","[(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)]"
"(3, 2, 15, 0)","[(1, 1, 1), (1, 1, 1), (1, 1, 1)]"
"(3, 3, 14, 0)","[(1, '?', '?'), (1, '?', '?'), (1, '?', '?'), (1, '?', '?'), (1, '?', '?'), (1, '?', '?'), (1, '?', '?'), (1, '?', '?')]"
"(3, 3, 15, 0)","[(1, 1, '?'), (1, 1, '?'), (1, 1, '?'), (1, 1, 1), (1, 1, '?'), (1, 1, '?'), (1, 1, '?'), (1, 1, '?')]"
"(3, 5, 3, 0)","[(1, 1, '?')]"
"(3, 14, 14, 0)","[(1, 2, '?'), (1, 2, '?'), (1, 2, '?'), (1, 2, '?'), (1, 2, '?'), (1, 2, '?'), (1, 2, '?'), (1, 2, '?'), (1, 2, '?')]"
"(3, 15, 3, 0)","[(1, 1, 3), (1, 1, 3), (1, 1, 3), (1, 1, 3), (1, 1, 3), (1, 1, 3), (1, 1, 3)]"
"(3, 15, 9, 0)","[(1, 1, 3)]"
"(4, 4, 4, 0)","[(1, 3, 2), (1, 3, 2), (1, 3, 2), (1, 3, 2), (1, 3, 2), (1, 3, 2), (1, 3, 2), (1, 3, 2)]"
"(4, 4, 10, 0)","[(2, 3, 2)]"
"(4, 10, 10, 0)","[(2, 3, 2), (2, 3, 2), (2, 3, 2), (2, 3, 2), (2, 3, 2), (2, 3, 2)]"
"(4, 14, 14, 0)","[(1, 3, '?'), (1, 3, '?'), (1, 3, '?'), (1, 3, '?'), (1, 3, '?'), (1, 3, '?')]"
"(5, 3, 3, 0)","[(1, 1, 2), (1, 1, 2), (1, 1, 2), (1, 1, 2), (1, 1, 2), (1, 1, 2), (1, 1, 2), (1, 1, 2), (1, 1, 2), (1, 1, 2)]"
"(5, 4, 10, 0)","[(2, '?', 2), (2, '?', 2), (2, '?', 2), (2, '?', 2), (2, '?', 2), (2, '?', 2), (2, '?', 2), (2, '?', 2), (2, '?', 2)]"
"(5, 5, 5, 0)","[('?', 1, 2), ('?', 1, 2), ('?', 1, 2), ('?', 1, 2), ('?', 1, 2), ('?', 1, 2), ('?', 1, 2)]"
"(5, 5, 9, 0)","[(2, 1, '?'), (2, 1, '?')]"
"(5, 9, 7, 0)","[(2, 1, '?')]"
"(5, 9, 9, 0)","[(2, 1, '?'), (2, 1, '?'), (2, 1, '?'), (2, 1, '?'), (2, 1, '?')]"
"(5, 10, 7, 0)","[(2, '?', '?'), (2, '?', '?')]"
"(5, 10, 9, 0)","[(2, '?', '?')]"
"(5, 10, 10, 0)","[(2, '?', '?'), (2, '?', '?'), (2, '?', '?'), (2, '?', '?'), (2, '?', '?'), (2, '?', '?')]"
"(7, 7, 15, 0)","[(2, 2, 0)]"
"(7, 14, 14, 0)","[(1, 2, 0), (1, 2, 0), (1, 2, 0), (1, 2, 0), (1, 2, 0), (1, 2, 0), (1, 2, 0), (1, 2, 0), (1, 2, 0), (1, 2, 0)]"
