message,concepts
"(1, 1, 1, 0)","[(5, 9, 4), (8, 9, 14), (5, 12, 11), (2, 9, 14), (5, 9, 5), (2, 15, 14), (5, 9, 4), (2, 9, 1), (8, 9, 0), (8, 12, 2), (2, 9, 0), (8, 15, 4)]"
"(1, 1, 42, 0)","[(8, '?', 2), (8, '?', 2), (5, '?', 11), (8, '?', 2), (2, 4, 10), (8, 4, 11), (8, 2, 11), (2, 4, 11), (8, '?', 10), (2, 4, 11), (2, 4, 11), (8, '?', 2), (2, 2, 2), (5, '?', 4), (2, 4, 11)]"
"(1, 20, 42, 0)","[(5, 4, 3)]"
"(1, 30, 42, 0)","[(8, 8, 12)]"
"(1, 31, 1, 0)","[(2, 9, 14), (8, 9, 0)]"
"(1, 36, 42, 0)","[(2, 4, 3)]"
"(4, 1, 20, 0)","[(2, 11, 7)]"
"(4, 8, 20, 0)","[('?', 11, 12)]"
"(4, 9, 3, 0)","[(3, 11, 6), (3, 14, 9), (3, 14, 7), (3, 11, 7), (3, 11, 6), (3, 11, 12), (3, 6, 9), (3, 11, 6), (3, 6, 6), (3, 6, 12), (3, 14, 7), (3, 6, 12), (3, 14, 12), (3, 11, 12), (3, 6, 7), (3, 6, 7), (3, 11, 6), (3, 11, 6), (3, 6, 9), (3, 6, 12), (3, 11, 12), (3, 14, 12), (3, 6, 12), (3, 6, 7), (3, 14, 9), (3, 6, 9), (3, 14, 7), (3, 11, 7), (3, 11, 7), (3, 6, 9), (3, 6, 7), (3, 11, 7), (3, 14, 9), (3, 11, 7), (3, 6, 9)]"
"(4, 9, 9, 0)","[(11, 11, 6), (11, 6, 9), (11, 14, 6), (11, 11, 7), (7, 11, 6), (4, 6, 9), (7, 6, 9), (4, 14, 9), (4, 14, 12), (11, 6, 9), (4, 11, 12), (7, 6, 9), (4, 11, 9), (7, 6, 12), (4, 11, 12), (11, 11, 7), (11, 14, 9), (11, 14, 12), (4, 14, 6), (11, 11, 9), (7, 6, 12), (4, 6, 7), (11, 11, 9), (7, 11, 6), (7, 6, 7), (11, 11, 6), (4, 6, 6), (7, 14, 7), (7, 6, 12), (11, 14, 9), (4, 6, 7), (11, 11, 6), (11, 14, 9), (7, 6, 9), (11, 11, 7), (7, 14, 9), (11, 14, 6), (7, 14, 12), (7, 6, 7), (11, 6, 9), (4, 6, 7), (4, 6, 9), (4, 6, 7), (7, 14, 12), (4, 11, 9), (11, 14, 6), (7, 6, 12), (4, 14, 7), (11, 14, 6), (4, 6, 9), (4, 11, 9), (7, 11, 6), (7, 14, 7), (4, 6, 9), (4, 14, 7), (7, 11, 7), (7, 14, 7), (4, 14, 9), (11, 14, 7), (4, 14, 9), (7, 6, 7), (4, 14, 6), (7, 11, 6), (7, 6, 12), (4, 6, 6), (11, 11, 7), (4, 14, 6), (11, 11, 7), (11, 11, 6), (11, 6, 9), (4, 11, 7), (7, 6, 9), (7, 11, 7), (4, 6, 9), (4, 14, 12), (4, 11, 9), (7, 11, 7), (7, 6, 9), (7, 11, 7), (11, 6, 7), (7, 14, 9), (4, 11, 7), (11, 14, 6), (4, 14, 12), (4, 6, 9), (7, 14, 9), (7, 14, 12), (4, 6, 6), (7, 14, 12)]"
