message,concepts
"(1, 1, 11, 0)","[('?', 7, 5), ('?', 7, 5), ('?', 7, 5), ('?', 7, 5), ('?', 7, 5), ('?', 7, 5), ('?', 7, 5), ('?', 7, 5)]"
"(1, 1, 13, 0)","[('?', 7, 5)]"
"(1, 7, 7, 0)","[('?', 1, 5)]"
"(2, 2, 2, 0)","[(5, 1, 6), (5, 1, 6), (5, 1, 2), (5, 1, 6), (5, 1, 2), (5, 1, 6), (5, 1, 2), (5, 1, 6), (5, 1, 2), (5, 1, 6)]"
"(2, 2, 3, 0)","[(2, 3, 4), (2, 4, 2), (2, 4, 2), (2, 3, 2), (2, 3, 2), (2, 3, 6), (2, 3, 6), (2, 3, 4), (2, 3, 2), (2, 4, 2), (2, 3, 4)]"
"(2, 2, 7, 0)","[(2, 1, 1), (2, 1, 7), (2, 1, 3), (2, 1, 1), (2, 1, 5), (2, 1, 5), (2, 1, 1)]"
"(2, 2, 11, 0)","[(2, 1, 2), (2, 1, 2), (2, 1, 2), (2, 1, 2), (2, 1, 2)]"
"(2, 2, 13, 0)","[(2, 1, 0), (2, 1, 0), (2, 1, 0)]"
"(2, 2, 25, 0)","[(2, '?', 2)]"
"(2, 3, 3, 0)","[(6, 4, 3), (6, 4, 3), (6, 4, 1), (6, 4, 7), (6, 4, 7), (6, 4, 1), (3, 4, 1), (3, 4, 3), (6, 4, 1), (6, 4, 1), (3, 4, 7), (3, 4, 7), (6, 4, 3), (3, 4, 7), (3, 4, 1), (6, 4, 1), (6, 4, 3), (6, 4, 3), (3, 4, 7), (6, 4, 7), (6, 4, 7), (6, 4, 3)]"
"(2, 7, 3, 0)","[(6, 3, 7), (6, 3, 1), (6, 3, 3), (6, 3, 1), (6, 3, 1), (6, 3, 7), (3, 3, 3), (6, 3, 3), (3, 3, 1), (3, 3, 3), (3, 3, 1), (6, 3, 3), (6, 3, 7), (3, 3, 1), (6, 3, 1), (6, 3, 7), (3, 3, 1), (6, 3, 1), (3, 3, 1)]"
"(2, 7, 7, 0)","[(3, 1, 1), (6, 1, 1), (3, 1, 1), (3, 1, 5), (3, 1, 3), (6, 1, 5), (3, 1, 3), (6, 1, 3), (6, 1, 1), (6, 1, 3), (6, 1, 5), (3, 1, 5), (6, 1, 3), (6, 1, 1), (3, 1, 1), (3, 1, 5), (3, 1, 3), (6, 1, 3), (3, 1, 3), (6, 1, 5), (6, 1, 1), (6, 1, 3), (3, 1, 5), (6, 1, 3), (6, 1, 5), (6, 1, 1)]"
"(2, 9, 3, 0)","[(2, 4, 6), (2, 4, 4), (2, 4, 3), (2, 4, 6), (2, 4, 6), (2, 4, 4)]"
"(2, 11, 3, 0)","[(2, 3, 6)]"
"(2, 13, 3, 0)","[(6, 3, 4), (6, 3, 2), (3, 3, 0), (6, 3, 0), (6, 3, 6), (6, 3, 6), (6, 3, 2), (3, 3, 0), (6, 3, 0), (6, 3, 4), (6, 3, 0), (6, 3, 6)]"
"(2, 13, 7, 0)","[(3, 1, 2), (6, 1, 4), (3, 1, 4), (3, 1, 0), (6, 1, 4), (3, 1, 0), (3, 1, 0), (3, 1, 4), (6, 1, 2), (6, 1, 4), (6, 1, 2), (6, 1, 4), (6, 1, 2)]"
"(2, 13, 13, 0)","[(3, 7, 0)]"
"(2, 25, 12, 0)","[(6, 6, 3)]"
"(2, 25, 13, 0)","[(6, 7, 1), (6, 7, '?'), (6, 7, 1), (6, 7, 7), (6, 7, 6), (6, 7, '?'), (6, 7, 7), (6, 7, 1)]"
"(2, 25, 25, 0)","[(6, '?', 3)]"
"(2, 26, 25, 0)","[(2, '?', 3), (2, '?', 3), (2, '?', 3)]"
"(2, 27, 3, 0)","[(2, 3, '?'), (2, 3, 1), (2, 3, 5), (2, 3, 7), (2, 3, 1), (2, 3, 1), (2, 3, 3), (2, 3, 3), (2, 3, 1), (2, 3, 5)]"
"(2, 27, 7, 0)","[(2, 1, 3), (2, 1, 3), (2, 1, 1), (2, 1, 1), (2, 1, 3), (2, 1, 3)]"
"(3, 3, 3, 0)","[('?', 4, '?'), ('?', 4, 6), ('?', 4, 0), ('?', 4, 6), ('?', 4, 1), ('?', 4, '?'), (7, 4, 4), ('?', 4, 1), (7, 4, 4), ('?', 4, 3), ('?', 4, 6), ('?', 4, 1), ('?', 4, 6), ('?', 4, 6), ('?', 4, '?'), ('?', 4, 0), ('?', 4, '?'), ('?', 4, 4), ('?', 4, 3), ('?', 4, '?'), ('?', 4, '?'), ('?', 4, 1), ('?', 4, 6), ('?', 4, 4), ('?', 4, '?'), ('?', 4, 0), ('?', 4, 3), ('?', 4, 4), ('?', 4, 1), (1, 4, '?'), (7, 4, 4)]"
"(3, 9, 3, 0)","[(2, 4, 5), (2, 4, 6), (2, 4, 5), (2, 4, 6), (2, 4, 6), (2, 4, 5), ('?', 4, 4), ('?', 4, 6)]"
"(3, 16, 3, 0)","[(0, 4, '?'), (0, 4, 3), (4, 4, 3), (4, 4, 3), (4, 4, 3), (0, 4, 3)]"
"(3, 17, 3, 0)","[(0, 4, '?'), (4, 4, 6), (4, 4, 1), (0, 4, '?'), (4, 4, '?'), (0, 4, '?'), (0, 4, 3), (0, 4, 6)]"
"(5, 1, 1, 0)","[(7, 2, 7), (7, 7, 7), (7, 7, 7), (7, 7, 5), (7, 2, 4), (7, 2, 4)]"
