message,concepts
"(4, 9, 1, 0)","[(1, 0, 1), (3, 0, 1), (3, 0, 1), (3, 0, 1), (1, 0, 1), (3, 0, 1), (3, 0, 1), (3, 0, 1), (1, 0, 1), (3, 0, 1), (1, 0, 1), (3, 0, 1), (1, 0, 1), (1, 0, 1), (1, 0, 1)]"
"(4, 9, 2, 0)","[(0, 0, 1), (0, 0, 1), (0, 0, 1), (0, 0, 1), (0, 0, 1)]"
"(4, 9, 4, 0)","[('?', 0, 1), ('?', 0, 1)]"
"(4, 9, 9, 0)","[('?', 0, 1), ('?', 0, 1), ('?', 0, 1), ('?', 0, 1), ('?', 0, 1)]"
"(4, 10, 1, 0)","[(1, 0, 0), (1, 0, 0), (1, 0, 0), (1, 0, 0), (1, 0, 0), (1, 0, 0)]"
"(4, 10, 10, 0)","[(3, 0, 0), (3, 0, 0), (3, 0, 0), (3, 0, 0), (3, 0, 0), (3, 0, 0), (3, 0, 0), (3, 0, 0)]"
"(4, 11, 1, 0)","[(3, 0, '?'), (3, 0, '?'), (3, 0, '?'), (3, 0, '?'), (3, 0, '?')]"
"(4, 11, 11, 0)","[('?', 0, '?'), ('?', 0, '?'), ('?', 0, '?'), ('?', 0, '?'), ('?', 0, '?'), ('?', 0, '?'), ('?', 0, '?'), ('?', 0, '?')]"
"(4, 12, 12, 0)","[(3, 0, 2), (3, 0, 2), (3, 0, 2), (3, 0, 2), (3, 0, 2), (3, 0, 2), (3, 0, 2), (3, 0, 2)]"
"(4, 14, 4, 0)","[('?', 0, 2)]"
"(4, 14, 14, 0)","[('?', 0, 2), ('?', 0, 2), ('?', 0, 2), ('?', 0, 2), ('?', 0, 2), ('?', 0, 2), ('?', 0, 2)]"
"(5, 5, 1, 0)","[(1, 1, '?'), (1, 1, 3), (1, 1, 3), (1, 1, 3), (1, 1, 3), (1, 1, 3), (1, 1, '?'), (1, 1, 2), (1, 1, '?'), (1, 1, '?'), (1, 1, '?'), (1, 1, 3), (1, 1, 3), (1, 1, 3)]"
"(5, 5, 5, 0)","[(3, 1, '?'), ('?', 1, '?'), (3, 1, '?'), (3, 1, '?'), ('?', 1, '?'), (1, 1, 2), (1, 1, 2), (1, 1, 2), ('?', 1, '?'), (3, 1, '?'), ('?', 1, '?'), (3, 1, '?'), ('?', 1, '?'), ('?', 1, '?'), ('?', 1, '?'), (1, 1, 2), ('?', 1, '?')]"
"(5, 5, 13, 0)","[(1, 1, '?'), (1, 1, '?'), (1, 1, '?')]"
"(6, 6, 1, 0)","[(1, '?', 0), (1, '?', 0), (1, '?', 0), (1, '?', 0)]"
"(6, 6, 6, 0)","[('?', '?', 0), ('?', '?', 0), ('?', '?', 0), ('?', '?', 0), ('?', '?', 0), ('?', '?', 0), ('?', '?', 0)]"
"(6, 6, 10, 0)","[(1, '?', 0)]"
"(6, 10, 1, 0)","[(1, '?', 0), (1, '?', 0), (1, '?', 0)]"
"(7, 7, 7, 0)","[(0, 2, '?')]"
"(7, 7, 8, 0)","[(0, 2, '?'), (0, 2, '?'), (0, 2, '?'), (0, 2, '?'), (0, 2, '?'), (0, 2, '?'), (0, 2, '?'), (0, 2, '?')]"
"(7, 7, 10, 0)","[(0, 2, 0)]"
"(7, 7, 14, 0)","[(0, 2, 3)]"
"(7, 8, 10, 0)","[(0, 2, 0)]"
"(7, 10, 7, 0)","[(0, 2, 0)]"
"(7, 10, 10, 0)","[(0, 2, 0), (0, 2, 0), (0, 2, 0), (0, 2, 0), (0, 2, 0)]"
"(7, 14, 7, 0)","[(0, 2, 3), (0, 2, 3), (0, 2, 3), (0, 2, 3), (0, 2, 3)]"
"(7, 14, 14, 0)","[(0, 2, 3), (0, 2, 3)]"
"(8, 1, 1, 0)","[(1, 2, '?')]"
"(8, 1, 8, 0)","[(1, 2, '?'), (1, 2, '?'), (1, 2, '?'), (1, 2, '?'), (1, 2, '?')]"
"(8, 1, 9, 0)","[(1, 2, 1), (1, 2, 1), (1, 2, 1), (1, 2, 1), (1, 2, 1), (1, 2, 1), (1, 2, 1), (1, 2, 1)]"
"(8, 1, 10, 0)","[(1, 2, 0), (1, 2, 0), (1, 2, 0), (1, 2, 0), (1, 2, 0), (1, 2, 0)]"
"(8, 1, 12, 0)","[(1, 2, 2), (1, 2, 2), (1, 2, 2), (1, 2, 2), (1, 2, 2), (1, 2, 2), (1, 2, 2)]"
"(8, 2, 5, 0)","[(2, 2, 0)]"
"(8, 2, 6, 0)","[(2, 2, 0)]"
"(8, 2, 8, 0)","[(2, 2, '?'), (2, 2, '?'), (2, 2, '?'), (2, 2, '?'), (2, 2, '?')]"
"(8, 2, 9, 0)","[(2, 2, 1), (2, 2, 1)]"
"(8, 2, 10, 0)","[(2, 2, 0), (2, 2, 0), (2, 2, 0), (2, 2, 0), (2, 2, 0), (2, 2, 0)]"
"(8, 7, 8, 0)","[(2, 2, '?')]"
"(8, 7, 10, 0)","[(2, 2, 0)]"
"(8, 7, 14, 0)","[(2, 2, 3), (2, 2, 3), (2, 2, 3), (2, 2, 3), (2, 2, 3), (2, 2, 3), (2, 2, 3), (2, 2, 3)]"
"(8, 8, 1, 0)","[(3, 2, '?'), (3, 2, '?'), (3, 2, '?'), (3, 2, '?'), (3, 2, '?'), (3, 2, '?'), (3, 2, '?')]"
