message,concepts
"(1, 1, 9, 0)","[(2, 0, 2), (2, 0, 2), (2, 0, 2), (2, 0, 2), (2, 0, 2), (2, 0, 2), (2, 0, 2)]"
"(1, 2, 7, 0)","[(2, 0, 1), (2, 0, 1)]"
"(1, 3, 3, 0)","[(2, 2, 0), (2, 2, 0), (2, 2, 0), (2, 2, 0), (2, 2, 0), (2, 2, 0), (2, 2, 0), (2, 2, 0)]"
"(1, 3, 4, 0)","[(2, 2, 0)]"
"(1, 5, 1, 0)","[(2, '?', 0), (2, '?', 0)]"
"(1, 5, 5, 0)","[(2, '?', 0), (2, '?', 0), (2, '?', 0)]"
"(1, 5, 7, 0)","[(2, '?', 0), (2, '?', 0), (2, '?', 0)]"
"(1, 9, 9, 0)","[(2, 0, 0), (2, 0, 0), (2, 0, 0), (2, 0, 0)]"
"(2, 1, 2, 0)","[(2, 0, 1), (2, 0, '?'), (2, 0, '?'), (2, 0, '?'), (2, 0, 1), (2, 0, 1), (2, 0, 1)]"
"(2, 1, 7, 0)","[(2, 0, 1)]"
"(2, 1, 14, 0)","[('?', 0, 2)]"
"(2, 2, 1, 0)","[(2, 0, '?')]"
"(2, 2, 2, 0)","[(2, 0, 2), (3, 0, 1), (3, 0, 1), ('?', 0, '?'), ('?', 0, '?'), (3, 0, 3), (3, 0, 2), ('?', 0, '?'), ('?', 0, 1), ('?', 0, '?'), (3, 0, 2), ('?', 0, '?'), ('?', 0, '?'), (2, 0, '?'), ('?', 0, '?'), ('?', 0, 2), ('?', 0, '?'), ('?', 0, '?'), ('?', 0, '?')]"
"(2, 2, 9, 0)","[(2, 0, 0)]"
"(2, 2, 10, 0)","[('?', 0, 1)]"
"(2, 2, 11, 0)","[(1, 0, 3), (3, 0, 3), (3, 0, 3), (3, 0, 3), (1, 0, 3), (3, 0, 3), (3, 0, 1)]"
"(2, 2, 14, 0)","[('?', 0, 2), ('?', 0, 2), ('?', 0, 2), ('?', 0, 2)]"
"(2, 4, 4, 0)","[(3, 0, 2), (3, 0, 2), (3, 0, 2), (3, 0, 2)]"
"(2, 4, 14, 0)","[(3, 0, 2), (3, 0, 2)]"
"(2, 5, 9, 0)","[(2, 0, 0)]"
"(2, 9, 2, 0)","[(2, 0, 0), (1, 0, 0)]"
"(2, 10, 2, 0)","[(0, 0, 1), (0, 0, 1)]"
"(2, 10, 7, 0)","[(2, 0, 1), (2, 0, 1)]"
"(2, 10, 11, 0)","[('?', 0, 1), ('?', 0, 1), ('?', 0, 1), ('?', 0, 1)]"
"(2, 11, 2, 0)","[(1, 0, 3)]"
"(2, 11, 4, 0)","[(3, 0, 1), (3, 0, 1), (3, 0, 3), (3, 0, 1), (3, 0, 1)]"
"(2, 11, 11, 0)","[(1, 0, 3), (1, 0, 3), (1, 0, 3), (1, 0, 3), (1, 0, 3)]"
"(2, 14, 14, 0)","[('?', 0, 2), ('?', 0, 2)]"
"(3, 3, 3, 0)","[('?', 2, 0), ('?', 2, 0), ('?', 2, 0), (1, 2, 0), ('?', 2, 0), (1, 2, 0), (1, 2, 0), (1, 2, 0), (3, 2, 0), (1, 2, 0), (1, 2, 0), (1, 2, 0), ('?', 2, 0)]"
"(3, 3, 4, 0)","[('?', 2, 0)]"
"(3, 3, 12, 0)","[(3, 2, 0), (3, 2, 0), (3, 2, 0), (3, 2, 0), (3, 2, 0), (3, 2, 0), (3, 2, 0)]"
"(3, 4, 3, 0)","[('?', 2, 0), ('?', 2, 0)]"
"(3, 12, 4, 0)","[(3, 2, '?'), (3, 2, '?')]"
"(4, 3, 3, 0)","[('?', 2, 0), (1, 2, 0)]"
"(4, 4, 1, 0)","[(2, 2, '?')]"
"(4, 4, 4, 0)","[(2, 2, '?'), (2, 2, '?'), (0, 2, '?'), ('?', 2, '?'), (0, 2, '?'), ('?', 2, '?'), (0, 2, '?'), (0, 2, '?'), (0, 2, '?'), ('?', 2, '?'), (0, 2, '?'), (0, 2, '?'), (0, 2, '?'), ('?', 2, '?')]"
"(4, 4, 8, 0)","[('?', 2, 2)]"
"(4, 4, 10, 0)","[(2, 2, '?')]"
"(4, 4, 11, 0)","[(0, 2, 3), ('?', 2, '?'), ('?', 2, '?')]"
"(4, 4, 12, 0)","[(3, 2, 2)]"
"(4, 8, 4, 0)","[(3, 2, 2), ('?', 2, 2), ('?', 2, 2), ('?', 2, 2), (1, 2, 2), (1, 2, 2), ('?', 2, 2), (1, 2, 2), ('?', 2, 2), ('?', 2, 2)]"
"(4, 8, 12, 0)","[(3, 2, 2), (3, 2, 2), (3, 2, 2), (3, 2, 2), (3, 2, 2)]"
"(4, 10, 4, 0)","[(2, 2, 2), (2, 2, 2), (2, 2, 2), (0, 2, '?')]"
"(4, 11, 4, 0)","[(2, 2, 1), (0, 2, 3), (0, 2, 3), ('?', 2, 3)]"
"(4, 12, 4, 0)","[(3, 2, '?')]"
"(4, 12, 12, 0)","[(3, 2, '?')]"
"(4, 14, 4, 0)","[(2, 2, 2), (0, 2, 2), (0, 2, 2), (0, 2, 2)]"
"(4, 14, 14, 0)","[(0, 2, 2), (0, 2, 2)]"
"(5, 3, 12, 0)","[(3, '?', 0)]"
"(5, 4, 12, 0)","[(3, '?', 0)]"
"(5, 5, 5, 0)","[('?', '?', 0), ('?', '?', 0), ('?', '?', 0), ('?', '?', 0)]"
"(5, 5, 9, 0)","[('?', '?', 0)]"
"(5, 8, 12, 0)","[(3, '?', 0)]"
"(5, 11, 13, 0)","[(1, 1, 0), (1, 1, 0)]"
"(5, 12, 3, 0)","[(3, '?', 0), (3, '?', 0)]"
"(5, 12, 12, 0)","[(3, '?', '?'), (3, '?', 0), (3, '?', 0), (3, '?', 0)]"
"(5, 13, 11, 0)","[(1, 1, 0), (1, 1, 0), (1, 1, 0), (1, 1, 0), (1, 1, 0)]"
"(5, 13, 12, 0)","[(3, 1, 0), (3, 1, 0), (3, 1, 0), (3, 1, 0), (3, 1, 0)]"
