message,concepts
"(1, 1, 1, 0)","[(0, '?', 11), (0, '?', 11), (0, 12, 11), (12, '?', 11), (0, '?', 11), (0, '?', 11), (12, '?', 11), (12, '?', 11), (12, '?', 11), (12, '?', 11), (12, '?', 11), (0, '?', 11), (0, '?', 11)]"
"(1, 1, 16, 0)","[(0, 12, 11)]"
"(1, 1, 49, 0)","[(12, 11, 11)]"
"(1, 7, 7, 0)","[(12, 11, 2), (12, 11, 2), (12, 4, 8), (0, 11, 2), (0, 11, 2), (12, 4, 2), (12, 11, 2), (12, 11, 2), (12, 4, 2), (12, 11, 2), (12, 4, 2), (12, 11, 2), (12, 4, 2), (12, 4, 2)]"
"(1, 7, 24, 0)","[(12, 15, 2), (12, 14, 2), (12, 14, 2), (12, 14, 2), (0, 14, 2), (12, 15, 2), (12, 14, 2), (12, 15, 2), (0, 14, 2), (12, 15, 2), (12, 15, 2), (12, 15, 2), (12, 14, 8)]"
"(1, 9, 4, 0)","[(7, 14, 2), (7, 14, 2), (7, 15, 2), (7, 14, 2), (7, 14, 2), (7, 15, 2), (7, 15, 2), (7, 15, 2), (7, 14, 2), (7, 15, 2), (7, 15, 2)]"
"(1, 9, 9, 0)","[(7, 14, 2), (7, 14, 2)]"
"(1, 10, 10, 0)","[(7, 15, 8), (7, 15, 8), (7, 15, 8)]"
"(1, 10, 22, 0)","[(7, 15, 8)]"
"(1, 10, 24, 0)","[(0, 14, 8), (0, 14, 8), (0, 14, 8), (0, 14, 8)]"
"(1, 16, 16, 0)","[(7, '?', 11), (7, '?', 11), (7, 9, 11), (7, '?', 11), (7, 9, 11), (7, '?', 11), (0, 12, 11), (0, 12, 11), (7, '?', 4), (7, '?', 11), (7, '?', 4), (7, '?', 11), (7, '?', 11), (7, '?', 11)]"
"(1, 24, 24, 0)","[(0, 15, 8), (0, 15, 8), (0, 15, 11), (0, 14, 11), (0, 15, 8), (0, 15, 8), (0, 15, 11), (0, 15, 11), (0, 15, 8), (0, 15, 8), (0, 14, 11), (0, 14, 8), (0, 15, 8), (0, 14, 8), (0, 14, 8), (0, 15, 11), (0, 15, 8)]"
"(1, 27, 1, 0)","[(0, 0, 11), (12, 10, 15), (0, 0, 11), (0, 0, 11), (0, 0, 11), (0, 10, 11), (0, 0, 11), (0, 10, 11)]"
"(1, 27, 16, 0)","[(7, 0, 11), (7, 0, 11)]"
"(1, 27, 24, 0)","[(0, 10, 11), (0, 10, 11), (0, 10, 11), (0, 10, 11), (0, 10, 11)]"
"(1, 27, 27, 0)","[(7, 0, 11), (7, 0, 11), (7, 0, 11), (7, 0, 11), (7, 0, 11)]"
"(1, 27, 37, 0)","[(7, 10, 15), (7, 10, 4), (7, 10, 4)]"
"(1, 28, 4, 0)","[(7, 14, 11)]"
"(1, 28, 10, 0)","[(7, 14, 11), (7, 14, 11), (7, 14, 11)]"
"(1, 28, 16, 0)","[(7, 14, 11)]"
