message,concepts
"(1, 1, 1, 0)","[(3, 5, 4), (3, 4, 4), (2, 4, 4)]"
"(1, 1, 2, 0)","[(2, 4, 4), (3, 0, 4), (3, 0, 4), (3, 4, 4), (3, 0, 4), (3, 0, 4), (3, 5, 4)]"
"(1, 2, 2, 0)","[(3, 4, 4), (3, 5, 4), (2, 2, 4), (2, 2, 4), (2, 2, 4)]"
"(1, 2, 5, 0)","[(2, '?', 4)]"
"(1, 2, 10, 0)","[(2, 4, 4), (3, 4, 4)]"
"(1, 2, 20, 0)","[(2, '?', 4)]"
"(1, 5, 2, 0)","[(3, '?', 4), (3, 5, 4)]"
"(1, 5, 5, 0)","[(2, 3, 4), (3, 7, 4), (3, 7, 4), (3, 7, 4), (2, 7, 4), (3, '?', 4), (2, 7, 4), (3, '?', 4), (3, 7, 4), (3, '?', 4), (3, '?', 4), (3, '?', 4), (2, 7, 4)]"
"(1, 5, 20, 0)","[(3, 5, 4), (2, '?', 4), (3, 1, 4), (3, 6, 4), (3, 1, 4), (3, '?', 4), (2, '?', 4)]"
"(1, 6, 2, 0)","[(3, 2, 1), (3, 4, 1), (3, 0, 1), (3, 0, 1), (3, 4, 1), (2, 0, 1), (2, 0, 1), (3, 0, 1), (2, 0, 1), (3, 0, 1), (3, 0, 1), (3, 4, 1), (2, 0, 1), (3, 4, 1)]"
"(1, 6, 5, 0)","[(3, 3, 1), (2, '?', 1), (3, 6, 1), (2, 7, 1), (3, 3, 1), (2, '?', 1), (2, 7, 1), (3, 3, 1), (2, '?', 1), (3, 6, 1), (3, 6, 1)]"
"(1, 6, 10, 0)","[(2, 5, 1)]"
"(1, 6, 20, 0)","[(2, 6, 1), (3, 6, 1), (3, 6, 1), (2, 1, 1), (2, 6, 1), (2, 6, 1), (3, 1, 1), (3, 1, 1), (2, 1, 1)]"
"(1, 10, 2, 0)","[(3, 4, 4), (2, 4, 4), (2, 4, 4), (2, 4, 4), (3, 0, 4)]"
"(1, 10, 10, 0)","[(3, 0, 4)]"
"(1, 20, 5, 0)","[('?', 7, 4)]"
"(1, 20, 20, 0)","[('?', 7, 4)]"
"(1, 23, 5, 0)","[(3, 1, 4), (3, 6, 4), (3, 6, 4), (3, 6, 4), (3, 1, 4)]"
