message,concepts
"(1, 1, 1, 0)","[(1, '?', '?'), (1, '?', '?'), (1, '?', '?'), (0, '?', '?'), (1, '?', '?'), (0, '?', '?'), (1, '?', '?'), (0, '?', '?'), (0, '?', '?'), (1, '?', '?'), (0, '?', '?'), (1, '?', '?'), (1, '?', '?'), (0, '?', '?'), (1, '?', '?')]"
"(1, 1, 2, 0)","[(0, '?', 6), (0, '?', 6), (0, '?', 6), (0, '?', '?'), (0, '?', 6), (0, '?', 0), (0, '?', 0), (0, '?', 6), (0, '?', 6), (0, '?', 0), (0, '?', 0), (0, '?', 6), (0, '?', 0), (0, '?', 0), (0, '?', 6), (0, '?', 6)]"
"(1, 1, 4, 0)","[(1, '?', 4), (1, '?', 4), (1, '?', 4)]"
"(1, 1, 5, 0)","[(0, 0, '?'), (0, 0, '?'), (0, 0, '?')]"
"(1, 1, 7, 0)","[(0, '?', 4), (0, 7, 4), (0, '?', 4), (0, '?', 4), (7, '?', 3), (0, '?', 4), (0, '?', 4), (0, '?', 4)]"
"(1, 1, 9, 0)","[(0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]"
"(1, 1, 10, 0)","[(7, '?', 6), (7, '?', 6), (7, '?', 6), (7, '?', 6), (7, '?', 6), (7, '?', 6), (7, '?', 6), (7, '?', 6), (7, '?', 6)]"
"(1, 1, 14, 0)","[(0, 0, '?'), (0, 0, '?'), (0, 0, '?'), (0, 0, '?')]"
"(1, 1, 24, 0)","[(7, '?', '?'), (7, '?', '?'), (7, '?', '?'), (7, '?', '?'), (7, '?', '?'), (7, '?', '?'), (7, '?', '?'), (7, '?', '?')]"
"(1, 1, 27, 0)","[(0, '?', 4), (1, '?', 4), (1, '?', 4), (1, '?', 4), (1, '?', 3), (1, '?', 3), (1, '?', 4)]"
"(1, 2, 1, 0)","[(5, '?', 0)]"
"(1, 2, 24, 0)","[(4, '?', 6), (4, '?', 6), (4, '?', 6), (4, '?', 6), (4, '?', 6), (4, '?', 6)]"
"(1, 3, 13, 0)","[(1, 5, 7), (7, 5, 7), (1, 5, 7), (7, 5, 7), (7, 5, 7), (7, 5, 7), (7, 5, 7), (1, 5, 7), (7, 5, 7), (7, 5, 7), (1, 5, 7), (1, 5, 7), (7, 5, 7)]"
"(1, 3, 14, 0)","[(1, 5, 7)]"
"(1, 4, 1, 0)","[(0, 5, 3), (0, '?', 3), (0, 5, 3), (0, 5, 3), (0, 0, 3), (0, 0, 3)]"
"(1, 4, 4, 0)","[(1, 0, 3), (1, 0, 3), (1, 5, 3), (1, 5, 3), (1, 0, 3), (1, 5, 3), (1, 5, 3), (1, 0, 3), (1, 0, 3), (1, 5, 3), (1, 0, 3)]"
"(1, 4, 14, 0)","[(0, 5, 4), (0, 5, 4), (0, 5, 4), (0, 5, 4)]"
"(1, 5, 4, 0)","[(1, 0, 4), (1, 0, 4), (1, 0, 4), (1, 0, 4), (1, 0, 4), (1, 0, 4), (1, 0, 4)]"
