message,concepts
"(2, 2, 2, 0)","[(2, '?', '?'), (2, '?', '?'), (2, '?', '?'), (2, '?', '?'), (2, '?', '?'), (2, '?', '?'), (2, '?', '?'), (2, '?', '?')]"
"(2, 2, 3, 0)","[(2, '?', 2), (2, '?', 2), (2, '?', 2), (2, '?', 2), (2, '?', 2), (2, '?', 2), (2, '?', 2), (2, '?', 2)]"
"(2, 2, 5, 0)","[(2, 2, '?'), (2, 2, '?'), (2, 2, '?'), (2, 2, '?'), (2, 2, '?'), (2, 2, '?'), (2, 2, '?'), (2, 2, '?')]"
"(2, 2, 8, 0)","[(2, 1, '?'), (2, 1, '?'), (2, 1, '?'), (2, 1, '?'), (2, 1, '?'), (2, 1, '?')]"
"(2, 2, 9, 0)","[(2, 2, 0), (2, 2, 0), (2, 2, 0), (2, 2, 0), (2, 2, 0), (2, 2, 0), (2, 2, 0), (2, 2, 0)]"
"(2, 2, 14, 0)","[(2, 1, 2), (2, 1, 2), (2, 1, 2), (2, 1, 2), (2, 1, 2), (2, 1, 2), (2, 1, 2), (2, 1, 2), (2, 1, 2), (2, 1, 2)]"
"(2, 3, 2, 0)","[(2, 3, 2), (2, 3, 2), (2, 3, 2), (2, 3, 2), (2, 3, 2), (2, 3, 2)]"
"(2, 3, 9, 0)","[(2, 3, 0), (2, 3, 0), (2, 3, 0), (2, 3, 0), (2, 3, 0), (2, 3, 0), (2, 3, 0), (2, 3, 0)]"
"(2, 3, 14, 0)","[(2, 3, '?'), (2, 3, '?'), (2, 3, '?'), (2, 3, '?'), (2, 3, '?'), (2, 3, '?'), (2, 3, '?'), (2, 3, '?')]"
"(2, 5, 2, 0)","[(2, 2, 3), (2, 2, 3), (2, 2, 3), (2, 2, 3), (2, 2, 3), (2, 2, 3), (2, 2, 3)]"
"(2, 8, 2, 0)","[(2, 1, 3), (2, 1, 3), (2, 1, 3), (2, 1, 3), (2, 1, 3), (2, 1, 3), (2, 1, 3), (2, 1, 3)]"
"(2, 8, 15, 0)","[(2, 1, 1)]"
"(2, 9, 2, 0)","[(2, 1, 0), (2, 1, 0), (2, 1, 0), (2, 1, 0), (2, 1, 0), (2, 1, 0)]"
"(2, 9, 3, 0)","[(2, '?', 0), (2, '?', 0), (2, '?', 0), (2, '?', 0), (2, '?', 0), (2, '?', 0), (2, '?', 0)]"
"(2, 9, 5, 0)","[(0, 1, 0)]"
"(2, 12, 5, 0)","[(2, 2, 2), (2, 2, 2), (2, 2, 2), (2, 2, 2), (2, 2, 2), (2, 2, 2), (2, 2, 2), (2, 2, 2), (2, 2, 2)]"
"(2, 14, 5, 0)","[(2, 2, 1), (2, 2, 1), (2, 2, 1), (2, 2, 1), (2, 2, 1), (2, 2, 1), (2, 2, 1), (2, 2, 1), (2, 2, 1)]"
"(2, 14, 14, 0)","[(2, '?', 1), (2, '?', 1), (2, '?', 1), (2, '?', 1), (2, '?', 1), (2, '?', 1), (2, '?', 1)]"
"(2, 15, 15, 0)","[(2, 1, 1), (2, 1, 1), (2, 1, 1), (2, 1, 1), (2, 1, 1), (2, 1, 1)]"
"(3, 2, 3, 0)","[(2, 0, '?'), (2, 0, '?'), (2, 0, '?'), (2, 0, '?'), (2, 0, '?'), (2, 0, '?'), (2, 0, '?'), (2, 0, '?')]"
"(3, 2, 9, 0)","[(2, 0, 0), (2, 0, 0), (2, 0, 0), (2, 0, 0), (2, 0, 0), (2, 0, 0), (2, 0, 0)]"
