message,concepts
"(2, 2, 2, 0)","[(7, 1, 2), (7, 1, 2), (14, 2, 2), (7, 1, 2), (7, 2, 2), (7, 1, 2), (7, 2, 2), (7, 2, 2), (7, 2, 2), (14, 2, 2), (14, 2, 2), (7, 2, 2), (0, 2, 2), (7, 2, 2), (14, 2, 2), (0, 2, 2)]"
"(2, 30, 2, 0)","[(14, 1, 2), (0, 1, 2), (14, 1, 2), (14, 2, 2), (0, 1, 2), (14, 1, 2), (7, 1, 2), (7, 1, 2), (7, 2, 2), (14, 1, 2), (0, 1, 2), (7, 1, 2), (7, 1, 2), (7, 1, 2), (0, 2, 2), (14, 1, 2), (0, 2, 2), (0, 1, 2), (0, 1, 2), (0, 2, 2), (0, 2, 2), (0, 1, 2), (14, 1, 2), (0, 1, 2), (0, 1, 2), (7, 2, 2)]"
"(2, 30, 5, 0)","[(6, 1, 2), (6, 1, 2), (6, 2, 2), (1, 2, 2), (6, 1, 2), (1, 2, 2), (6, 1, 2), (1, 1, 2), (1, 2, 2), (6, 1, 2), (6, 2, 2), (6, 2, 2), (1, 1, 2), (6, 2, 2), (1, 1, 2), (1, 1, 2), (1, 2, 2), (1, 2, 2), (1, 1, 2), (1, 2, 2), (1, 1, 2), (6, 2, 2), (6, 2, 2), (1, 2, 2), (6, 1, 2), (1, 1, 2), (1, 2, 2), (1, 2, 2), (1, 1, 2), (6, 2, 2)]"
"(2, 30, 30, 0)","[(6, 1, 2)]"
"(3, 3, 3, 0)","[(12, 9, 7)]"
"(3, 3, 11, 0)","[(12, 9, 1)]"
"(3, 3, 18, 0)","[(8, 12, 7), (10, 9, 1), (8, 12, 1), (12, 12, 1), (12, 9, 1), (10, 12, 1), (10, 9, 7), (8, 12, 1), (8, 12, 7), (10, 9, 7), (10, 12, 1), (10, 9, 1), (10, 12, 1), (12, 9, 1), (10, 12, 1), (10, 9, 7), (8, 12, 7), (8, 12, 1), (12, 12, 1), (12, 12, 1), (8, 12, 1), (12, 9, 7), (12, 12, 1), (10, 12, 1), (12, 9, 1), (10, 9, 1), (12, 9, 1), (8, 12, 1), (12, 9, 1), (8, 12, 1), (8, 12, 7), (12, 12, 1), (12, 12, 1), (8, 12, 7), (12, 9, 7), (10, 12, 1), (8, 9, 15), (8, 12, 1), (8, 12, 7), (10, 9, 7), (10, 9, 1), (10, 12, 1), (12, 9, 7), (10, 12, 1), (12, 9, 1), (12, 9, 1), (8, 12, 7)]"
"(3, 3, 36, 0)","[(10, 9, 7), (10, 9, 1), (10, 9, 1), (10, 12, '?'), (10, 9, 1)]"
"(3, 4, 4, 0)","[(10, 5, 10), (10, 5, 10), (10, 5, 10), (10, 5, 10), (10, 5, 10), (10, 5, 10), (10, 5, 10), (10, 5, 10), (10, 5, 10)]"
"(3, 4, 6, 0)","[(2, 3, 10)]"
"(3, 4, 14, 0)","[(8, 3, 10), (8, 6, 10)]"
"(3, 4, 18, 0)","[(2, 3, 12), (2, 15, 12), (2, 15, 12), (2, 3, 12), (2, 3, 12), (2, 15, 12)]"
"(3, 4, 29, 0)","[(2, 3, 10), (2, 15, 10), (2, 15, 10), (2, 15, 10), (2, 3, 10), (2, 3, 10), (2, 15, 10), (2, 15, 10)]"
"(3, 4, 31, 0)","[(8, 5, 8), (12, 5, 12), (10, 5, 12), (10, 5, 8), (10, 5, 12), (12, 5, 12)]"
