message,concepts
"(1, 1, 1, 1, 9, 0)","[(3, '?', 3, 0, '?')]"
"(1, 1, 1, 9, 5, 0)","[(1, 2, 3, 0, '?')]"
"(1, 1, 1, 12, 9, 0)","[(3, 3, 3, 0, '?')]"
"(1, 1, 1, 14, 9, 0)","[(0, 1, 3, 0, '?'), (0, 1, 3, 0, '?')]"
"(1, 1, 2, 1, 9, 0)","[(3, 0, 3, 0, '?')]"
"(1, 1, 2, 2, 14, 0)","[(3, 0, 1, 3, '?')]"
"(1, 1, 2, 3, 4, 0)","[('?', 0, 2, 3, '?'), ('?', 0, 2, 3, '?'), ('?', 0, 2, 3, '?'), ('?', 0, 2, 3, '?'), ('?', 0, 2, 3, '?'), ('?', 0, 2, 3, '?'), ('?', 0, 2, 3, '?'), ('?', 0, 2, 3, '?'), ('?', 0, 2, 3, '?')]"
"(1, 1, 2, 3, 5, 0)","[(1, 0, 2, 3, '?'), (1, 0, 2, 3, '?'), (1, 0, 2, 3, '?'), (1, 0, 2, 3, '?'), (1, 0, 2, 3, '?'), (1, 0, 2, 3, '?'), (1, 0, 2, 3, '?'), (1, 0, 2, 3, '?'), (1, 0, 2, 3, '?'), (1, 0, 2, 3, '?')]"
"(1, 1, 2, 3, 13, 0)","[(3, 0, 2, 3, '?'), (3, 0, 2, 3, '?'), (3, 0, 2, 3, '?'), (3, 0, 2, 3, '?'), (3, 0, 2, 3, '?'), (3, 0, 2, 3, '?'), (3, 0, 2, 3, '?')]"
"(1, 1, 2, 4, 4, 0)","[('?', 0, '?', 3, '?'), ('?', 0, '?', 3, '?'), ('?', 0, '?', 3, '?'), ('?', 0, '?', 3, '?'), ('?', 0, '?', 3, '?'), ('?', 0, '?', 3, '?'), ('?', 0, '?', 3, '?'), ('?', 0, '?', 3, '?')]"
"(1, 1, 2, 4, 8, 0)","[(3, 0, '?', 3, '?'), (3, 0, '?', 3, '?'), (3, 0, '?', 3, '?'), (3, 0, '?', 3, '?'), (3, 0, '?', 3, '?'), (3, 0, '?', 3, '?'), (3, 0, '?', 3, '?'), (3, 0, '?', 3, '?')]"
"(1, 1, 2, 4, 9, 0)","[(3, 0, 3, 3, '?'), (3, 0, 3, 3, '?'), (3, 0, 3, 3, '?'), (3, 0, 3, 3, '?'), (3, 0, 3, 3, '?'), (3, 0, 3, 3, '?'), (3, 0, 3, 3, '?'), (3, 0, 3, 3, '?'), (3, 0, 3, 3, '?'), (3, 0, 3, 3, '?')]"
"(1, 1, 2, 4, 13, 0)","[(3, 0, 0, 3, '?'), (3, 0, 0, 3, '?'), (3, 0, 0, 3, '?'), (3, 0, 0, 3, '?'), (3, 0, 0, 3, '?'), (3, 0, 0, 3, '?'), (3, 0, 0, 3, '?')]"
"(1, 1, 2, 4, 14, 0)","[(3, 0, 1, 3, '?')]"
"(1, 1, 2, 5, 3, 0)","[(1, 0, 0, 3, '?'), (1, 0, 0, 3, '?'), (1, 0, 0, 3, '?'), (1, 0, 0, 3, '?'), (1, 0, 0, 3, '?'), (1, 0, 0, 3, '?'), (1, 0, 0, 3, '?'), (1, 0, 0, 3, '?')]"
"(1, 1, 2, 5, 5, 0)","[(1, 0, '?', 3, '?'), (1, 0, '?', 3, '?'), (1, 0, '?', 3, '?'), (1, 0, '?', 3, '?'), (1, 0, '?', 3, '?'), (1, 0, '?', 3, '?'), (1, 0, '?', 3, '?')]"
