message,concepts
"(1, 1, 2, 1, 0)","[(5, 1, 1, 7), (5, 1, 1, 7)]"
"(1, 1, 22, 1, 0)","[(5, 6, '?', 7), (5, 2, '?', 7)]"
"(1, 2, 1, 1, 0)","[(5, 6, '?', 7)]"
"(1, 2, 2, 1, 0)","[(5, 1, '?', 7)]"
"(1, 2, 2, 2, 0)","[(6, 6, '?', 3), (6, 1, '?', 3), (6, 1, '?', 3), (6, 1, '?', 3), (6, 1, '?', 3)]"
"(1, 2, 2, 9, 0)","[(6, 6, '?', 7), (6, 6, '?', 7), (6, 1, 1, 7), (6, 1, '?', 7), (6, 1, '?', 7), (6, 6, '?', 7)]"
"(1, 2, 2, 14, 0)","[(6, 6, 5, 7), (6, 6, 5, 7)]"
"(1, 2, 2, 21, 0)","[(5, 1, '?', 4)]"
"(1, 2, 2, 22, 0)","[(6, 1, '?', 4), (5, 1, '?', 4), (6, 1, '?', 4)]"
"(1, 2, 2, 25, 0)","[(5, 6, '?', 3)]"
"(1, 3, 2, 1, 0)","[(5, 1, '?', 7)]"
"(1, 3, 2, 21, 0)","[(5, 6, '?', 4)]"
"(1, 3, 2, 25, 0)","[(5, 1, '?', 3), (5, 6, '?', 3)]"
"(1, 3, 4, 2, 0)","[(5, 6, 6, 3)]"
"(1, 3, 9, 1, 0)","[(5, 2, 3, 7)]"
"(1, 3, 9, 9, 0)","[(6, '?', '?', 7)]"
"(1, 3, 18, 4, 0)","[(5, 0, 2, 4)]"
"(1, 3, 22, 25, 0)","[(5, 3, '?', 3), (5, 1, '?', 3), (5, 6, 5, 3)]"
"(1, 4, 2, 1, 0)","[(5, 6, 6, 7), (5, 1, 6, 7), (5, 1, 6, 7), (5, 1, 6, 7), (5, 4, 6, 7), (5, 1, 6, 7)]"
"(1, 4, 2, 2, 0)","[(6, 4, 6, 3), (5, 4, 6, 3), (6, 6, 6, '?'), (6, 4, 6, 3), (6, 4, 6, 3), (6, 1, 6, 3), (6, 1, 6, 3), (6, 1, 6, 3), (5, 1, 6, 3)]"
"(1, 4, 2, 9, 0)","[(6, 4, 6, 7), (6, 4, 6, 7), (6, 6, 6, 7)]"
"(1, 4, 2, 21, 0)","[(5, 1, 6, 4), (5, 4, 6, 4), (5, 1, 6, 4), (5, 4, 6, 4), (5, 1, 6, 4), (5, 4, 6, 4)]"
"(1, 4, 2, 22, 0)","[(5, 6, 6, 4), (6, 6, 6, 4), (6, 6, 6, 4), (6, 6, 6, 4), (5, 6, 6, 4)]"
"(1, 4, 2, 25, 0)","[(5, 6, 6, 3), (5, 6, 6, 3), (5, 1, 6, 3), (5, 4, 6, 3), (5, 4, 6, 3), (5, 1, 6, 3), (5, 1, 6, 3), (5, 1, 6, 3), (5, 6, 6, 3)]"
"(1, 4, 4, 1, 0)","[(5, 0, 6, 7), (5, 0, 6, 7)]"
"(1, 4, 4, 9, 0)","[(6, 5, 6, 7), (6, 0, 6, 7), (6, 5, 6, 7), (6, 0, 6, 7), (5, 0, 6, 7), (5, 0, 6, 7), (6, 5, 6, 7), (6, 5, 0, 7)]"
"(1, 4, 4, 17, 0)","[(6, 5, 6, 7)]"
"(1, 4, 4, 22, 0)","[(6, 5, 6, 4), (5, 0, 6, 4), (5, 0, 6, 4), (5, 0, 6, 4)]"
"(1, 4, 4, 25, 0)","[(5, 5, 6, 3), (5, 5, 6, 3), (5, 0, 6, 3), (5, 5, 6, 3), (5, 0, 6, 3), (5, 5, 6, 3)]"
"(1, 4, 6, 1, 0)","[(5, 2, 6, 7), (5, 7, 6, 7), (5, 7, 6, 7), (5, 3, 6, 7), (5, 7, 6, 7), (5, 2, 6, 7)]"
"(1, 4, 6, 2, 0)","[(6, 2, 6, 3), (6, 2, 6, 3), (6, 2, 6, 3), (6, 7, 6, 3), (6, 3, 6, 3), (6, 3, 6, 3)]"
"(1, 4, 6, 9, 0)","[(6, 3, 6, 7), (6, 3, 6, 7), (6, 7, 6, 7), (6, 7, 6, 7), (6, 2, 6, 7)]"
"(1, 4, 6, 21, 0)","[(5, 2, 6, 4), (5, 2, 6, 4), (5, 2, 6, 4), (5, 7, 6, 4), (5, 7, 6, 4), (5, 3, 6, 4), (5, 7, 6, 4), (5, 7, 6, 4)]"
"(1, 4, 6, 22, 0)","[(5, 3, 6, 4), (5, 3, 6, 4), (5, 7, 6, 4), (5, 3, 6, 4), (6, 7, 6, 3)]"
"(1, 4, 6, 25, 0)","[(5, 2, 6, 3)]"
"(1, 4, 9, 1, 0)","[(5, 3, 6, 7)]"
"(1, 4, 9, 9, 0)","[(6, 5, 6, 7), (6, 0, '?', 7)]"
"(1, 4, 22, 1, 0)","[(5, '?', 6, 7)]"
"(1, 4, 22, 2, 0)","[(6, 5, 6, 3), (6, 3, 6, 3), (6, 0, 6, 3), (6, '?', 6, 3), (6, 2, 6, 3), (5, 0, 6, 3), (6, 3, 6, 3), (6, '?', 6, 3), (6, 5, 6, 3), (6, 0, 6, 3), (6, 2, 6, 3), (6, 3, 6, 3), (6, 3, 6, 3), (6, '?', 6, 3), (6, 5, 6, 3), (6, 5, 6, 3), (6, 5, 6, 3), (5, 2, 6, 3), (5, 0, 6, 3), (6, 0, 6, 3), (6, 2, 6, 3), (5, 0, 6, 3), (6, 7, 6, 3), (6, 3, 6, 3), (6, 7, 6, 3), (5, '?', 6, 3), (6, 0, 6, 3), (6, 3, 6, 3), (6, '?', 6, 3), (6, 7, 6, 3)]"
"(1, 4, 22, 4, 0)","[(5, 0, 6, 4), (6, 0, 6, 3)]"
"(1, 4, 22, 6, 0)","[(6, 7, 6, 3), (6, 7, 6, 3)]"
"(1, 4, 22, 9, 0)","[(6, 5, 6, 7), (6, 0, 6, 7), (6, '?', 6, 7), (6, 3, 6, 7), (6, 2, 6, 7), (6, '?', 6, 7), (6, '?', 6, 7)]"
"(1, 4, 22, 21, 0)","[(5, 2, 6, 4), (5, 2, 6, 4), (5, 2, 6, 4), (5, '?', 6, 4), (5, 1, 6, 4), (5, 7, 6, 4)]"
"(1, 4, 22, 22, 0)","[(5, 4, 6, 4), (6, '?', 6, 4), (6, 3, 6, 4), (6, '?', 6, 4), (6, 0, 6, 4), (6, 5, 6, 4), (6, '?', 6, 4), (6, '?', 6, 4), (6, 3, 6, 4), (5, 4, 6, 4), (6, 4, 6, 3), (6, 5, 6, 4)]"
"(1, 4, 22, 25, 0)","[(5, 0, 6, 3), (5, 5, 6, 3), (5, 5, 6, 3), (5, 0, 6, 3), (5, 5, 6, 3), (5, '?', 6, 3), (5, 6, 6, 3), (5, '?', 6, 3), (5, '?', 6, 3), (5, 4, 6, 3), (5, 0, 6, 3), (5, '?', 6, 3), (5, 6, 6, 3), (5, 5, 6, 3), (5, 4, 6, 3), (5, '?', 6, 3), (5, 2, 6, 3)]"
"(1, 5, 1, 1, 0)","[(5, 3, 1, 7)]"
"(1, 5, 2, 1, 0)","[(5, 4, 1, 7), (5, 4, 1, 7), (5, 4, 5, 7)]"
"(1, 5, 2, 2, 0)","[(6, 1, 5, 3), (6, 1, 5, 3), (6, 6, 5, 3), ('?', 6, 5, 3), (6, 1, 5, 3), (6, 1, 5, 3), (6, 6, 5, 3), (6, 6, 1, 3), (6, 6, 5, 3), (6, 1, 5, 3), (6, 6, 1, 3)]"
"(1, 5, 2, 5, 0)","[(6, 6, 5, 4), (6, 4, 5, 3), (6, 4, 5, 4), (6, 6, 5, 4), (6, 6, 5, 4), (6, 6, 5, 4), (6, 6, 5, 4)]"
"(1, 5, 2, 9, 0)","[(6, 4, 1, 7)]"
"(1, 5, 2, 14, 0)","[(6, 6, 5, 7)]"
"(1, 5, 2, 21, 0)","[(5, 1, 1, 4), (5, 1, 1, 4), (5, 6, 1, 4), (5, 6, 1, 4), (5, 1, 1, 4), (5, 1, 1, 4), (5, 6, 1, 4), (5, 6, 5, 4), (5, 6, 5, 4), (5, 6, 1, 4)]"
"(1, 5, 2, 22, 0)","[(6, 1, 1, 4), (6, 4, 1, 4), (6, 1, 1, 4), (6, 1, 1, 4)]"
"(1, 5, 2, 25, 0)","[(5, 1, 5, 3), (5, 1, 1, 3), (5, 6, 1, 3), (5, 1, 5, 3), (5, 6, 5, 3), (5, 6, 1, 3), (5, 1, 1, 3), (5, 6, 5, 3), (5, 1, 1, 3), (5, 6, 5, 3), (5, 1, 1, 3), (5, 1, 1, 3), (5, 1, 1, 3)]"
"(1, 5, 4, 1, 0)","[(5, 5, 1, 7), (5, 5, 1, 7), (5, 5, 5, 7), (5, 5, 5, 7), (5, 5, 5, 7), (5, 0, 5, 7), (5, 0, 5, 7), (5, 5, 5, 7), (5, 0, 5, 7), (5, 5, 1, 7), (5, 5, 5, 7), (5, 5, 1, 7), (5, 5, 1, 7), (5, 5, 5, 7)]"
"(1, 5, 4, 2, 0)","[(6, 5, 1, 3), (6, 5, 1, 3), (6, 5, 5, 3), (6, 5, 1, 3), (6, 5, 1, 3), (6, 5, 1, 3), (6, 5, 1, 3)]"
"(1, 5, 4, 9, 0)","[(6, 5, 5, 7)]"
"(1, 5, 4, 14, 0)","[(6, 0, 5, 7), (6, 5, 5, 7), (6, 0, 5, 7), (6, 0, 5, 7), (6, 0, 5, 7), (6, 0, 5, 7), (6, 0, 5, 7), (6, 5, 5, 7)]"
"(1, 5, 4, 21, 0)","[(5, 0, 5, 4), (5, 5, 5, 4), (5, 5, 5, 4), (5, 5, 5, 4), (5, 5, 1, 4), (5, 5, 1, 4), (5, 0, 1, 4), (5, 5, 5, 4), (5, 5, 5, 4), (5, 5, 1, 4), (5, 0, 1, 4), (5, 5, 1, 4), (5, 0, 5, 4)]"
"(1, 5, 4, 22, 0)","[(6, 5, 1, 4), (5, 0, 1, 4)]"
"(1, 5, 4, 25, 0)","[(5, 5, 1, 3), (5, 0, 5, 3), (5, 0, 5, 3), (5, 5, 1, 3), (5, 0, 1, 3), (5, 0, 5, 3), (5, 0, 1, 3), (5, 5, 1, 3), (5, 5, 1, 3), (5, 5, 1, 3), (5, 0, 1, 3), (5, 5, 5, 3), (5, 5, 1, 3), (5, 0, 5, 3), (5, 0, 1, 3), (5, 0, 5, 3), (5, 0, 5, 3), (5, 5, 5, 3), (5, 5, 1, 3), (5, 0, 1, 3), (5, 5, 5, 3), (5, 0, 1, 3), (5, 5, 5, 3), (5, 0, 5, 3)]"
"(1, 5, 5, 2, 0)","[(6, 2, 5, 3), (6, '?', 5, 3), (6, 4, 5, 3), (6, '?', 5, 3), (6, 5, 5, 3), (6, 3, 5, 3), (6, 4, 5, 3), (6, 4, 5, 3), (6, '?', 5, 3), (6, 6, 5, 3), (6, 3, 5, 3), (6, 6, 5, 3), (6, 0, 5, 3), (6, '?', 5, 3), (6, '?', 5, 3), (6, 3, 5, 3), (6, 3, 5, 3), (6, '?', 5, 3), (6, 3, 5, 3), (6, 5, 5, 3), (6, 2, 5, 3), (6, '?', 5, 3), (6, 4, 5, 3), (6, 3, 5, 3)]"
"(1, 5, 5, 3, 0)","[(5, 0, 5, 4)]"
"(1, 5, 5, 9, 0)","[(6, 5, 5, 7), (6, 2, 5, 7)]"
"(1, 5, 5, 21, 0)","[(5, 2, 5, 4), (5, '?', 5, 4), (5, 3, 5, 4), (5, '?', 5, 4), (5, 7, 5, 4), (5, 7, 5, 4), (5, '?', 5, 4), (5, '?', 5, 4), (5, '?', 5, 4), (5, '?', 5, 4), (5, 2, 5, 4), (5, 1, 5, 4)]"
"(1, 5, 5, 22, 0)","[(6, 2, 5, 4), (6, 7, 5, 7), (6, 4, 5, 4), (6, 7, 5, 4), (6, '?', 5, 4), (6, 2, 5, 4), (6, 3, 5, 4), (6, 4, 5, 4)]"
