mu1,mu2,nu,sigma1,sigma2
0.900073812744807,0.878016452658285,4.19209340370272,0.0754348719776565,0.07069703264202
0.920067823494523,0.865727913407189,3.6105793038491,0.08869126261209,0.0580039765146254
0.916246588839468,0.857735368814663,21.8398978362064,0.0802835122949275,0.0589284764324919
0.915538693606385,0.863354001246358,18.8866216981722,0.0755391434317419,0.0775773569545853
0.927923577986245,0.850140066563557,68.2258328742689,0.09013379431769,0.0922297347521348
0.888239981705202,0.861711910879862,161.353481962465,0.097658458899019,0.0904563117783638
0.910630440151244,0.869238969103088,103.374666735907,0.0722469732981611,0.0911670484567222
0.897330648359044,0.864547519091432,39.8400372512087,0.0949241600723048,0.089730968503176
0.893372238601269,0.863267168418958,90.5948161136503,0.109755022866911,0.0776351057573833
0.930152837600957,0.866119832051485,52.7151016453587,0.0620243929334566,0.0661963774200404
0.933242779379636,0.864131645179426,21.4868280810218,0.061952147687589,0.0679849016181823
0.896556085606354,0.865915119157056,17.213859433949,0.0655320056537296,0.0639267141315468
0.895874426037534,0.854345280676435,91.044898768794,0.107333314539025,0.0615732656917978
0.894995286296822,0.881683101587708,59.0899960955915,0.0929003068441308,0.0659725388879643
0.877800775773933,0.882782808382031,10.9367827763111,0.09602070020636,0.0809648008404255
0.873547078460574,0.85644124824375,13.2155445021851,0.0766341190438529,0.0555013207741689
0.909209422229828,0.849495373365742,11.7097645623611,0.0824610113122935,0.0540416738733279
0.904995202656679,0.8666772569906,15.0361837599872,0.0763123365403865,0.0520808688475317
0.930240869003485,0.866344974658299,7.59048704337353,0.0772118342743106,0.0528319965349453
0.935621794728732,0.86588543740612,12.3726714770046,0.0790076657482687,0.0807760424372434
0.932735288827243,0.867255199282217,5.96184038312341,0.0738480014733907,0.0884244234779091
0.917095015960519,0.891032244256756,12.215251726069,0.0761561567183179,0.060169279212894
0.92230844468453,0.870192577045504,4.50375030930381,0.0750985509903329,0.064954492006993
0.934064108305747,0.848980229877857,3.88219596243597,0.0666253762012143,0.0700226230589925
0.905773447930151,0.852621145433104,17.6337957073394,0.0672749993374689,0.0622130386995723
0.898937021035282,0.861273333902184,31.4280898757015,0.0663845868788424,0.0712339692816251
0.905129556531228,0.880933481369808,59.2483990445357,0.0725089837034783,0.0785497874750531
0.897300678616703,0.889333919926216,64.4366362385902,0.0754887778571462,0.0619522647253446
0.891179626685701,0.818341563807813,83.4157823679092,0.088560384266442,0.0810834890492362
0.869490374299111,0.858151706023043,91.2412691135383,0.0869315628664912,0.0600131072421694
0.941840685802821,0.844787048284125,95.4909099679416,0.0746187673223111,0.0894845512111708
0.931201752501794,0.844674139708215,110.966065535881,0.108652646852981,0.0649411227858676
0.908998763573473,0.848448161775312,105.772000429296,0.115290302995287,0.0888008601632932
0.91973782434948,0.845463367202163,9.70712963800371,0.113705526876342,0.0864459245831292
0.913059639577381,0.852377066564106,13.8617657828727,0.0845420536393931,0.0591777721876689
0.907729368524671,0.860298901968877,14.0887540292562,0.0775011781897938,0.0670351284113549
0.89055845397853,0.850718976021202,19.1182212686697,0.0878813862065335,0.0655726001508753
0.898886608218583,0.845952434781473,51.3944583321855,0.097458822081365,0.0873894330441626
0.900719827905199,0.832398198378684,19.7677623252012,0.0705393000918276,0.0831184752668335
0.898554700820096,0.865352846901677,20.8560483144554,0.070263360056564,0.0809914519730668
0.907598314269325,0.85430269532603,12.0742257016625,0.0767485384401689,0.068964885872097
0.912292240159895,0.843447437666652,23.9713007778396,0.0768991396971868,0.0753260714704441
0.917816790987837,0.862984874694997,25.7225268705763,0.0758251108990949,0.0812847739961682
0.897924345836951,0.842964380565444,13.6431014836056,0.085140821281023,0.0593840676296306
0.926757582453269,0.847859610135351,16.8577489571785,0.0864988536425969,0.069120470300447
0.898106594442226,0.83426759965705,19.2496798052097,0.0810905188424992,0.0708342673047441
0.902677123605704,0.844629333297948,36.5555737853247,0.0817331681976345,0.0613707145861328
0.897659864688819,0.85225264427936,35.8353877417275,0.0991356855423182,0.0747907803806921
0.882747331940507,0.835916416951961,22.1880406785329,0.0967968298522267,0.0676416453103218
0.892132186866715,0.873266021724133,11.8561920700925,0.0849271856739618,0.0635579800678526
0.91351526778411,0.874905646699107,34.800895645757,0.0742274156066846,0.0738132765565704
0.905588463969195,0.86748259659673,42.5889450062667,0.0733246216783722,0.077842149885072
0.915801205582698,0.847936385007523,46.6762322087566,0.082099099937684,0.0731137375488199
0.895683607567819,0.855774984211078,34.0657679509954,0.0830584211845748,0.0655849446463126
0.904335514294543,0.842682630873905,36.4963318474992,0.0868721721259454,0.0824875214496061
0.903054257913265,0.845163343016963,39.3907087065251,0.0968771487164555,0.075847821429278
0.908523860153525,0.862704101152469,23.1706553377015,0.0848271426764017,0.071555078140942
0.906573511865255,0.851075156328717,23.6353475117337,0.0762300775795047,0.0610216340041122
0.931960680474253,0.880558271338657,67.877114793642,0.0771680897732027,0.0759395835774217
0.882432112897013,0.860163995936149,5.3301960350268,0.0775825965310417,0.0706959301765789
0.908387352336281,0.855603671379324,28.2776202850504,0.0772901962724065,0.0652597804829224
0.906821149488348,0.853620081204347,65.6002154755028,0.0825663428128401,0.0940489287348275
0.910579486192368,0.827445485319847,82.2205380194323,0.0686116456060784,0.058069038023638
0.914665810209755,0.85644527815592,53.0730052688111,0.103666046901351,0.0664889717391225
0.895578004557006,0.846081885835277,62.3172580302798,0.0742576459733079,0.0692366624830835
0.897324927924847,0.870156749494234,6.25134874423927,0.086567247807482,0.074174775234463
0.901773891119491,0.860563926746066,39.1096341410915,0.0841309416629721,0.0684668062601886
0.886556155005652,0.858573230545934,89.5609458450462,0.0698237936618864,0.068188020054404
0.883346504250608,0.864142310915348,15.5516141244741,0.0928047826916993,0.076122955585793
0.908225952436222,0.860828608864812,20.6247478382115,0.0791150591429698,0.0596860497432248
0.90660665008394,0.852979975250704,14.2271179201971,0.0724230749929916,0.0598888111233975
0.912429340102797,0.841453505035091,10.46082854529,0.0725507736526712,0.071788110232617
0.899949022983727,0.834164345495894,36.141489481966,0.0740360282359919,0.0691926769278687
0.912475975613864,0.840794343538007,72.3550669202621,0.0892236978505106,0.0744994046178716
0.929833303554846,0.841590298572537,79.4830391077891,0.0780282046263867,0.071864868701022
0.904403976573922,0.832160504626887,57.2873573029764,0.105180745760197,0.0793257644005947
0.907459960810744,0.863559551904802,12.5260383467428,0.0851640260534004,0.0758009762131194
0.911456879365627,0.857916351542005,45.6867877695745,0.0872213148164736,0.0748899714817508
0.927620564874592,0.860297935581676,44.5750880390598,0.0797577215481418,0.0750373001634935
0.930143249985999,0.851246243577101,57.6350072090729,0.0713118978747084,0.0847576141412868
0.898851246062758,0.851890940286435,81.4657608741999,0.0683436166906801,0.0715689181736977
0.903226797046837,0.863855082422877,81.2581891336711,0.092979078982488,0.0864131107031512
0.901522711751975,0.849093036278618,34.6941738624857,0.0743245874029738,0.0873435677907894
0.900759660248533,0.855757406253075,43.3316185012217,0.0880216112600334,0.0884473537587564
0.908450604874778,0.85491862270201,57.3982485618018,0.0988673177873636,0.084634591557428
0.918349761970525,0.871154933713525,58.5082774307852,0.0723886876413857,0.0889939539572453
0.895997246086587,0.844649814996771,57.1324021501139,0.0668271336994879,0.0838107571177532
0.91667606400568,0.86889421643337,35.4762985588668,0.0683503915880335,0.0965973409586795
0.892547183785968,0.85314600540893,41.3076507954166,0.0994326708298308,0.0577886376437153
0.929267971614575,0.849808265608556,51.7830676052752,0.0976862755887632,0.0673270882785283
0.897958342846174,0.850312232323814,59.0276186629494,0.0716431701990422,0.082317207936603
0.902542770163982,0.84997261528846,73.2357348017203,0.113081491338421,0.0667516596016042
0.912431054498775,0.854260029713943,198.219299567829,0.11753787711024,0.0799069031172792
0.923905507961053,0.846865442340979,153.543698682894,0.0666196447805022,0.0642614392178756
0.911712275880574,0.866669229805337,114.726405380675,0.0620653118569301,0.0924187803785162
0.905715310225525,0.871087886695061,99.4039356656101,0.0892606205042308,0.0786390747082776
0.900579941963861,0.830970302170344,48.9915082580703,0.082614862614263,0.0774190776184374
0.908750278359871,0.847559301918896,17.1696343447191,0.0824658999117517,0.0682953986106512
0.904750755671302,0.836042408653828,8.90547670592423,0.0858859509255648,0.063900964719239
0.912302547266907,0.879994033157965,24.2798522100934,0.0785139333209324,0.0719532249288238
0.904784950428321,0.839487448479859,28.8318801564588,0.0724453052329093,0.084315805693805
0.914145722673555,0.839739364040386,22.8370694712374,0.0762993369533897,0.0679523758213528
0.915954315436204,0.862659418940998,12.2209209175507,0.0948180826210291,0.0674889963170893
0.901647858779186,0.870334337411683,59.8307257036923,0.0967932493924944,0.0783718658479344
0.906006118762774,0.847203273317639,52.347839043506,0.0982596811764176,0.0816078493594563
0.909009293805419,0.857781012487711,9.40321779821518,0.0864782410782422,0.0594330662452774
0.887010674270018,0.855063997254421,5.41900590897425,0.060120988264307,0.0565865261186002
0.917858095466268,0.856784956243227,27.1453807690305,0.0791044879367972,0.0654482166252345
0.888836165383465,0.84754331382935,27.2141845171554,0.0800706186810188,0.0593239662645962
0.909916769150426,0.852749852597312,24.6640448997911,0.0883100596001277,0.0864210551344356
0.890364737322478,0.858792502313111,39.1850796876796,0.0981954738028061,0.0869671233071535
0.90886711947737,0.861061256336756,16.0427332741949,0.096949343861803,0.0652886582330925
0.886497806062827,0.861825013323194,32.8296404461657,0.100800357759289,0.075369651486231
0.905365622503905,0.860221776891422,12.8977666700999,0.10074049155761,0.066132599767218
0.892468492216157,0.858851613785911,46.4484690497061,0.0691768354387801,0.0746608323666835
0.901189314804964,0.858429987080454,50.0465078621959,0.0928145392379093,0.0668364808551003
0.909349511273374,0.832251439335477,24.7839589759759,0.0815903783725127,0.0861778808583536
0.875854617482888,0.860096210307896,23.6655999878219,0.0827293929097488,0.0840472969199184
0.920585815588069,0.846151040233831,55.3363798042371,0.0809293900150899,0.0762831200377175
0.918951666377205,0.861265807109326,51.6781548013511,0.0770817518411369,0.0896143942329085
0.90919119270033,0.859675514483676,11.4723346426045,0.0779526583081008,0.0950491224758234
0.897292596565747,0.845787095953861,43.108934371388,0.083569431212596,0.0783488166775833
0.896101937643516,0.850463507193965,8.66852625822124,0.0825783485065345,0.0749072147653143
0.940378033019128,0.845328269667131,16.3250689915736,0.0792707208081969,0.0617342143927825
0.937259801732892,0.8508168401319,23.6398426656267,0.0728980875517875,0.0727989758108287
0.910696328372962,0.864641561081177,23.834524672864,0.0724982223323259,0.0691756301308062
0.89276673284891,0.833675188701037,19.9270309077144,0.0849480545597324,0.0816894795376743
0.902944644328098,0.864885921375756,13.4514904263725,0.0898162973536428,0.0593222653896547
0.901039187514209,0.857596910191117,11.5034618881712,0.0734446176716148,0.059008669344589
0.892479412066371,0.842942356230364,35.3808755100307,0.0896114538736371,0.0623355672488927
0.916460388201029,0.853720835831619,47.5528013127791,0.0762494434980533,0.0831977753998143
0.893992413579694,0.866883268975417,55.8381511904865,0.0956816692447299,0.0753937733057409
0.903922663676143,0.838740965427022,39.8980817316969,0.0905521994780999,0.074600939831506
0.856713080390927,0.842076738566384,12.5626144839649,0.106256070773304,0.0658766801573666
0.852720350377835,0.850839028559479,51.0159353018111,0.125114336651998,0.0708731173268595
0.874323909193321,0.851508131080608,24.0967130477933,0.0880532568038226,0.0639816407063883
0.904045054647028,0.841229618597665,16.0781726031491,0.0909700372581392,0.084771503123173
0.882095821566801,0.849306187585128,26.973583125294,0.0995811736692587,0.0719621037669356
0.900956586991187,0.839205961976834,20.2455067868507,0.072185841510992,0.0565380666608641
0.914135853649007,0.85214010710855,18.7527247407485,0.091438867356051,0.0577986898090708
0.913360358575681,0.859371900434687,32.4800900404214,0.0746199571693397,0.0632720961689699
0.906342266347216,0.855041642049287,25.8641470959888,0.0666425777454467,0.0614167431055276
0.905470813720836,0.851234430698819,47.6454198727162,0.0631629105836679,0.0863261862110507
0.906175640889695,0.835173672157307,27.0414350545196,0.0702102767445211,0.0643605529665876
0.917406783740613,0.841601902471471,14.1115296886378,0.0906930548696,0.0712587631998255
0.913686220892918,0.860895922222762,14.6285648557593,0.109265764454024,0.0808494127229713
0.914837977670112,0.863627328030595,33.1908280487993,0.0773529512584212,0.08000832447496
0.925130224778348,0.857848700872071,37.0687918403932,0.0835409020406596,0.0776026418106127
0.902192385928431,0.8676444788608,73.6934527389423,0.0767140804610345,0.0766612642337447
0.909090917396738,0.865777208330496,29.6954092103048,0.0779594905053216,0.0720536159934431
0.899756205626559,0.848504584945744,52.60011878395,0.0780239757298388,0.0836990124430118
0.893615636281815,0.859256687955406,23.1428993177723,0.0957969702539362,0.0796421547644561
